Item,Price
Defacto Woman Loose Fit Regular Neck Long Sleeve Blazer - Black,"₦ 10,640"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Black,"₦ 9,600"
Defacto Woman Regular Fit Regular Neck 3/4 Sleeve Blazer - Black,"₦ 9,880"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Turquoise,"₦ 13,680"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Beige,"₦ 12,160"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Brown,"₦ 10,273"
Defacto Woman Regular Fit Regular Neck 3/4 Sleeve Blazer - Brown,"₦ 9,880"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Black,"₦ 12,160"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Red,"₦ 10,729"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Beige,"₦ 13,680"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Orange,"₦ 12,920"
Defacto Woman Regular Fit Blazer Collar Regular Blazer -Green,"₦ 11,400"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Orange,"₦ 10,640"
Women's Half Sleeve Blazer - White,"₦ 7,800"
Womens Formal Blazer - Pink,"₦ 8,050"
Female Women Double Breasted Complete Suit Two Piece Stylish Unique- Red,"₦ 35,000"
Female Women Double Breasted Complete Suit Two Piece Stylish Unique- Black,"₦ 35,000"
Metallic Detail Tweed Blazer,"₦ 19,000"
GUSSY ANKARA GOLD JACKET,"₦ 35,000"
Office Lady Suit Slim Coat Business Office Work Suits Blazer,"₦ 21,200"
DM RED FLOWERY JACKET,"₦ 25,000"
First Angels Spring Elegant Blazer,"₦ 15,000"
Female Blazers - Blue,"₦ 15,900"
YK Fashion Womens Blazers - Purple,"₦ 8,000"
