Item,Price
Hp ProBook 11 Inches X360 INTEL PENTIUM 128GB SSD- 4GB RAM Windows 10 Pro + HP Mouse & Usb Led Light,"₦ 140,000"
Hp ProBook 11 Inches X360- Intel Celeron 128GB SSD- 4GB RAM Windows 10 Pro + HP Mouse & Usb Led Light,"₦ 140,000"
Hp Stream 11 Intel Celeron Quad Core 4GB RAM / 64GB SSD Windows 10 + USD LIGHT & POUCH,"₦ 104,999"
Hp Pavilion 15 Intel Core I5 TOUCH & Back-lit Keyboard 8GB RAM 1TB HDD Windows 11 + HP MOUSE,"₦ 500,000"
"Apple MacBook Pro 14"" M1 Pro Chip 16GB RAM, 512GB (2021 Model)","₦ 1,345,000"
Asus E203NA Intel Celeron 4GB RAM 128GB 11.6' Windows 10,"₦ 101,990"
Asus E210MA Intel Celeron 4GB RAM 128GB EMMC 11.6' Wins 10 - Dreamy White,"₦ 102,990"
Lenovo Ideapad  Intel Celeron 1TB HDD 4GB RAM Windows 10+ 32GB Flash,"₦ 175,000"
Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse,"₦ 189,950"
Asus E203NAH Intel Celeron 4GB RAM 128GB EMMC 11.6' Win 10 - Star Grey,"₦ 101,990"
Lenovo AMD RYZEN 3 1TB HDD 8GB RAM 2.6 To 3.4ghz Win 10+ 32GB Flash,"₦ 208,500"
Kuhl Flash Drive 3.0 32GB - Metal OTG Micro USB Type-C,"₦ 2,690"
Eaget Pen Flash Drive 3.0 64GB - Metal OTG Micro USB Type-C,"₦ 2,900"
Pny Technologies PNY USB 2.0 64GB Flash Drive - Attaché 4 - Black,"₦ 10,000"
Music Pioneer Extreme U1 64GB 60M / S Memory Card TF SD Card,"₦ 3,900"
Anti-slip Silicone Cover Skin Case PS5 Pad Controller,"₦ 4,200"
Bluetooth Dual-mode Led Gaming Rechargeable Wireless Mouse,"₦ 3,599"
5D Wired Optical Ergonomic Upright Vertical Mouse,"₦ 6,500"
SanDisk microSD 16GB,"₦ 2,940"
MTN 5G Ultrafast Router + Free 100GB Data Bonus On Activation. White,"₦ 50,000"
MTN 4G Wireless Router CPE ZLT S50 + Free 30GB Data Bonus On Activation.,"₦ 10,000"
Hp Deskjet 2710 AIO Wireless Printer Print/Scan/Copy,"₦ 54,945"
Airtel 4G LTE MiFi WiFi Internet HotSpot + 25GB DATA,"₦ 8,250"
Extended RGB Gaming Mouse Pad Extra Large Size Mat,"₦ 9,500"
SanDisk 128GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 8,769"
SanDisk 64GB Ultra Dual USB Type-C OTG,"₦ 6,990"
Toshiba External Hard Drive 1 TB  USB 3.0 Black,"₦ 24,000"
Chupez 32GB Chupez Anti-Virus Memory Card,"₦ 3,400"
Lenovo M202 2.4GHz Wireless Mouse Optical Mouse,"₦ 4,280"
SanDisk 128GB Cruzer Blade USB Flash Drive,"₦ 7,234"
Edifier G2000 32W PC Computer Speakers Bluetooth USB 3.5mm AUX Inputs RGB Lights Multimedia Speaker,"₦ 36,655"
Oraimo Sharable WiFi Supports 4G Easy Use Smart App LED Notification Mobile Hotspot,"₦ 31,000"
Lenovo Thinkplus TPCU301 32GB Type-C+USB3.0 Phone U Disk USB Flash Drives,"₦ 3,900"
SanDisk 32GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 4,990"
Type C & Micro USB Male To USB3.0 Female Dual OTG Adapter,"₦ 1,650"
Promate 15.6 Inch Laptop Backpack,"₦ 9,735"
SanDisk 32GB Ultra Dual USB Type-C OTG  (SDDDC2-032G-G46) – Intl,"₦ 6,000"
Universal 4G LTE+300Mbps With 6 Hours Inbuilt Battery High Speed Indoor Router For All Networks,"₦ 50,000"
Mtng MTNng 4G LTE  Wifi  Mifi Routher With 30 Gig Data Bonus,"₦ 9,700"
Ultra-thin Wireless Mouse 2.4G Rechargeable Silver,"₦ 3,250"
HYSLGjt 128GB OTG Usb Flash Drive +micro Usb + Type C +3 Free Gfits,"₦ 4,790"
Eaget Pen Flash Drive 3.0 32GB - Metal OTG Micro USB Type-C,"₦ 2,718"
UWY 64GB Pendrive Flash . DriveUSB 2.0 Metal High Speed For PC,"₦ 2,990"
UWY USB Flash Drive 64GB Pen USB 2.0 Metal High Speed  OTG,"₦ 2,860"
Laptop Tablet Stand Foldable 10 Level Adjustable Computer Notebook Holder Bracket,"₦ 3,999"
YingHD 64GB OTG USB Flash Drive  For Type C PC Android Silver,"₦ 3,190"
Classic Led Gaming Rechargeable Wireless Mouse- Black,"₦ 2,800"
T-Wolf ACE ELEC X1 2.4GHz LED Wireless Rechargeable Mouse,"₦ 3,200"
Comfortable Soft Black  Mouse Pad 24*20cm,"₦ 1,350"
64G High Speed Waterproof Metal USB Flash Drive  Silver,"₦ 2,900"
Aluminum Alloy Laptop Stand 6-level Adjustable Portable,"₦ 6,300"
64GB USB OTG Flash Drive - Black +Free Micro -Type C Adapter,"₦ 2,990"
LED 2.4G Rechargeable Wireless Mouse,"₦ 3,250"
T-Wolf TF200 Mouse Keyboard Set,"₦ 4,300"
OTG 128GB USB Flash Drive  For Computer &  Car Music,"₦ 4,990"
Seagate 500GB External Hard Drive,"₦ 11,889"
2.4G Wireless Charging Mouse Black,"₦ 3,190"
Hxsj T38 2.4G Wireless Mouse Rechargeable,"₦ 4,100"
Kuhl Flash Drive 3.0 64GB - Metal OTG Micro USB Type-C,"₦ 2,790"
2.4G Wireless Mouse 4 Keys Wireless Optical Mouse 1600DPI,"₦ 2,173"
7 Port USB 2.0 High Speed Hub Powered Splitter ON/OFF Switch Power Adapter,"₦ 3,300"
HYSLGjt 64GB OTG Usb Flash Drive+ Ballpoint Pen Stylus Touch,"₦ 2,790"
UWY 32GB Pen USB Flash Drive USB 2.0 Metal High Speed For PC,"₦ 1,990"
Metal Foldable Adjustable Stand Holder For Laptop,"₦ 2,810"
Airtel 4G LTE MiFi WiFi Internet Modem HotSpot + 25GB FREE DATA,"₦ 8,300"
128GB USB OTG Flash Drive - Black +Free Type C Adapter,"₦ 4,800"
ABS Laptop Stand Desktop Bracket Can Be Folded Up And Down To Receive Portable Radiator,"₦ 3,390"
