Item,Price
Heavy Duty Swimming M Pool Skimmer Leaf Rake W/HD Mesh Net A,"₦ 21,709"
2Pcs Drain Sink Cleaner Bathroom Unclog Sink Tub Toilet Snake Brush Hair Removal Tool,"₦ 11,190"
( Multifunctional) Automatic Car Washing Rotary Brush Washer Car Wash Brush Vehicle Care Washing Sponge Cleaner Tool Garden Water Sprinkler For Car Washing Home Cleaning Washer Set+Spray-head,"₦ 41,390"
5/ 6/ 8 M Inch Polishing Wire Brush Wheel For Bench Grinder,"₦ 14,396"
680W 18V Cordless Leaf Blower Handheld Li-ion Multifunctional Dust Sweeper Vacuum Cleaner Suction Blower Tool For,"₦ 49,790"
1000W 2IN 1 Hand-Held Electric Air Turbo Blower Dust Vacuum Cleaner Car Computer,"₦ 45,190"
Electric Automatic Flycatcher Fly Trap Killer Device Control Catcher Mosquito,"₦ 21,490"
13000RPM 220V 200W Garden Leaf Dust Cleaner Industrial Electric Vacuum Blower,"₦ 55,890"
3Pcs Rotary Polishing Mop Buffing Wheel Brush Conical + Cylindrical + Mushroom,"₦ 12,090"
Bike Bicycle Chain Wash Device Cycling Scrubber Cleaner,"₦ 4,154"
1000ml/1500ml Empty Glass Sanitizing Sterilizing Disinfectant Jar For Barber Shear Combs Tools 1500ml,"₦ 33,090"
Cordless Dust Leaf Blower Vacuum Cleaner Handheld Garden For 18V Without Batteries And Charger,"₦ 60,290"
Wet Dry Dual Use 360° Rotatable Flat Squeeze Mop And Bucket Set With Mod White 1 Bucket With 2 Mop Pads,"₦ 33,490"
300Pcs 84 Instant Disinfection Tablets Disinfecting Effervescent Spray Cleaner Tablets,"₦ 9,290"
Well-Crafted Stainless Steel Wood Handle Putty Knives  Scraper,"₦ 4,155"
70ml Portable Hypochlorous Acid Water Making Machine Disinfection Water Maker,"₦ 27,090"
Magnetic Window Wizard Q Double Side Glass Wiper Cleaner,"₦ 9,075"
1200W 300ML Portable Nano Steam Sprayer Blue Ray Anion Disinfection Machine Hair Care Deep Cleaning Facial Cleaner Beauty Skin Care SPA Tools 110V,"₦ 56,090"
"Microfiber Duster Telescopic Pole Washable Roof Cleaning Long Handle For Cleaning Roof, Blinds, Cobwebs,Ceiling Fan, Furniture 1.4M","₦ 10,490"
50pcs / Box Universal Disinfection Tablet Wet Wipe Portable Jewelry Phone Cleaning Care Disinfection Wipes Protective Hand Sanitizer,"₦ 14,190"
5 In 1 M Multi Tips Washer Spray Change Over Nozzle 1/4inch,"₦ 12,045"
Portable Ultrasonic Nebulizer Inhaler Household Humidifier Health Care Children Home Inhaler Machine,"₦ 33,690"
6 Pcs Bicycle Cleaing Tool Kits Cleaing Set Chain Cleaner Tire Brushes,"₦ 45,190"
LED Electric USB Mosquito Fly Bug Pest Insect Killer With Trap Night Lamp Black/White Black (black),"₦ 28,290"
"500ml Portable Detergent Maker Spray Bottle Sodium Hypochlorite Spray Device Bottle– Multi Purpose Household,Self-Made Detergent Machine Automatic Electrolysis Water Pink","₦ 47,590"
"Microfiber Duster Telescopic Pole Washable Roof Cleaning Long Handle For Cleaning Roof, Blinds, Cobwebs,Ceiling Fan, Furniture 2.5M","₦ 14,290"
Walk The Plank Mouse Trap Mice Cage Rat Trap Auto Reset Rodent Bucket Board,"₦ 12,590"
14MM High Wash Clean Foam Lance Sprayer Bottle Car Washer 3200PSI,"₦ 17,590"
Wet Dry Dual Use 360° Rotatable Flat Squeeze Mop And Bucket Set With Mod White 1 Bucket With 6 Mop Pads,"₦ 55,090"
LED Electric USB Mosquito Fly Bug Pest Insect Killer With Trap Night Lamp Black/White White (white),"₦ 25,290"
Swimming Pool Vacuum Head Cleaner Brush Sweep Broom Side Brushes Cleaning Robot,"₦ 39,090"
Fruit Tree Spray Tool Pesticide Sprinkler Garden Irrigation Sprayer Agricultural Atomizing Nozzle Agricultural Pesticide Tool Type A,"₦ 15,390"
Multi-purpose Screen Window Home Cleaning Brush Anti-mosquito Net Cleaner Wiper Green Green,"₦ 9,690"
2Pcs Snow Foam Lance 1L Soap Bottle Blaster For Karcher K Series Car Washer Red (red),"₦ 11,190"
10ML Silent Handheld House Ultrasonic Nebulizer Machine Inhaler Atomizer With USB Rechargeable Grey,"₦ 34,190"
1L Foam D Lance Sprayer Washer Soap Bottle Car High 1/4 Wash,"₦ 20,172"
