Item,Price
MTB Road Bike Twist Grip Gear Bicycle Shift Lever Shifters Speed Lever,"₦ 8,763"
2PcsPair Thumb Gear Shifters Trigger Set 3x 567 Speed With,"₦ 3,007"
Bicycle Rear Derailleur Direct Mount Transmission Easy Install 9 Speed,"₦ 5,207"
Bike Gear Shifter Rust Resistant Trigger Shifter 7,"₦ 6,428"
Shimano Tourney A070 Rear Derailleur 7 Speed Rd A070 Mtb,"₦ 61,671"
Bike Shifter Lever 10 Speed     1x10s Shifting Thumb Gear,"₦ 14,286"
ST-EF51 3 X 8 24Speed Mountain Bike Shifter Gear Lever Set With Shift,"₦ 13,039"
1pc Derailleur Hanger For Focus Paralane Izalco Max Disc,"₦ 64,564"
2Pcs 24 Speed MTB Mountain Bike Thumb Gear Shift Lever Set (3L&8R),"₦ 6,509"
"ST-EF51 GEAR Shifter/Brake, Lever 3x73x8Brake Speed Set Black","₦ 15,937"
Shimano RD-R8000 11S GS Corresponding CS Low side up to 28-34T 3 4T compatible gear Attached / OT-RS900,"₦ 94,400"
4X 1 Pair 3x6/ MTB Bike Thumb Gear Shifter  Shifters,"₦ 15,959"
L&R Speed Bike Shifters Gear Levers MTB Mountain Bike 9 Speed,"₦ 17,815"
Bike Gear Shifter Rust Resistant Trigger Shifter 3,"₦ 6,431"
Bicycle Shift Speed Handlebar 3x7 Bicycle Twist Gear Grips,"₦ 46,422"
Front Derailleur Brake 7/8/9/10/11 Speed Replacement Mountain Style,"₦ 8,066"
2pcs Derailleur Hanger For Kuota Kharma Kom Kobalt Wilier S,"₦ 24,847"
Mountain Bike Left Right Gear Shifter Lever Set,"₦ 15,258"
2X Universal MTB Road Bicycle Twist Handlebar Grip Gear Speed Shifter,"₦ 7,223"
Mountain Rear Gear Selector For Bike Derailleur Aluminum 6,"₦ 19,674"
Shimano SL-RS45 right lever only 8S ESLRS45R8A,"₦ 17,600"
Shimano RD-R9150 11S Compatible CS 34635 IRDR9150SS,"₦ 486,400"
Brake Lever  Brake Shifter Set Visible Optical Gear Display Indicator,"₦ 18,037"
Shimano Tourney Tx35 Ty300 Tx800 6/7/8-Speed Rear,"₦ 29,816 - ₦ 53,938"
Free Bike Gear Grip Shift Levers Bicycle Cycle Speed,"₦ 18,174"
Micronew Bicycle Rear Derailleur Front Shifter Shift Lever,"₦ 40,720 - ₦ 64,944"
10pcs/lot Derailleur Hanger For Merida Mongoose Trek Khs No,"₦ 44,936"
28.6mm 31.8mm Bike Holder Mount For Giant Od2 Di2 Junction,"₦ 22,178"
Microshift 24s Twist Grip Gear Shifters Trip 3x6/7/8 Speed,"₦ 16,263 - ₦ 24,487"
1Pair Road Bike Shifter Brake Lever Set Fits FOR Shimano - 2/3  3x8 R8,"₦ 61,857"
Shimano Claris Rd-R2000 Rear Derailleur 8-Speed Ss,"₦ 24,988 - ₦ 32,887"
Shimano Tourneytx Rd-Tx800 Rear Derailleur Mtb Bicycle Bike,"₦ 33,574"
Shimano Rd-Ty21 6/7 Speed Mountain Bike Bicycle Rear Gs A/b,"₦ 24,988"
Shimano Tx35 Rear Derailleur 6/7/8 Speed Mountain Bike Rear,"₦ 29,856"
Bike Gear Shifter Rust Resistant Trigger Shifter 8,"₦ 6,509"
Bike Twist Grip  Gear 3x7 Speed Bicycle  Lever Shifters Non-,"₦ 10,329"
1pc Bicycle Gear Derailleur Hanger Extender For Shimano,"₦ 15,625 - ₦ 15,731"
Rd-M390 For Shimano Acera Rear Derailleur 7 8 9 Speed Mtb,"₦ 41,624"
