Item,Price
ELECTRIC SCOOTER - DRIFT,"₦ 300,000"
Electric Scooter LCD Screen with Accelerator Use for 10Inch,"₦ 31,831"
Self Balancing Scooter Smart Hover Board Charger Wire EU Plug Black,"₦ 5,690"
Durable Electric Scooter Rear Mudguard M365 Blocker Fender Black,"₦ 8,124"
BLACK ELECTRIC SCOOTER - DRIFT MOVE,"₦ 300,000"
Electric Scooter ES-T4,"₦ 275,000"
Self Balancing Scooter Smart Hover Board Charger Wire US Plug American Rules,"₦ 5,690"
Electric Scooter ES-T4 White,"₦ 265,000"
Electric Rechargeable Children Scooter With Removable Seat,"₦ 174,999"
Electric Self Balancing Scooter Carry Backpack Bag  6.5 Inch Blue,"₦ 4,823"
Pulse Performance Revster200 Scooter,"₦ 157,000"
E100 GOTRAX Electric Scooter From Age 6yrs Upward,"₦ 145,000"
Electric Scooter ES-N1 7.5Ah,"₦ 200,000"
Electric Bike Brushless Motor Controller 36/48V,"₦ 10,597"
Electric Scooter Charger EU Plug Battery For  Mijias M365,"₦ 5,370"
10S 36V 35A Protection Board Li-Ion Lipolymer Battery BMS,"₦ 5,448"
Disc Brake Caliper Ultralight 10 In 8 In E-Scooter Clamp Left Rear,"₦ 6,526"
Alloy Disc Brake Caliper 120mm Rotor 10 8 In Electric Left Rear,"₦ 3,515"
"GOTRAX Jetson Knight Electric Scooter-Weight Limit 220 Lb, Ages 12+-Black-8.5” Wheel- Easy Folding Mechanism, LCD Display, Three Speed Modes-15.5 MPH- 15.5 Mi Range-3 Hr Charge Time","₦ 664,000"
NJAX-T Brushless Controller and LCD Acceleration Instrument,"₦ 47,740"
