Item,Price
Hookah Tobacco Smoking Pot/Hookah ShIsha Pot,"₦ 13,900"
Hookah Rechargeable Cigarette Vape Shisha Pen BIG SMOKE,"₦ 34,999"
EXPANDABLE MAGIC HOSE 60M/200Ft,"₦ 11,500"
QUALITY MODERN CHARCOAL  STOVE,"₦ 34,000"
Al Ostoura Shisha Hookah Strawberry Flavor Herbal Molases X5,"₦ 8,950"
Garden Automatic 360° G Rotating Lawn Sprinkler Nozzle Water,"₦ 10,500"
Portable Transparent Hookah Pot Set Smoking Shisha Smoke,"₦ 19,950"
Genres 60ml Liqua E-Cigar Liquid Shisha Vape Pen ( Blueberry ),"₦ 15,594"
Classy Hookah/ Shisha Pot,"₦ 19,999"
Genres 60ml Liqua E-Cigar Liquid Shisha Vape Pen Peach Flavor,"₦ 12,594"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Strawberry ),"₦ 15,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Lemon),"₦ 14,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Double Apple),"₦ 13,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Apple ),"₦ 10,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Watermelon),"₦ 12,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Tobacco Mint  ),"₦ 11,999"
Raw Metal Rolling Tray,"₦ 6,500"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Vanilla Custard),"₦ 12,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Red Bull),"₦ 9,999"
Hookah Foil Aluminium Foil  Shisha Hookah Aluminum,"₦ 2,999"
Hookah 96Pcs Charcoal For Shisha Hookah Quick-lighting Burn Even,"₦ 12,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor(vape Not Included),"₦ 14,594"
Hookah Shisha Pot / Tobacco Smoking Pot Pipe/,"₦ 24,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Grape  ),"₦ 9,999"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Cigar ),"₦ 9,594"
Envirofit Charcoal Cooking Stove,"₦ 48,500"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Orange),"₦ 9,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Gum Mint),"₦ 11,999"
Hookah Foil Hole Puncher For Bowl Shisha Hookah Aluminum,"₦ 2,555"
Genres 60ml E-Cigar Vape/Shisha Pen Cigar Flavor ( Honey Dew),"₦ 11,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Banana),"₦ 11,999"
Genres 18 PCS Liqua E-Cigar Liquid Shisha Vape Pen Peach Flavor,"₦ 129,343"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Mint ),"₦ 11,999"
Genres 60ml E-Cigar Vape/Shisha Pen Flavor ( Cheese Cake ),"₦ 11,999"
