Item,Price
"Effective Skin Tag, Mole ,Genital Wart, Removal Cream","₦ 5,999"
2 Liters  BPA-Free Large Training Gym  Sport Water Bottle,"₦ 11,899"
Anti Stress/fidget  Sensory Stress Ball-Globe Design,"₦ 3,999"
Anti Stress/fidget  Sensory Stress Ball,"₦ 3,999"
"Advance Skin Tag, Mole ,Genital Wart, Remover Cream","₦ 6,500"
"Skin Tag, Mole ,Genital Wart,Tattoo Remover Plasma Pen","₦ 18,799"
Hemani Black Seed Oil 6pcs,"₦ 17,500"
2 Pieces Hot Cold Reusable Ice Pack Bag Ice Cap Head Leg 6 Inch,"₦ 7,066"
Ice Pack Head Wrap Adjustable For Migraine Relieving Eyes Hot Pink,"₦ 16,190"
"Premium Skin Tag, Mole ,Genital Wart, Removal Cream","₦ 5,950"
"Reusable Ice Bag Cup Cold    Pack Injury First  - C, 8x8x18cm","₦ 4,438"
2x Ice Bag Pain Relief Sports Injury Neck Knee Head First  Reusable,"₦ 7,743"
"3 In 1 Weed  Smoking Pipe,grinder And Mesh","₦ 9,999"
Deep Cleaning Tongue Scraper +bad Breath Removal Gel,"₦ 6,999"
