Item,Price
Mortein LED Complete Insecticide (Device + Refill) - (Mortein),"₦ 2,035"
Mortein LED Insecticide Refill (30 Nights) - Pack Of 2,"₦ 1,985"
Mortein LED Complete Insecticide (Device + Refill) - Pack Of 2,"₦ 4,065"
Mortein Multi Insecticide Killer 600ml -Twin Pack- Special Offer,"₦ 5,485"
Mortein All Purpose Killer Powergard Insecticide 600ml,"₦ 2,745"
Mortein Odourless Multi Insect Killer - 300ml (Mortein),"₦ 1,475"
Mortein LED Insecticide Refill (30 Nights),"₦ 1,275"
Domestos Pink Power Multipurpose Thick Bleach 750ml,"₦ 1,845"
Papia TOILET PAPER 6x1,"₦ 2,645"
Hypo HYPO 1500ML BOTTLE X1,"₦ 1,371"
Mortein Multi Insect Killer - Lemon - 300ml (Mortein),"₦ 1,475"
Rambo 10pcs X 6 Packs Mosquito Coils,"₦ 3,700"
Green Leaf Cockroach Ant Killing Bait Powder - (50 Satchets),"₦ 4,200"
Blue Diamond 150gms-Ball Naphthalene Egg-Camphor+1Sunshine Air Freshener,"₦ 2,700"
Good Knight Power Shots Multi Insect Killer,"₦ 8,800"
Hemani Pack Of 125ml Black Seeds Oil (12pieces),"₦ 26,500"
Raid Multi-Purpose Insect Killer Insecticide - 3 Cans- 300ml,"₦ 5,900"
Green Leaf COCKROACH KILLING POWDER X 50pieces,"₦ 4,700"
Baygon 300ML X 3 Multi Purpose Insecticides Spray,"₦ 7,800"
SNIPER Multipurpose Insect Killer -750 Ml (Pack Of 2),"₦ 6,250"
SNIPER Multipurpose Insect Killer -300 Ml (Pack Of 4) + Sniper Cockroach Killer 20g (Combo Pack),"₦ 8,000"
Rubber Floor Welcome Door Foot Mat - Black,"₦ 4,600"
Avila Edible Shea Butter 500g StretchMark Skin Lightening VitaminE,"₦ 2,625 - ₦ 5,625"
Baygon Insecticide - (500ml X6,"₦ 19,500"
Gold Plated Cutlery Set,"₦ 7,600"
8pc Absorbent  Portable Kitchen Towel  Cleaning Cloth,"₦ 17,200"
Commando Rat Poison & Cockroach Ant Killing Bait Powder- 5 Pcs Each,"₦ 3,999"
"Blue Diamond 360gms -12pcs -Big Balls Naphthalene Eggs - Camphor +2Free Sunshine Air Freshener ""Total Purity""","₦ 3,350"
Raid Multi-Purpose Insect Killer Insecticide - 300ml X3,"₦ 6,999"
Avila Rose Face Gel - Anti-wrinkles And Detoxifies,"₦ 5,500 - ₦ 10,000"
Weed Grinder + Weed Roller Machine + 5 Booklets Of Bros Brown Rolling Smoking Papers,"₦ 4,000"
10 Rolls Adhesive Price-Paper-Tag,"₦ 5,600"
Clothes Of Skin 7Days Ginger Germinal Oil For Hair Loss And Bald Head Serum,"₦ 2,500"
Rambo 12Pcs Insects Killing Powder - Stay Free From Insects,"₦ 6,000"
Avila Black Seed Face Gel,"₦ 4,800 - ₦ 8,500"
Hot/Cold Water Bottle For Therapeutic First Aid + Free Cover,"₦ 3,000"
Green Leaf COCKROACH KILLING POWDER ×20 SACHETS,"₦ 4,400"
