Item,Price
Huawei Battery Cover Back Glass Replace For Huawei Y9s,"₦ 5,500"
Samsung S9 Plus G965 Glass Rear Back Battery Door Cover - Purple,"₦ 7,000"
Huawei Battery Cover Back Rear Glass Replace For Huawei P30 Pro,"₦ 7,000"
Huawei Battery Cover Rear Glass Replace For Huawei Y9 Prime 2019,"₦ 6,000"
Samsung Rear Back Battery Door Cover Glass For S10 Plus G975 - Black,"₦ 5,500"
Samsung Rear Back Battery Door Cover For Samsung S8 Plus- Black,"₦ 4,799"
Huawei SILICON Cover Back CASE For Huawei P30 Pro,"₦ 3,500"
itel Phone Battery BL - 25BI,"₦ 4,000"
XT30 2S-6S 40A Lipo Battery Parallel Power Battery  Harging Board With XT60-Black,"₦ 13,890"
Halloween Bat Decorations 16 Set Halloween Hanging Bats Lumi,"₦ 6,899"
Systems Replacement Microphone 3500mah Plugs Black,"₦ 4,907"
