Item,Price
Replacement Battery For GSM Landline Phones ETS5623,"₦ 3,500"
Umidigi Bison Pro Replacement Battery,"₦ 14,000"
Huawei Battery For Spectranet - Wifi  E5573s E5577 Hb - 4 Pin,"₦ 3,900"
Xiaomi Redmi 7 Battery Replacement,"₦ 5,900"
Infinix Genuine Smart3plus Replacement Battery BL-34cx,"₦ 4,900"
Infinix Genuine Note 4 (X572) Replacement Battery BL-42AX,"₦ 4,500"
"Battery For Huawei/GSM Landline Phones ETS5623,F501,3125i","₦ 3,000"
Samsung Galaxy Note Edge Battery,"₦ 6,950"
XIAOMI BN4A Battery For Redmi Note 7 MACKIN TOUCH QUALITY,"₦ 5,500"
Tucas BL-5C SUPER ENERGY (Nokia) BATTERY -Lithium Ion,"₦ 3,500"
"Huawei Battery For Desktop Phones. ETS5623, F501, 3125i","₦ 3,400"
"Replacement Battery For IPHONE 6,6PLUS ,6S,7,7PLUS,8,8PLUS MACKIN TOUCH QUALITY","₦ 4,500 - ₦ 10,500"
Xiaomi Redmi Note 7 Battery Replacement,"₦ 7,500"
Umidigi A7 Pro Replacement Battery,"₦ 12,000"
Infinix Replacement Battery For Hot 5 (X559,"₦ 4,400"
Tecno Camon X Pro Battery,"₦ 4,500"
Huawei Replacement Battery For P8 Lite,"₦ 5,300"
Tecno Replaceable Genuine Battery For Tecno L9 Plus,"₦ 4,900"
Samsung S6 Edge Battery Replacement,"₦ 3,999"
Umidigi Bison Replacement Battery,"₦ 14,000"
Umidigi A5 Pro Replacement Battery,"₦ 14,000"
"Tecno Genuine Replacement Battery For Tecno F2, F1.(BL-20JT)","₦ 3,000"
Fero Power 2 Battery,"₦ 3,000"
Samsung Galaxy Note 5 Replacement Battery,"₦ 5,950"
