Item,Price
Hypo 500Ml Bottle X24,"₦ 14,112"
Sunlight 2 In 1 With Oud - 900g,"₦ 1,165"
Sunlight 2in1 Detergent Powder 2Kg,"₦ 2,504"
Sunlight 2in1 Detergent Powder Spring Sensations 2Kg Twin Pack,"₦ 5,008"
Omo Handwashing Detergent Powder 900g,"₦ 1,495"
Jik Bleach (Perfumed Stain Remover And Germ Killer) - 1.4 Liters (Jik),"₦ 1,830"
Omo Extra Fresh 900g,"₦ 1,372"
Omo PROtect Handwashing Detergent Powder - 2Kg,"₦ 3,293"
SO KLIN Matic 1kg x1 + FREE Plastic box,"₦ 1,740"
Sunlight 2in1 Detergent Powder Tropical Sensations That Freshens 2Kg,"₦ 2,555"
Sunlight 2in1 Detergent Powder Tropical Sensations 2Kg Twin Pack,"₦ 6,000"
Jik Bleach (Stain Remover & Germs Killer) - 1.4 Ltrs - Pack Of 2,"₦ 3,660"
Omo Extra Fresh Handwashing Detergent Powder 900g Twin Pack,"₦ 2,601"
Sunlight 2in1 Detergent Powder Spring Sensations 900g Twin Pack,"₦ 2,175"
Sunlight Sunlight 2in1 Detergent Powder Tropical Sensations that Freshens 3.5Kg,"₦ 4,505"
Omo Handwashing Detergent Powder 2Kg,"₦ 3,160"
Sunlight 2in1 Detergent Powder Spring Sensations That Freshens 3.5Kg,"₦ 4,800"
Jik Bleach (Perfumed Stain Remover & Germ Killer) - 950ml (Jik),"₦ 1,190"
Jik Bleach (Stain Remover & Germ Killer) - 475ml - Pack Of 3,"₦ 2,195"
Jik Bleach (Stain Remover & Germ Killer) - 950ml - Pack Of 2,"₦ 2,380"
Jik Bleach (Stain Remover & Germ Killer) - 475ml - Pack Of 2,"₦ 1,630"
Omo Extra Fresh 2KG,"₦ 2,900"
Nittol Nittol Multi-purpose Laundry Bar 200g X 4 pcs,₦ 915
Omo Handwashing Detergent Powder 2Kg Twin Pack,"₦ 6,194"
Omo Extra Fresh Handwashing Detergent Powder 900g,"₦ 1,400"
Nittol Nittol Multi-purpose Laundry Bar 200g X 8 pcs,"₦ 1,795"
Sunlight Detergent Powder Spring & Tropical Sensations 900g Twin Pack,"₦ 2,175"
Sunlight 2in1 Detergent Powder Spring Sensations that Freshens 3.5Kg,"₦ 4,505"
Omo Washing Machine Powder Auto that removes tough stains 1Kg,"₦ 2,170"
Easy On Double Spray Starch With Crisp Linen Scent - 567g (x 2),"₦ 4,500"
Lb Automatic Fabric Liquid Soap For Washing Clothes - 4 Liters,"₦ 9,000"
Laundry Beads 20pcs In 1 Pack,"₦ 3,500"
Canoe Laundry Bar Soap X12,"₦ 4,900"
Hypo Bleach -1.5 Litre...,"₦ 4,500"
Renew 2 Spray Starch,"₦ 4,500"
Multipurpose Laundry Beads Very Active (20pcs In 1pack)!,"₦ 2,996"
Canoe Fizz Laundry Bar Soap 118g X 8,"₦ 5,900"
Tide Simply Plus Oxi Laundry Detergent 24 Load (1.09Litres),"₦ 8,000"
