Item,Price
Smart Ladies Wedge Shoe - Brown,"₦ 13,000"
EUR Size34-42 Ladies Low Wedge Sandal Shoes- Black,"₦ 16,740"
Smart Ladies Wedge Shoe - Grey,"₦ 13,000"
EUR Size35-40 Ladies High Wedge Sandal Shoes-Beige,"₦ 15,260 - ₦ 18,140"
Women Soft Wedge Lady Open Toe Low Heel Sandals-Black,"₦ 25,395"
Women Leather Wedge Sandals(blue）,"₦ 13,999"
2022 Women Soft Wedge Lady Open Toe Low Heel Sandals-Black,"₦ 24,340"
EUR Size35-40 Ladies High Wedge Sandal Shoes-Black,"₦ 24,016"
Fashionable High-grade Pu Women Slippers Women Sandals Breathable And Non Slip,"₦ 3,499 - ₦ 4,499"
EUR Size34-42 Ladies Low Wedge Sandal Shoes- White,"₦ 19,969"
Andarina Women Black Low Wedge Open Toe Shoe,"₦ 12,600"
Women's Sandal With Retro Heel / Casual Beach Sandal(Brown),"₦ 18,499"
Women Soft Wedge Lady Open Toe Low Heel Sandals-black,"₦ 26,490"
Retro Women Platform Sandals Causal Sandal(beige),"₦ 14,999"
Smart Ladies Wedge Shoe - Black,"₦ 13,000"
Women Leather Wedge Sandals(red）,"₦ 13,999"
Women Leather Wedge Sandals(brown）,"₦ 13,999"
Retro Women Platform Sandals Causal Sandal(yellow),"₦ 14,999"
Retro Women Platform Sandals Causal Sandal(black),"₦ 13,999"
Women Wedge Leather Sandals(blue),"₦ 15,239"
Casual Women's Sandals - Green,"₦ 10,999"
Women Soft Wedge Lady Open Toe Low Heel Sandals-Rice White,"₦ 11,630"
Vallenbella Black Wedge Slippers,"₦ 11,000"
Women Wedge Leather Sandals,"₦ 15,239"
