Item,Price
ATM/Credit Card Holder,"₦ 4,000"
Magnetic Pop Up  Aluminum Slim Atm Wallet Card Holder -Black,"₦ 3,995"
Automatic Pop Up Stainless Credit Card Hold,"₦ 3,995"
Genuine Leather Card Holder - Coffee,"₦ 6,500"
Aluminum  Pu Leather Card Holder- Blue & Silver,"₦ 4,495"
Stainless Steel Credit Card Holder Unisex Slim Anti Protect,"₦ 5,895"
1Pc Men Women  Protection Bank Card Holder Adults Kids Business Name Badge Holder Identity Badge Cards Cover Withyard,"₦ 21,792"
Printed Japanese Anime Pattern Aluminum Alloy Credit Card Holder Slim Anti Protect Travel ID Cardholder  Wallet Metal Case,"₦ 19,233"
Pokemon Card Cover Cute Elves Pikachu Charizard Cute Kids Keyyard Keychain,"₦ 17,342"
Superior Man Vintage  Blocking Money Wallet Automatic Pop-up Credit Card Case Business Purse Cash Coin Pocket For Men,"₦ 25,575"
Employee Name ID Business Card Cover  Plastic Work Identity Badge With String Work Card Holders With Rope Student Card Holder,"₦ 16,007"
Hot Travel Wallet Family Passport Holder Creative Waterproof Document Case Organizer Travel Accessories Document Bag Cardholder,"₦ 23,683"
Lanyards ID Badge Holder Leather Bus PCase Men Women Bank Credit Card Holder S Cardholder Work Brand Hanging Neck Cover,"₦ 18,232"
Super Slim Soft Wallet Sheepskin Genuine Leather Mini Credit Card Wallet Purse Card Holders Men Wallet Thin Driver License Cover,"₦ 17,453"
Stainless Steel Card Box Credit ID Card Holders Business Bag Storage Metal Clip Solid Color Business Gift,"₦ 5,495"
Pp Plastic Id Identification Card Holder Both Sides Of The Card Horizontal And Vertical Bidirectional Dual-Purpose Card Housin,"₦ 17,342"
Minimalist Front Pocket  Blocking Men's Women's Leather Wallet,"₦ 5,052 - ₦ 6,315"
24 Bits Credit Card Holder Business Bank Card Pocket PVC Large Capacity Card Cash Storage Clip Organizer Case ID Holder,"₦ 21,236"
Two Sided Transparent Card Holder Withyard Horizontal Style Transverse Plastic Sleeve Badge Card Holder Card Protector,"₦ 16,007"
1PCS Card Key Ring Clip Retractable Pull Key Ring Chain Reel Extendable Belt Reel IDyard Name Tag Card Badge Holder,"₦ 21,458"
Men's Driver's License Driving License Multifunctional Card Holder  Leather,"₦ 26,020"
Mobile Phone Credit Card Wallet Holder Pocket Stick-On Adhesive Elastic Tool Silicone Cover For IPhone Samsung Xiaomi,"₦ 19,790"
1 Set Anime DRAGON BALL Card Cases Cardyard Keyyard Cosplay Badge ID Cards Holders Neck Ss Keychains,"₦ 19,011"
1pc Card Holder Men  Blocking Aluminum Metal Slim Wallet Money Bag Anti-scan Credit Card Holder Thin Case Small Male Purses,"₦ 21,013"
Super Slim Soft Sheepskin Genuine Leather Card Holder Mini Credit Card Wallet Men Thin Card Case Small Purse Business Cardholder,"₦ 18,566"
PU Function 24 Bits Credit Card Holder Solid Color Card Case Business ID Card Organizer Portable Men Women Wallets Cardholder,"₦ 17,008"
Men Cool Boy Girl ID Credit Bank Card Holder Students Bus Card Case Hand Rope Child Visit Door Identity Badge Card Cover,"₦ 16,452"
2022 Simple Fashion Passport Holder World Map Thin Slim Personalized Travel Wallet Gift PU Leather Card Case Cover Uni,"₦ 18,343"
1 Pc Cute Floral Card Holder Women Flowers Named Card Case Identity Badge Withyard ID IC Card Holder With Key Chain,"₦ 18,566"
2PCS  Blocking Sleeves Cards NFC Debit Credit Card Protector Blocker Identity Theft Prevention For Men Women Bank Card Case,"₦ 17,565"
Disney Marie Cat Girls Credit Card ID Holder Bag Student Women Travel Bank Bus Business Card Cover Badge Accessories Gifts,"₦ 18,788"
1 Set Japanese Anime Card Cases Cardyard Keyyard Badge ID Cards Holders Neck Ss Keychains Itadori Yuji Gojo Satoru,"₦ 19,011"
2PC Passport Bag Fashion Travel Waterproof Dirt Transparent PVC ID Card Business Credit Card Case  Holder Cover Wallet Drop,"₦ 18,788"
