Item,Price
Multi-layers Vintage Hollow Triangle Leather Bracelate-Black,"₦ 2,700"
Quality Unisex Cross Chain Bracelet-Silver ( Adjustable),"₦ 4,499"
"Black Crystal  Ring Black Mens, Women Rings","₦ 2,290 - ₦ 2,550"
2 IN 1 Crystal  Matts Stone Beads Bracelet Black,"₦ 2,490"
Unique Gold Ring + Tibetan Money Bracelet,"₦ 4,900"
Gold Bold Ring For Men,"₦ 3,500"
PASSES DIAMOND TESTER! Fully Iced Men Neck Chain + Iced Out Jesus Piece Pendant/2 Full Stone Armlet,"₦ 89,999"
TRENDY UNISEX LUXURY STUD ICE EARRING,"₦ 2,999"
Gold Best Never Fading/Superior Quality Dubai Gold Cuban Necklace & Hand Chain,"₦ 14,599"
Mens Hip Hop Iced Miami Cuban Chain Necklace,"₦ 6,600"
U.S.A Original & Very Authentic Non Fading Gold Wedding/Engagement Rings (U.S.A),"₦ 34,900"
Gold Best Original Non Fading Arabian Gold Jewelry Set + Powerful White Ceramic Wristwatch,"₦ 95,900"
Cuban Link Chain With Cross Pendant-GOLD,"₦ 3,500"
Cuban Link Chain With Bracelet,"₦ 4,500"
"12 Pairs Per Box 4,6,7mm Round Crystal Magnetic Clip On Stud Earrings","₦ 2,748"
Cuban Link Chain With SAVAGE Pendant Silver DIAMOND,"₦ 6,800"
New Fast And Furious Cross Pendant Chain Necklace - Silver,₦ 999
Luminous Fire Dragon Pendant Necklace Glow In Dark,"₦ 1,280"
New Feng Shui Black Obsidian Wealth Bracelet Necklace,"₦ 2,799"
"2Pcs/Set ""I Love You Forever&Always ""Couple Pendants Necklace For Lovers Valentines","₦ 1,650"
Hip Hop Magic Cube Life Tree Luminous Pendant Necklace,"₦ 1,200"
2 Cuban Chains With Pharoah Head Pendant Silver,"₦ 3,200"
Tiny Gold Necklace,"₦ 2,000"
Hip-hop Titanium  Black Fire Dragon Pendant Necklace,"₦ 1,180"
Cuban Link Chain,"₦ 2,300"
Gold Cuban Necklace And Gold Cross Pendant,"₦ 3,550"
A Pair Of Couple Luminous Pendant Necklace,"₦ 1,450"
Cross Gold Pendant On Cuban Gold Chain Jewelry,"₦ 2,400"
4 In 1  Retro Braided Adjustable Hand Bracelets,"₦ 2,999"
Blue Eye Bracelet ( Fortified ),"₦ 1,054"
Four Sets Lava  Beads Bracelet,"₦ 4,500"
Feng Shui Black Obsidian Wealth Bracelet,"₦ 1,999"
4Pcs PU Multilayer Men's Leather Braided Believe Bracelet,"₦ 2,236"
 Matt's Black Fashion Bracelet,"₦ 2,500"
Mens Double Band Silicone Metal Bracelet,"₦ 4,000"
2Pcs/Set Couple Yin-Yang Tai-Chi Bracelets For Best Friends Lovers Valentines,₦ 995
Black And Blue Sunset Matt's Bead Bracelet ,"₦ 3,000"
Tibetan Silver Men Leather Bracelet Fashion Male Vintage Parataxis Dragon Multilayer Jewelry,"₦ 1,480"
Men’s Genuine Leather Bracelet With Stainless Steel Magnetic Buckle (Black 21cm),"₦ 6,000"
Classy Black Matts Beads Bracelet,"₦ 4,200"
2021 Mens Luminous Bracelets 2in1 Couple Bracelet,"₦ 2,908"
Men’s  Faith Leather Bracelet Brown Wrist Cuff,"₦ 1,450"
Delicate Male Diamond Emerald Ring,"₦ 1,130"
Hot Hip Hop Gold-plated Diamond Men's Ring,"₦ 1,350"
Luxury Men's Carved Dragon Ring Beach Party Gift Jewelry,"₦ 2,400"
Men's Biker Polished Stainless Steel Ring - Black,"₦ 3,500"
Punk Highly Polished Index Finger Ring-Silver,"₦ 3,300 - ₦ 3,500"
Black Punk Rock Men's Rings,"₦ 2,500"
Retro Personality Black Imitation Agate Men's Ring,"₦ 4,534"
Men's 18K White Gold Plated Cz Wedding Ring Size 8-15,"₦ 3,700"
Temperature Ring Fashion Smart Stainless Steel Classic Wedding Couple Modern,"₦ 880 - ₦ 1,880"
Pixiu Charms Ring Feng Shui Amulet Wealth Lucky Open Adjustable Ring,"₦ 2,720"
Luminous Halloween Skull Ring Glow In Dark,"₦ 1,120"
Domineering Lion Head Titanium Steel Men's Ring Gold 2,"₦ 3,000"
Vintage Punk Carved Pattern Men's Ring,"₦ 4,447"
6 Pcs Classy Silver Gold Black Unisex Magnetic Shape Ear Clip Stainless Steel Men Women Non Piercing Earring Fashion Jewelry Punk Rock Style Mens Earrings,"₦ 4,050"
TRENDY  LUXURY STUD ICE EARRING,"₦ 2,999"
Maestro Makeover Cross B Non Piercing Ear Stud Clip Earring - Black,"₦ 2,399 - ₦ 3,999"
2pcs Vintage Style Long Dangle Earclips Cross Spike Huggie Hoop Stud,"₦ 2,445"
Mens- Stud Earring Gold And Silver 2 In1,"₦ 5,090"
Cool Mens Earring Ear Stud Stainless Steel Butterfly Stopper Back,₦ 845
100Pairs Mixed Style Stud Earrings Set Cute Ear Studs Fashion Women,"₦ 7,460"
1 Pair Long Cross Earrings NonPiercing Hoop Earrings High Silver,"₦ 1,955"
12 Pairs Multicolour Magnetic Round Crystal Rhinestone Men Women Unisex Earrings No Piercing,"₦ 2,499"
1pair Mens Womens Unisex Stainless Steel Silver Cross Dangle Hoop,"₦ 2,351"
12 Pairs  Metal Mens Womens Magnetic Earrings Crystal Studs,"₦ 5,582"
Unique Steel Brooch Lapel Pin,"₦ 2,900"
Unique Royal Steel Brooch Lapel Pin,"₦ 2,900"
Men Royal Brooch,"₦ 2,900"
Tie Clip For Men Charminer Stainless Steel Fashionable Pin,"₦ 1,819"
Solid Steel Brooch Lapel Pin,"₦ 2,900"
Senators Lapel Pin - Silver,"₦ 3,000"
Men And Women Tie Pins Badge Alloy Elk Head Brooch Christmas,"₦ 1,200"
Single Gold Wedding Ring,"₦ 2,700 - ₦ 2,800"
