Item,Price
4 In 1 Retro Braided Adjustable Hand Bracelets-lucky Leaves,"₦ 2,199"
Feng Shui Black Obsidian Wealth Bracelet,"₦ 1,999"
Chinese Fortified Feng Shui Obsidian Wealth Bracelet,"₦ 8,500"
Men's Retro Volcanic Stone Yoga Bracelet,"₦ 1,080"
Feng Shui Black Obsidian Wealth Bracelet Bead Diameter Gift 14mm-Large Size,"₦ 1,889"
Ajfashion 3D Mantra Lucky Beads Gold Plating Hand Ring Bangle,"₦ 2,390"
Franco Link Mens Bracelet,"₦ 3,500"
4 In 1 Retro Braided Adjustable Hand Bracelets-ocean Warrior,"₦ 2,999"
Royal Beaded Tiger Eye Bracelets,"₦ 2,700"
Natural Sandalwood Wooden Prayer Beads Bracelet Christmas Gift Jewelry Wealth Bracelet Man/Boy,"₦ 1,669"
4 In 1 Retro Braided Adjustable Hand Bracelets-Devil's Eye,"₦ 1,499"
Iced Stone Hand Chain,"₦ 3,200"
Black And Silver Bead Bracelet Set With Shambala Rope,"₦ 2,750"
5 In 1 Men And Women Feng Shui Black Obsidian Wealth Bracelet - Gold Pixiu,"₦ 3,999"
4 In 1 Retro Braided Adjustable Hand Bracelets-Prairie Hero,"₦ 1,499"
Sliver Chains Fashion Men Beads Bracelet,"₦ 1,500"
Men And Women Feng Shui Black Obsidian Amulet Luck Wealth Bracelet - Gold Pixiu,"₦ 1,899"
Luminous Star&Moon Bracelet Glow In Dark,"₦ 1,220"
Lucky Eye Glass Bracelet / Blueey,"₦ 8,000"
Feng Shui Obsidian Wealth Bracelet,"₦ 8,000"
Feng Shui Black Shambala Obsidian Wealth Bead Bracelet For Men And Women,"₦ 1,499"
Buddha Wealth And Power Bracelets,"₦ 8,000"
Cuban Chain Gold Bracelet Crystal Necklace Hip Hop Jewelry,"₦ 6,000"
Quality Cuban Linked Gold Chain + Cross Pendant,"₦ 2,500"
Fortified Feng Shui Obsidian Wealth Bracelet,"₦ 12,500"
Men's Leather Hand European And American Bracelet Titanium Steel Punk-Brown,"₦ 3,199"
Buddha Wealth And Power  Bracelet / Necklace,"₦ 14,500"
2Pcs/Set Couple Obsidian Bracelets Gift For Best Friends Lovers Valentines,"₦ 1,500"
COUPLE Quartz Fashion Business Men’s Wristwatch Waterproof,"₦ 13,999"
Volcanic Stone Beaded Bracelet Spartan Warrior Helmet Bracelet,"₦ 1,380"
Men Bracelet With Leopard Head,"₦ 1,500"
Men's Iced Out Cuban Link Watch + Hand Chain Bracelet - Gold,"₦ 9,999"
High Quality Silver Hand Chain For Male And Female,"₦ 6,500"
Cubanas Iced Stone Hand Chain,"₦ 6,000"
2Pcs/Set Couple Magnetic Bracelets Gift For Best Friends Lovers Valentines,₦ 990
