Item,Price
Crocs Unisex Fashion Foot Wear/ Waterproof Beach Wear For Outdoor - Green,"₦ 7,990"
Crocs Unisex Fashion Foot Wear/ Waterproof Beach Wear For Outdoor - Black,"₦ 7,990"
Crocs Unisex Crocs Fashion Waterproof Shoes For Outdoor - Black,"₦ 7,950"
Clogs For Adults (Unisex),"₦ 6,500"
Crocs Bayaband Clog Ballerina Pink/Candy Pink,"₦ 20,900"
Crocs Bayaband Clog Light Grey/Candy Pink,"₦ 20,900"
Tacio Men Half Shoes,"₦ 12,980"
Crocs Bayaband Clog White/Navy,"₦ 20,900"
Patrana Men Half Shoes,"₦ 12,980"
MENS Clog Shoes Beach Wear THICK Rubber Clog Shoes- BLK,"₦ 11,799"
Crocs Classic Lined Clog White/Grey,"₦ 21,900"
Crocs LITERIDE AUTHENTIC SANDALS,"₦ 22,100"
Crocs Literide Crocs Clog,"₦ 34,988"
SKULL HALF-SHOE: BLACK,"₦ 12,500"
Crocs Crocband Full Force Clog,"₦ 27,000"
EXECUTIVE AND CORPORATE GLOSSY MEN SHOE WITH SIDE CLIP,"₦ 9,500"
Classy Men Shoe-Brown,"₦ 14,000"
Male Skin Leather Half Shoe,"₦ 12,950"
Crocs Toddler Crocband Clog Lavender/Neon Purple,"₦ 17,000"
Crocs Classic Marbled Clog Lavender/Multi,"₦ 21,900"
Kingskartel Black Pitch Mules,"₦ 9,999"
UNIQUE AND DIGNIFYING SIDELACE MEN SHOE,"₦ 10,500"
Crocs Unisex Beach Sandals  - BLACK CROCS,"₦ 6,799"
CROCODILE SKIN HALF-SHOE: BLACK,"₦ 12,800 - ₦ 13,800"
Crocs Swiftwater Wave Flip Flop - Black/Slate Grey,"₦ 12,600"
DIGNIFYING AND EXECUTIVE MEN SHOE WITH SIDE ORNAMENT,"₦ 11,000"
CLOGS FOR ADULT(UNISEX),"₦ 6,400"
EXECUTIVE AND DIGNIFYING SIDELACE MEN SHOE,"₦ 7,200"
Kingskartel Black Dynamic Net Mules,"₦ 9,999"
Craftman's Strapped Halfshoe,"₦ 19,999"
Kingskartel Gold Boasy Mules,"₦ 9,500"
Kingskartel Black Kartier Mules,"₦ 9,500"
Crocs Unisex Beach Sandals,"₦ 7,999"
Crocs Girls Beautiful Crocs,"₦ 4,000"
Crocs Classic Crocs Sandal Black,"₦ 16,900"
Unisex Fashion Foot Wear Waterproof Sandal For Outdoor - Black,"₦ 6,190"
Kingskartel Black Kartel Mules,"₦ 9,500"
