Item,Price
Couple Chain Heart Pendant Steel Couple Chain Necklace,"₦ 1,650"
2Pcs/Set Couple Pendants Necklace For Lovers Valentines,"₦ 1,850"
2022 Mens Fashion 2in1 Couples Heart Necklace - Gold/Silver,"₦ 3,635"
Heart Pendant Puzzle Titanium Steel Couple Necklace,"₦ 1,900"
Lovers Couple Chain Necklace-Silver,"₦ 1,899"
Hip Hop Luminous Flame Anchor Pendant Necklace,₦ 380
Cuban Link Chain With SAVAGE Pendant Silver DIAMOND,"₦ 6,800"
Men's Spike Collarbone Chain Cuban Reflective Beads Necklace,"₦ 2,873"
2 SET DUBIA LUXURY SILVER NECKLACE AND PENDANT,"₦ 2,999"
DUBIA LUXURY GOLD NECKLACE AND PENDANT Gold,"₦ 2,750"
New Feng Shui Black Obsidian Wealth Bracelet Necklace Set,"₦ 2,950"
Little Angel Pendant Necklace,"₦ 1,290"
New Fast And Furious Cross Pendant Chain Necklace - Silver,₦ 999
Iced Out Cuban Link Chain And TIGER Head Gold Pendant,"₦ 7,000"
"2Pcs/Set ""I Love You Forever&Always ""Couple Pendants Necklace For Lovers Valentines","₦ 1,650"
Mens Feng Shui Black Obsidian Wealth Bracelet Necklace Set,"₦ 2,950"
Her Beast His Beauty Couple Pendants Necklace Gift,"₦ 1,600"
PASSES DIAMOND TESTER! Fully Iced Men Neck Chain + Iced Out Jesus Piece Pendant/2 Full Stone Armlet,"₦ 89,999"
New Feng Shui Black Obsidian Wealth Bracelet Necklace,"₦ 2,799"
Iced Out Cuban Link Choker With Clown Pendant Silver,"₦ 5,999"
Cuban Link Chain,"₦ 2,300"
Men's Unique Vintage Geometry Strip Necklace - Silver,"₦ 2,499"
Gold Best Never Fading/Superior Quality Dubai Gold Cuban Necklace & Hand Chain,"₦ 14,599"
Iced Out Cuban Link Choker With Pendant,"₦ 6,400"
Mens-miami-cuban-link-curb-chain-,"₦ 3,700"
Mens Hip Hop Iced Miami Cuban Chain Necklace,"₦ 6,600"
"Couple Chain 2 Necklaces, Valentines Day Gift, I Love You Pendant-Silver &Gold","₦ 2,930"
Lovely Cuban Chain With Cross Pendant Gold,"₦ 3,300"
Men Cross Pendant Long Chain Necklace Party Club Jewelry Birthday Gift-Black,₦ 992
2Pcs/Set Couple Forever Pendants Necklace For Lovers Valentines,"₦ 1,750"
Hip-hop Titanium  Black Fire Dragon Pendant Necklace,"₦ 1,180"
Cuban Link Chain With Cross Pendant-GOLD,"₦ 3,500"
Cuban Link Chain With Bracelet,"₦ 4,500"
Gold & Silver Dubai Quality Non Fading & Super Durable Silver & Gold Cross Necklace,"₦ 5,999"
Unisex Round Gemstone Beads Pendant Necklace,₦ 257
Square Hollow Cube Charm Pendant Minimalist Couple Necklace,₦ 298
Titanium Steel Spiral Necklace Simple Style Personality Hip Hop Pendant Necklace,"₦ 2,200"
Tiny Gold Necklace,"₦ 2,000"
"Couple Chain Necklaces, 2 In 1 Couple Necklace -Silver &Gold","₦ 2,900"
