Item,Price
Molianseng Black Glitero Men's Luxury Shoes,"₦ 12,500"
Declan Mein Ankle Bullock Brogue Shoes- Black,"₦ 11,830"
Declan Mein Tryp Wing Brogue Shoes - Brown & Black,"₦ 11,890"
XCST-BNZHO EU 38-47 Men Loafers Leather Shoes Fashion High Quality Formal Shoes Office Oxfords Shoes Brown,"₦ 29,411"
Flangesio Men's Formal Shoes Breathable Soft Leather Handmade Office Business Wedding Shoes Dress Shoes White,"₦ 32,633 - ₦ 32,800"
Molianseng Euphoria Dress Shoes In Luxe,"₦ 12,910"
Molianseng DriveForce Monogram Casual And Formal,"₦ 12,540"
Molianseng HandMade Luxury Wingtip Sole Brogue Shoes - Black,"₦ 12,500"
Big Size Mens Brogue Formal Shoes Slip On Dress Shoes-Brown,"₦ 28,600 - ₦ 31,400"
Genuine Leather Men Formal Shoes British Style Loafers Slip-On High Quality Fashion Men Leather Shoes Luxury Brand,"₦ 27,100 - ₦ 29,100"
XCST-BNZHO 38-48 Formal Shoes Men Leather Oxfords Dress Shoes Office,"₦ 29,511"
Men's Brown Brogues Italian Calf Leather Shoe,"₦ 21,100"
Black Italian Leather Brogue Shoe,"₦ 22,101"
Mens Bullock Leather Shoes Oxford Formal Shoes,"₦ 31,620"
Declan Mein England Bullock Brogue Dress Shoes - Black,"₦ 12,980"
Declan Mein England Bullock Brogue Dress Shoes Upto Size 48 - Brown,"₦ 12,980"
Men's Business PU Leather Work Formal Shoes -  Black,"₦ 5,500 - ₦ 7,600"
Men's Leather Formal Shoes -Black,"₦ 3,999 - ₦ 6,541"
Big Size 46 Men Formal Shoes Flat Oxfords Moccasins Black,"₦ 15,098"
Molianseng HandMade Luxury Wingtip Sole Brogue Shoes - Light Brown,"₦ 12,890"
Molianseng Silver Glitero Men's Luxury Shoes,"₦ 12,980"
Declan Mein Ankle Bullock Brogue Shoes- Light Brown,"₦ 11,830"
Men's Large Size Business Casual Formal Shoes-BLUE,"₦ 9,900"
Carved Men's Formal Classic Wedding Shoes Black,"₦ 14,700"
Mens Leather Business Shoes Formal Office Loafers,"₦ 15,560"
Mens Pointed Oxfords Shoes Men Brogues Formal Shoes Black,"₦ 28,600"
Men's High-End Formal Leather Shoes Lace Up Business Office Shoes Wedding Shoes,"₦ 26,427 - ₦ 27,826"
Varrati NEW Men's Italian Office Wedding Patent Leather Shoes Sizes [41 To 46] Black,"₦ 8,500"
Men's Business Formal Shoes Oxford Shoes Black,"₦ 26,410 - ₦ 27,500"
Varrati HIGHLY EXECUTIVE MEN SHOE BLUE D6,"₦ 10,500"
Varrati HIGHLY EXECUTIVE MEN SHOE BLACK D6,"₦ 11,000"
Santiago Men Double Buckle Oxford Mule Shoe Suede Leather Half Shoe 885 - Black Halfshoe,"₦ 13,500"
Men's Italy Business Shoes Pointed Formal Dress Size46 Brown,"₦ 15,499"
Men's Soft Leather Business Shoe-Black,"₦ 3,999"
Men's Business Suits And Casual PU Leather Lace-up Shoes -  Black,"₦ 7,500"
Men Official Shoe-black,"₦ 11,000 - ₦ 25,000"
Men's Brown Italian Calf Leather Oxford Shoe,"₦ 22,188"
Italian Business Shoes Mens Leather Dress Suits Shoes Black,"₦ 14,610"
Santiago Mens Dress Shoes Italian Leather Shoes Brown,"₦ 10,400 - ₦ 10,500"
Italian Business Shoes Mens Leather Dress Suits Shoes Brown,"₦ 14,610"
Varrati Mens Italian Style Patent Leather Shoes With Skin Top -Black,"₦ 8,500 - ₦ 8,999"
38-48 Men Tassel Leather Stitching Business Shoes Flat Black,"₦ 13,780"
Varrati Mens Dress Shoes Italian Leather Shoes Black,"₦ 12,500"
Men Guys Unique Coperate Brogue Vintage Shoe,"₦ 23,000"
Varrati Mens Dress Shoes Italian Shinny Leather Shoes Black,"₦ 8,500 - ₦ 9,500"
