Item,Price
Unique Steel Brooch Lapel Pin,"₦ 2,800"
Pendant With Cuban Link Chain,"₦ 3,200"
Solid Steel Brooch Lapel Pin,"₦ 3,000"
iYOWEI Blue Eye Bracelet Vintage Hollow Carved Leather Bracelet,₦ 990
Feng Shui Pixiu Protect Wealth Ring Lucky  Adjustable Ring,"₦ 12,999"
Men Music Brooch,"₦ 2,850"
Unique Royal Steel Brooch Lapel Pin,"₦ 3,000"
Rosery Necklace  (silver),"₦ 8,500"
Senators Lapel Pin - Silver,"₦ 3,000"
Men Royal Brooch,"₦ 2,900"
Men Regal Chain Brooch,"₦ 2,850"
Crown Chain Pin Badge Suit Brooch,"₦ 2,800"
Bullet Pendant Stainless Steel Cross Necklace For Men,"₦ 4,389"
1Pc Dangle Earring Cross Hip Hop Jewelry Bright Luster Hoop Earring-silver,"₦ 1,490"
Silver Stoned Tennis Chain Necklace,"₦ 8,999"
Unique Necklace With Allah Inspired Pendant,"₦ 3,999"
Wheel Suit Lapel - Gold,"₦ 3,000"
Rosery Necklace  (gold ),"₦ 4,500"
Antelope Head Suit Lapel - Gold,"₦ 2,800"
Lapel For Men - Gold - Original,"₦ 6,350"
Unique Gold Neck Chain And Hand Chain,"₦ 3,700"
New Adjustable Feng Shui Pixiu Protect Wealth Ring,"₦ 3,900"
Cool Super Bling Titanium Steel Zircon Stud Earing,₦ 431
Lapel For Suit - Silver,"₦ 4,500"
Non-Tarnish Unique Neck Chain With Pendant,"₦ 4,999"
2pcs Gothic Jewelry Best Friends Necklace W Pendants,"₦ 1,740"
International Imported Girl Necklace Elegant Noble Gift,"₦ 1,645"
Non Tarnish Gold Neck Chain And Pendant,"₦ 4,999"
Vintage Stainless Steel Bangle For Men Women Mobius Twisted Cuff,"₦ 4,935"
Silver Plated Couple Necklace I Love You Lock And Key Cupid's Heart Pendant-multicolor,₦ 400
Unisex Blue Eyes Bead Bracelet With Hand Of Hamsa,"₦ 10,000"
