Item,Price
UWY 32GB Memory Card TF Card Mobile Phone For Driving Recorder,"₦ 1,990"
IOOIOO 64gb Micro Sd Card,"₦ 2,999"
YingHD High Speed U Disk 64GB In 5IN 1 Card Reader,"₦ 3,490"
512GB High Speed TF Flash Micro Security Digital Memory Card,"₦ 7,811"
Micro SD Card 1TB 1024GB 512GB TF Card Memory Cards Mirco,"₦ 12,999"
Extreme 64gb Memory Card + MicroSD Card Reader + OTG Cable,"₦ 3,550"
Hikvision C1 Series 16G Micro SD (TF) Card,"₦ 2,200"
Hikvision 128GB Memory - C1 Consumer Class Micro SD Card,"₦ 11,000"
Ace Elec 64GB-C10 120M/S Mobile Phone Memory Card Micro SD / TF Card,"₦ 3,500"
XC 64gb Memory Card + Card Reader OTG Cable,"₦ 3,550"
XC 64GB-U3  Memory Card Micro SD / TF Card With Adapter,"₦ 2,990"
Micro SD Card  TF Memory Card 512GB SDXC  C10 Memory Cards,"₦ 7,815"
Extreme 64gb Memory Card + Adjustable Phone Stand,"₦ 3,800"
Hikvision 256GB Memory - C1 Consumer Class Micro SD Card,"₦ 18,000"
Memory Card Micro SD Card 512GB 1024GB 1TB Class10 Flash,"₦ 8,715"
Hc 32GB-C10 Mobile Phone Memory Card Micro SD / TF Card,"₦ 2,500"
Micro SD Card Mini TF 1TB 1024GB 512GB  Memory Card Sd Card,"₦ 8,500"
Chupez ANTIVIRUS MEMORY CARD 16GB,"₦ 2,990"
TF Card  Sd Card 512GB  Micro Sd Card Memory Cards Class10,"₦ 7,788"
"SanDisk 128GB  Memory Cards, 100MB/s Ultra A1 MicroSD","₦ 19,500"
XC 64gb Memory Card + MicroSD Card Reader + OTG Cable,"₦ 3,650"
Micro SD Card  TF 1TB 1024GB 512GB  Memory Card Sd Card,"₦ 8,712"
IOOIOO 32GB Memory Card TF Card High Speed U3 SDCard For All Device,"₦ 2,900"
Eekoo 128MB CLASS 4 TF(Micro SD) Memory Card,"₦ 2,310"
Eekoo 512MB CLASS 4 TF(Micro SD) Memory Card,"₦ 2,990"
XC 128GB-U3 Mobile Phone Memory Car And Adapter,"₦ 8,600"
8GB High Speed Class10 Black TF(Micro SD) Memory Card,"₦ 3,990"
Samsung Evo Plus Micro SDXC Class 10 UHS 128G Memory Card - Intl,"₦ 11,634"
Tecno 32gb Memory Card,"₦ 5,500"
"SanDisk 256GB ImageMate PRO MicroSDXC V30, 4K UHD Micro SD Card","₦ 40,900"
SanDisk High Endurance 128 GB MicroSDHC Card With SD Adapter,"₦ 14,782"
"SanDisk 128GB ImageMate PRO MicroSDXC, V30, 4K UHD Micro SD Card","₦ 20,900"
Yvonne 64GB Flash Drive Double Port USB2.0 U Disk Rotating Flash Drive For Android / Computer,"₦ 3,900"
SanDisk 128GB MicroSDXC UHS-I Card For Nintendo Switch,"₦ 16,577"
Memory Box 64 GB Memory Card A1 Memory Card  With Adapter,"₦ 6,490"
SanDisk 512GB Ultra MicroSDXC UHS-I Memory Card SDSQUAR,"₦ 44,296"
SanDisk 32gb Memory Cards Class 10,"₦ 22,000"
