Item,Price
Nexus Refrigerator 140 Ltrs - Red NX-185,"₦ 168,290"
Nexus NX-225 (185 Ltrs) - Silver,"₦ 192,400"
Binatone Standing Fan 16 Inch - A-1691 - Black,"₦ 25,480"
3D Comfortable Sleep Mask Blindfold - Black,"₦ 3,500"
Jumia Sack (Grey) x50,"₦ 19,000"
Svampig Sponge 602.576.05,"₦ 1,200"
Jumia EXC Flier x1000,"₦ 16,000"
Oyesky Fashion Men's Multi - Patterned Native Wear - Black,"₦ 8,550"
Zaful Women Skirt Fruit&Floral Printing Zipper Side Style Design Retro Skirt - Green,"₦ 5,163"
Mamalicious Mlnew Thrill Jersey Jumpsuit - Blue,"₦ 4,090"
Bata Kids Leather shoes - Black Leather shoes,"₦ 4,000 - ₦ 5,800"
Nobel Feather Collection Rugs 5037 - Black,"₦ 15,000 - ₦ 50,000"
Jkg Unisex Swim Google- Yellow With Touch Of Orange,"₦ 3,500"
Oyesky Fashion Men's Floral Patterned Native Wear - Coffee Brown,"₦ 8,550"
Remy Latour Kyriaz Eau De Toilette,"₦ 6,499"
New Era Men's Miami Vibe Tee - Navy,"₦ 5,850"
Nexus 85 Ltrs Refrigerator 125 - NX-125 (Black),"₦ 100,440"
Remy Latour Kyriaz Eau De Toilette - 100ML,"₦ 5,250"
Jumia Sack (Spag) x50,"₦ 12,500"
Open Slit Side Button Skirt - Black,"₦ 8,000"
Magideal Set Of 33pcs Sugarcraft Cake Decorating Fondant Icing Cutter Plunger Tools Mold Mould,"₦ 4,650"
Oyesky Fashion Men's Multi-Patterned Native Wear - Coffee Brown,"₦ 8,550"
Jumia Wine Crate x50,"₦ 23,500"
Jumia Seal x100,"₦ 7,254"
Afri Women Printed Flat Sandals - Yellow/Red,"₦ 3,500"
Probably T-Shirt - White,"₦ 4,995"
My Partner T-Shirt - Red,"₦ 4,995"
Ankara African Wax Wrapper Fabric Hitarget Print + FREE Measuring Tape + Washing Soap + Key Holder,"₦ 19,999"
Style T-Shirt - White,"₦ 4,995"
Copaci Eau De Parfum For Woman- 100ml,"₦ 5,000"
Kdk Standing Fan - P40W,"₦ 120,000"
Sunsky PULUZ CNC Camcorder Tripod Mount Adapter For GoPro HERO5 /4 Session /4 /3+ /3 /2 /1  Xiaomi Yi  SJ4000  SJ5000  SJ6000(Blue),"₦ 2,570"
Sunsky Puluz 53 In 1 Accessories Total Ultimate Combo Kit For Gopro Hero5 /4 /3+ /3 /2 /1,"₦ 24,390"
Sunsky 3 In 1 Selfie Stick Monopod + Floating Bobber Tripod Mount Set For Gopro Hero4 /3+ /3 /2 /1 / Sj4000,"₦ 5,710"
Sunsky 14 In 1 Storage Pouch Set For Gopro Hero5 /4 /3+ /3 /2 /1,"₦ 23,510"
Sunsky 5 In 1 Chest Belt + Wrist Belt + Head Strap + Floating Bobber Monopod + Portable Box + Carry Bag Set For Gopro Hero4 /3+ /3 /2 /1 / Sj4000,"₦ 19,990"
Sunsky 5 In 1 Monopod Tripod Mount Adapter + Float Bobber Handheld Stick + Chest Belt + Head Strap + Bag For Gopro Hero4 /3+ /3 /2 /1 / Sj4000,"₦ 13,130"
30 In 1 Adapter Set For Gopro Hero4 /3+ /3 /2 /1,"₦ 26,690"
