Item,Price
Winwolf Wireless Fingerprint Touch Bluetooth Headset Earphone  With Power Display,"₦ 3,790"
Ace Elec F9 Wireless Fingerprint Touch Headphones Hifi Stereo Noise Cancelling Headsets,"₦ 3,990"
Deco Gear Wireless Earpods Bluetooth 5.0 Fingerprint In-Ear Earbuds,"₦ 3,627"
F9 Fingerprint Touch Bluetooth Earphone Earbuds Power LED 2200mAH,"₦ 4,450"
Bone Conduction Wireless Bluetooth Headphones,"₦ 2,182"
"Edifier TWS1 PRO True Wireless Earbuds,Bluetooth V5.2 Headphone,CVC8.0 Noise Canceling, IP65 Dustproof & Waterproof,One-Step Pairing","₦ 17,766"
Wireless Fingerprint Touch Blutooth 5.0 Earphone Headset Stereo Sound In-ear Earbuds For Android IOS Cell Phone,"₦ 3,100"
True Wireless Bluetooth Earphone Noise Cancel Headset Earbud,"₦ 3,190"
F9 Fingerprint Touch Bluetooth Earphone Power LED 2600mAh,"₦ 4,310"
F9 Fingerprint Touch Bluetooth Earphone Earbuds Power 2200mAH,"₦ 4,450"
Ace Elec True Wireless BT 5.1 Noise Cancelling Earbuds Earphones 40Hours Playtime 9D Stereo Headsets Ergonomic Design,"₦ 6,800"
Tws Wireless Bluetooth Headsets Earphones I12,"₦ 1,999"
Wireless Bluetooth Earphone Noise Cancelling Headset Earbud,"₦ 3,170"
I12TWS Bluetooth  Earbuds Sport HiFi Stereo Touch Control,"₦ 2,500"
Wireless Bluetooth Earphones Headset  HIF Stereo Sound Black,"₦ 3,070"
Wireless Fingerprint Touch Noise Cancelling Headphones,"₦ 4,290"
Tws Wireless Bluetooth Headsets Earphones Pro4,"₦ 2,599"
I12TWS Bluetooth Earphone Earbuds HiFi Stereo Touch Control,"₦ 3,880"
"Edifier X5 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IP55 Dustproof & Waterproof, Deep Bass","₦ 11,100"
V9 Earhook Wireless Bluetooth Earphone Headphone Headset,"₦ 2,630"
V9 Earhook BT Headset Noise Cancelling Single Ear,"₦ 2,050"
Bluetooth 5.0 Headphones with LED Charging Case,"₦ 4,500"
Wireless Earpods Bluetooth 5.0 Earphones Cute-Blue For Boys,"₦ 3,490"
Oraimo Roll Dynamic True Wireless Earbuds Sound Noise-reducing Microphones,"₦ 13,300"
Edifier W800BT PLUS Wireless Bluetooth Headset,"₦ 22,718"
Music Pioneer Bluetooth Earphone Stereo True Wireless Stereo Earbuds Black,"₦ 2,900"
Oraimo BoomPop Over-Ear Bluetooth Wireless Headphone,"₦ 22,600"
Air 3 Wireless Bluetooth Earphone Earbuds For Android & IOS,"₦ 3,540"
"Edifier X5 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IP55 Dustproof & Waterproof, Deep Bass & Surround Sound Systems-Black","₦ 14,536"
Qcy T13 Bluetooth Headsets BT 5.1 Earphones IPX5 Headphone 40H,"₦ 12,591"
Ace Elec Pro4 Wireless Bluetooth Headsets Stereo Headphones Earbuds,"₦ 3,600"
Neck Hanging Wireless Bluetooth Earphone Sports Earbuds,"₦ 3,420"
"Edifier X3 Wireless Headphone, Bluetooth 5.0 Headset Earpiece,Noise Cancelling Earbuds,Touch Contro,IPX5 Waterproof,Type-C -Black","₦ 9,989"
Bluetooth 5.0 PRO3 Wireless Earphone Waterproof Earbuds Air3 Business Big Batteries Headset,"₦ 3,270"
F9-2 T W S Bluetooth 5.0 Wireless Touch Control   Earphone,"₦ 3,890"
Pro3 In-ear Wireless Sports Headphones Stereo Headphones,"₦ 3,969"
Music Pioneer V9 Bluetooth 5.0 Earphones Headsets Sports Gaming Earbuds,"₦ 2,136"
Air Pro 6 Bluetooth Earphone Earbuds Headset For Android IOS,"₦ 3,545"
F9 Wireless Fingerprint Touch Headphones,"₦ 4,100"
Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,"₦ 3,270"
