Item,Price
For  IPad Mini 5 / 4 / 3 / 2 / 1 Sparrow Style EVA Children's Flat Anti Falling Protective Shell(Green),"₦ 10,200"
For IPad Pro 11 Inch (2020) Formula Pattern Horizontal Flip Leather Case With Holder & Card Slot & Wallet(Panda),"₦ 11,380"
For IPad Pro 11 Inch (2020) Formula Pattern Horizontal Flip Leather Case With Holder & Card Slot & Wallet(Tiger),"₦ 11,380"
For Sony Xperia 1 II Leather Case (Blue),"₦ 4,630"
For  IPad Mini 5 / 4 / 3 / 2 / 1 Sparrow Style EVA Children's Flat Anti Falling Protective Shell(Purple),"₦ 11,220"
Plating Case For OPPO Find X3 X2 X5 Lite NEO Pro Silicone Cover Case For OPPO Reno 7 6 5 Lite 4 3 Pro Plus 5F 2F 7Z 4Z 2Z Funda-black,"₦ 18,936 - ₦ 20,808"
360 Full Body Front Back Protective Case For IPhone 12 13 14 11 Pro Max Mini X XR XS 7 8 6S Plus SE2 Soft Hard Transparent Cover-Clear,"₦ 22,237 - ₦ 24,436"
Luxury Ultra Thin Hard PC Shookproof Folding Screen Case For Samsung Galaxy Z Fold 3 5G 2021 Protector Cover For Zfold 3 Fold3-9,"₦ 20,770"
Battery Back Cover With Side Skys For Huawei Honor 8C(Gold),"₦ 6,760"
"For ZTE Axon 10 Pro/Axon 10 Pro 5G/A2020 Pro Retro Crazy Horse Texture Horizontal Flip Leather Case , With Holder & Card Slots & Photo Frame(Brown)","₦ 4,020"
Hot Soft TPU Mirror Cases For IPhone 4 4S 5 5S 5SE 6 6S 8,"₦ 16,101"
Umidigi Bison Case Leather Wallet Flip Cover Case - Black,"₦ 4,680"
Dux Ducis Keyboard Tablet Case For Samsung Galaxy Tab S7 FE,"₦ 8,610"
Phone Screen Film Cell Phone Clear Front Protective Film For Pixel 7 Pro,"₦ 1,513"
Infinix Note 8 Case Leather Wallet Flip Cover Case - Brown,"₦ 4,680"
Protective Case For Pixel 6A - Black,"₦ 10,000"
Nillkin Super Frosted Shield Protection Case For Nothing Phone 1,"₦ 10,000"
Infinix Note 8i Case Leather Wallet Flip Cover Case - Blue,"₦ 4,680"
Super Frosted Shield Protection Case For Nothing Phone 1,"₦ 10,000"
For  IPad Mini 5 / 4 / 3 / 2 / 1 Sparrow Style EVA Children's Flat Anti Falling Protective Shell(Rose Pink),"₦ 11,220"
1pcs Us/eu/uk Version Phone Packing Box For Iphone 11 Pro 6,"₦ 10,947"
Baseus Ultra Thin For IPhone 13 Cover Case Clear Soft TPU Funda For IPhone 13 Pro Max Case Transparent Phone Case Back Cover-Silver For IPhone 13,"₦ 26,853"
All Round Full Protection Unique Case For Nothing Phone 1,"₦ 10,000"
Luxury Aluminium Alloy Metal Frame Case For IPhone 12 13 Pro Max 14 Plus 12mini 13mini Support For Magsafe Magnetic Macsafe Case-Blue,"₦ 27,127 - ₦ 29,809"
For  Magsafe Case On For IPhone 13 12 Mini 14 11 Pro Max XS XR X 7 8 Plus 14Plus 14ProMax Macsafe Magnetic Clear Back Cover-Four-corner Airbag,"₦ 27,493 - ₦ 30,212"
Tokyo Ghoul Kaneki Ken Anime Case Funda Coque For IPhone 13 11 12 Mini 14 Pro Max SE   Xs MAX X XR 7 8 6 6S Plus Cover-0tgjmbal,"₦ 19,425 - ₦ 21,346"
For Huawei Mate30 Butterfly Embossing Pattern Shockproof Protective Case(Brown),"₦ 4,700"
Luxury PU Leather Case For Google Pixel 6 5 4A 5A 6A 4 XL Cover Shockproof Silicone Phone Case For Google Pixel 7 6 Pro Coque-Purple,"₦ 23,337 - ₦ 25,645"
Jr Tpu Case For Tcl 10l Soft Silicone Case For Tcl 10 Se,"₦ 6,772"
OLAF Heavy Duty Protection Case For Samsung Galaxy S8 S9 S10 Plus S10E S7 Edge Note 8 9 Cover Shockproof Doom Armor Metal Cases-Black,"₦ 33,973"
Frosted Translucent Case For Oppo Find X3 Neo X3 Lite Phone,"₦ 8,196 - ₦ 8,454"
Stylizedd IPhone 12 / IPhone 12 Pro Classic Clear Case Soft TPU  Thin Transparent Flexible Cover -  I Love Paris,"₦ 12,000"
LCD Screen And Digitizer Fullembly With Frame For Xiaomi Redmi Note 4X(Black),"₦ 17,070"
Magnetic Shockproof Phone Case For Vivo Y91c Y91i Y93 Y93s,"₦ 16,996"
For Huawei Honor 9X / 9X Pro / Y9s / P Smart Pro (2019) GKK PC + Solid Color Plating Protective Case(Green),"₦ 3,350"
For Samsung Galaxy Xcover 3 G388f Case Silicone Cover For X,"₦ 26,532 - ₦ 28,892"
Gradient GlCase For Xiaomi Redmi Note 11PRO10S 8T 9A 8A 7A 9T Tempered GlCover For Redmi NOTE9PRO 8PRO 7RPO 6PRO 5PRO-1,"₦ 20,281 - ₦ 22,286"
