Item,Price
"Tecno SOLID Tecno Fast Charger + FREE Earpiece And USB Cable For Camon 11, Spark 3, Camon 11 Pro, F1,Pouvoir 2, Pouvoir 2 Pro,Pouvoir 3 Air ,Camon CX And CX Air","₦ 3,000"
"Tecno Fast Charger + FREE Earpiece And USB Cable For Camon 11, Spark 3, Camon 11 Pro, F1,Pouvoir 2, Pouvoir 2 Pro,Pouvoir 3 Air ,Camon CX And CX Air","₦ 6,000"
Charger 20W USB Type C For IPhone 12 /11/X /Pro Max Fast Charger,"₦ 4,500"
Tecno Super Fast Charger + Free Cable,"₦ 5,000"
Infinix Fast Charger For All Smartphones- White,"₦ 2,990"
Infinix 3 USB Plus Switch 6A Super Fast Charger For Android Phones,"₦ 7,500"
Blackberry Super Fast Charger + Free Ear Piece,"₦ 5,500"
Samsung S9 Samsung  Charger And Cable Black,"₦ 3,600"
itel Mini Size Efficient Charger + Free 1m Micro USB Cable -Black,"₦ 1,907"
"Tecno SOLID Tecno Fast Charger + FREE Earpiece For Camon 11, Spark 3, Camon 11 Pro, F1,Pouvoir 2, Pouvoir 2 Pro,Pouvoir 3 Air ,Camon CX And CX Air","₦ 4,000"
Infinix Fast And Reliable Charger,"₦ 3,000"
"Samsung Fast Charger And USB Cable For Galaxy Note 4,Note Edge, Galaxy Note 5,S6,S6edge,S6edge+,S7,S7edge,S8,S8plus,GalaxyA10,A20,A30[white]","₦ 3,000"
"Infinix Charger - Reliable,Quick & Durable Charger","₦ 4,000"
"Samsung Fast Charger And USB Cable For Galaxy Note 4,Note Edge, Galaxy Note 5,S6,S6edge,S6edge+,S7,S7edge,S8,S8plus,GalaxyA10,A20,A30","₦ 3,400"
Infinix 3 USB Plus Switch 6A Super Fast Charger For Android  Phones,"₦ 4,500"
Tecno Fast Charger + FREE Earpiece And USB Cable,"₦ 4,950"
USB Charging Portable External Backup Battery Charger 2*18650 Case,"₦ 1,290"
Infinix Charger For All Android Phones,"₦ 3,500"
Infinix 2 USB 6A Super Fast Charger  For Android Phones,"₦ 3,500"
"Infinix Zero 4 Plus Charger-Reliable,Quick & Durable Charger","₦ 3,200"
"30W QC 3.0 USB + 3 USB 2.0 Ports Universal Quick Charger Travel Charger, US Plug(Black)","₦ 4,080"
Infinix 2 USB 6A Super Fast Charger Adaptive Charging For Android Phones,"₦ 4,000"
Portable 110V-240V EU Plug AC Wall Charger Adapter For Samsung Galaxy S2 I9100,₦ 990
"Samsung Fast Charger Cord Cable For Samsung Galaxy A10E A50 A20 Note 10 S20 Plus Ultra 5G A51 A71,LG G7 G8 V40 V50 G9 V60 Thinq,G6,V30 V20,3A USB Type C Data Cable,","₦ 2,999"
Tecno Super Fast Charger,"₦ 2,900"
AC Wall Charger Power Adapter For Asus Eee Pad Transformer TF201 TF101 TF300,"₦ 3,740"
Samsung Galaxy Fast Charge Adaptive Charging Charger For S8 S9 S10 S20,"₦ 2,999"
"Portable QC3.0 18W USB Port Universal Quick Charging Charger, US Plug(Black)","₦ 3,070"
12V 2.58A 36W battery charger for Microsoft Surface Pro  USB,"₦ 24,192"
48w Usb Charger 4port Type C Quick Charge For Samsung Xi USB,"₦ 10,138"
20W Dual USB Charger Wall Charging Type C PD Mobile Phon USB,"₦ 14,018"
Infinix 6A Super Fast Charger + Free Cable,"₦ 6,500"
4 Usb 45w Usb Charger Fast Charge Wall Charging For Ipho USB,"₦ 10,138"
Samsung Fast Charger (100% Durability),"₦ 8,800"
