Item,Price
Portable Cooling Fan Mobile Phone Cooler Game Heatsink Aux,"₦ 2,944"
Camera Stand Clip Bracket Holder Tripod Mount For Phones,"₦ 1,600"
TB 30x25 Monocular Telescope Dual Focus Optics Zoom Day & Night Waterproof,"₦ 4,060"
Bluethoot Shutter Remote Control - Black.,"₦ 1,620"
Adjustable Handheld Bluetooth Stabilizer Rig Mount Kit,"₦ 21,000"
Phone Clip C  Bracket Holder Stand Su Ort Retractable Mount Universal-black,₦ 810
OR Tripod Mount Adapter Cell Phone Holder Clip Camera Bracket For IPhone Samsung,₦ 550
Phone Clip Clamp Bracket Holder Stand Support Retractable Mount Universal-black,₦ 820
"JOYROOM JR-LM1 Portable Mini Accurate Sound Pickup Lapel Lavalier Microphone, Length:2m","₦ 5,640"
"2Pairs Upgraded Mechanical Trigger PUBG Mobile Game Controller, Gamepad Trigger Fire Button Aim Key L1R1 Shooter Controller For Fortnite, Rules Of Survival, Last Battle Ground, Survivor Royale, Free Fire  WWTTT","₦ 17,550"
Bluetooth Camera Remote Shutter Control Selfie-Black,"₦ 4,000"
Pair Of Shooting Game Triggers Physical Button Aim Key For Android IPhone,₦ 880
Ipega PG-9088 Wireless USB/Bluetooth Game Controller Gamepad Joysticks For Android/PC/ios For Pubg Game Handle 6.2 Inches Switch  WWTTT,"₦ 17,550"
Tripod Mount Adapter Cell Phone Holder Clip Camera Bracket For IPhone Samsung-Black,₦ 490
CB Universal Tripod Mount Standard Cellphone Bracket FCB Smartphones Clip Holder,₦ 600
18-Pin Carbon Fiber Finger Sleeves Black & Yellow(12,₦ 519
PULUZ 3m 3.5mm Jack Lavalier Wired Condenser Recording Microphone With Fur Windscreen Cap,"₦ 10,090"
Standard Regular Micro SIM Card To Nano SIM Cut Cutter For Apple5 IPhone5 5G-,"₦ 9,500"
OR Fixed Bracket Bicycle Motorcycle Bike Mobile Phone Holder Aluminum Alloy,"₦ 3,280"
Camera Fish Eye Lens 3-in-1 & Mobile Phone Telescope,"₦ 12,500"
Universal Mobile Phone Holder Table Desktop Stand Plastic Mini Holder Bracket-red,₦ 380
Mobile Game Controller For PUBG 4-in-1 Upgrade Version Gamepad Aim Trigger Phone Cooling Pad For Android & IOS Fortnite  WWTTT,"₦ 17,550"
"Waterproof Sport Arm Band Holder Pouch Case Earphone Hole For 5.5 Cellphone"" Black","₦ 2,810"
Ipega {FREE 1x PUBG Keychain} IPega 9087 Red Knight Wireless Gamepad Controller  PLAYER,"₦ 17,550"
"Portable Phone Holder Eat Chicken Game,Android 4.0 Or Above / IOS 7.0 Or Above Gamepad Joystick Controller For PUBG, FPS Games, Using With Keyboard And Mouse  WWTTT","₦ 25,370"
Complete OEM  Screen Digitizer Lens Touch For Black Berry Curve 8900--002,"₦ 2,910"
Yanmai R955S Professional Clip-on Lapel Mic Lavalier Omni-directional Condenser Microphone,"₦ 16,080"
Car Phone Stand Air Vent Mount Clip Universal Holder Portable Black,"₦ 2,140"
Smart Phones Fish Eye Lens,"₦ 4,000"
Semiconductor Mobile Phone Radiator Mobile Phone Rapid Cooling Peripheral Portable Mobile Phone Cooler,"₦ 9,352"
"Phone Screen Replacement Case Cover Frame Shell For IPhone 6S Plus 5.5""",₦ 360
Phone Clip Clamp Bracket Holder Stand Support Retractable Mount Universal,₦ 870
