Item,Price
F9 Wireless Fingerprint Touch Headphones Hifi Stereo Noise Cancelling Headsets,"₦ 4,409"
Pro3 In-Ear Wireless Sports Headphones Stereo Headphones,"₦ 3,324"
G11 In-ear Wireless Sports Headset HIFI Gaming Headset,"₦ 3,991"
Bluetooth Earphone True Wireless Air Buds3 Headset - Black.,"₦ 4,770"
F9 Fingerprint Touch Bluetooth Earphone Earbuds 2200mAH,"₦ 4,450"
True Wireless Earphones Bluetooth 5.0,"₦ 4,100"
F9 Fingerprint Touch Stereo Noise Cancelling Headphones,"₦ 3,966"
Bluetooth Headset HIFI Wireless Bass With Battery Bank.,"₦ 4,670"
Pro3 In-ear Wireless Sports Headphones Stereo Headphones,"₦ 4,173"
Air Pro6s  Wireless Bluetooth Headsets Stereo Headphones,"₦ 3,800"
Fingerprint Touch Bluetooth 5.3 Headset Noise-cancelling Stereo Headset,"₦ 3,185"
EarBuds4 Bluetooth Headset Touch Sensor True HIFI Headphones,"₦ 3,800"
Wireless Bluetooth 5.0 Noise Cancelling Headphones,"₦ 3,466"
Lenovo XT88 BT5.3 True Wireless Headphones With Mic Music,"₦ 7,890"
Pro6 Touch Wireless Bluetooth 5.0 Headphones,"₦ 3,809"
Fingerprint Touch 5.0 Earphone Wireless HIFI Stereo Headsets,"₦ 2,690"
Lenovo LP40 Upgrade Version Bluetooth 5.1 Headset BLACK,"₦ 8,199"
Smart Touch Bluetooth Headset Sports Wireless Stereo Earbuds,"₦ 3,450"
itel T1 Neo True Wireless Stereo Earbuds With Touch Controls,"₦ 8,000"
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone Touch Headset BLACK,"₦ 7,635"
Jbl Tune 510BT Wireless On-Ear Headphone - Black,"₦ 35,999"
P9 Wireless Sport Bluetooth Stereo OverEar Foldable Headset,"₦ 6,690"
Pro6 Wireless Bluetooth Headsets Stereo HIFI Headphones,"₦ 3,773"
PT08 With Mic Earbuds Wireless Earphones Touch Control Sports Waterproof Headsets,"₦ 7,809"
Pro4 Bluetooth Headset Touch Sensor True HIFI Headphones,"₦ 4,770"
Pro6 Touch Wireless Headphones Bluetooth 5.0 Headphones,"₦ 4,775"
Wireless Bluetooth Headset Built-in Microphone – Black,"₦ 3,590"
F9 Bluetooth Wireless Earphone With 2000mAh Battery Headset - Black Xl,"₦ 4,199"
"P47 Wireless Bluetooth Headphones, FM Radio, Sd Card MP3","₦ 3,950"
V9 Wireless Bluetooth Headset Headphones Earpiece,"₦ 2,900"
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone Touch Headset WHITE,"₦ 7,726"
Pro 4 Bluetooth Noise Cancelling Stereo Wireless Headphones,"₦ 2,921"
Earphone Wireless Bluetooth 5.1 Headsets Earbuds LED Display,"₦ 3,591"
F9 Bluetooth Wireless Earphone With 2000mAh Battery Headset - Black Zw,"₦ 4,199"
Stereo Wireless 5.0 Bluetooth Headset Earbuds,"₦ 3,257"
Bluetooth Noise Cancelling Headphones,"₦ 3,990"
"PRO3 Wireless Earbuds, Bluetooth 5.0 Headset Earpiece,Noise Cancelling,Touch Contro,IPX7","₦ 3,290"
Oraimo BoomPlay Over-Ear Bluetooth Wireless Headphone Black,"₦ 22,000"
