Item,Price
Wireless Bluetooth Speaker Portable Alarm Clock  - White,"₦ 6,900"
A3 Portable Bluetooth Speakers Wireless 3D Stereo Soundwoofer,"₦ 5,990"
Home Decor+mini Speaker Spiderman Wireless Speaker Wireless,"₦ 9,000"
New TG282 Portable Bluetooth Speakers With Flashligh,"₦ 7,800"
"Subwoofer Bluetooth Speaker With Braided Rope, Support USB/AUX/TF Card/FM","₦ 7,000"
Bluetooth Speaker Music Player Sound Stereo Portable,"₦ 9,200"
Portable Sound Speaker TF Card FM Radio Stereo Music Player,"₦ 5,100"
Mic Voice Changer For Party  Ktv Blue,"₦ 6,488"
Speaker  Player 30 Translations 8GB -4 Hrs  Gray,"₦ 24,096"
Solar Portable Bluetooth Speakers With LED Flashlight,"₦ 8,900"
Digital Voice Recorder,"₦ 45,000"
"TG282 Bluetooth Speakers With Flashlight, Support TFCard FM","₦ 7,500"
Clock Timer With Portable Speaker Dual USB Ports LED White,"₦ 25,423"
Portable Wireless Bluetooth Subwoofer Speaker Bass Stereo,"₦ 6,311"
Night Light  Speaker With Microphone Bedside Lamp  Baby Blue,"₦ 5,949"
12PCS 30x30x5cm Bakeey Sponge Soundproof Cotton Sound-absorb,"₦ 14,641"
Bluetooth Speakers Portable Handfree TF FM Radio MP3,"₦ 6,655"
Mini Bluetooth Speaker Alarm Clock FM Radio Hands  Dragon,"₦ 17,346"
Night Light Wireless Bluetooth Speaker Table Bedroom Outdoor For Pink,"₦ 5,949"
Mini Waterproof Bluetooth 5.0 Speaker 10Hr   Pairing Black,"₦ 26,708"
Wireless Bluetooth Bicycle Portable Audio Sound Flashlight,"₦ 12,900"
