Item,Price
Sexy Black Jumpsuit,"₦ 5,000"
Leather Waist Belt Black Fashion Belt,"₦ 2,999"
Sunbi Viola Short Hand Top Nd Long Trouser Without Pocket,"₦ 5,100"
Pretty Red Classy V Neck Two-piece,"₦ 4,999 - ₦ 6,999"
Black Sexy Dress,"₦ 5,000"
Gorgeous Long Ladies Bubu Gown,"₦ 12,000"
Sexy Ladies Female Office Long Gown Dresses Party Dress,"₦ 6,700 - ₦ 7,700"
Wine Velvet Dress,"₦ 2,900 - ₦ 3,200"
Plain And Partern Jalamer,"₦ 2,500"
Gorgeous Long Ladies Bubu CHIFFON Mateterial Gown,"₦ 11,000"
Ankara Flair Gown,"₦ 2,500"
Ladies Body Gown(one Size Fits All),"₦ 9,000"
Success Black Fitted Classy Dress,"₦ 6,999 - ₦ 8,999"
Green Pencil Velvet Dress,"₦ 4,500"
Gorgeous Rap Knee Length Green Dress,"₦ 6,500"
Stylish Turtle Neck Bodysuit For Women,"₦ 5,000"
Best Unique Dress For Gorgeous Ladies,"₦ 5,000"
Gorgeous Ladies Top,"₦ 5,500"
Gorgeous Female Rap Up Dress For Women,"₦ 5,000 - ₦ 5,500"
Cindy Black  Flay Classy Dress,"₦ 6,999 - ₦ 8,999"
Women Sexy Ladies Birthday Party Casual Female Dress Pleated Sexy Bodycon Blue,"₦ 6,500"
Black Fitted Turtle Neck Classy Dress,"₦ 4,999 - ₦ 6,999"
Black And Red Flay Classy Dress,"₦ 6,999 - ₦ 8,999"
Pink Sleeveless Fitted Classy Dress,"₦ 4,999 - ₦ 6,999"
Original Turkey Green Shimmer Faux Wrap Sling Dress,"₦ 13,900"
Classy Unique Black Two-piece,"₦ 4,999 - ₦ 6,999"
Beauty  Ash Classy Two-piece,"₦ 7,999 - ₦ 8,999"
Ladies Beautiful And Stylish Gown,"₦ 6,500"
Gorgeous Rap Green Dress,"₦ 8,999 - ₦ 9,500"
Orange Fitted Turtle Neck Classy Dress,"₦ 4,999 - ₦ 7,999"
Nancy Unique Classy Dress,"₦ 8,999 - ₦ 9,999"
Sexy Bodycon Party Dress For Women - Party Dress,"₦ 8,000 - ₦ 8,200"
Sexy Sleeveless Red Bodycon Dress,"₦ 5,000 - ₦ 5,200"
Female Dresses Patchwork Irregular Ruffled One Shoulder Pink,"₦ 6,990"
Black Bodycon Sleeveless Dress,"₦ 3,500 - ₦ 3,999"
Virtue Clothier Funmi 2-way Drawstring Dress - Animal Print,"₦ 8,500"
Hot White Chiffon Sexy Beach Kimono Wear,"₦ 5,999"
Sexy Long Dinner Gown,"₦ 24,000"
