Item,Price
"Samsung Galaxy A03 Core, 2GB/32GB Memory - Bronze","₦ 64,500"
"Tecno Spark 9T, 4GB/128GB Memory - Burano Blue","₦ 103,500"
"Tecno Spark 9 Pro, 4GB/128GB Memory - Kyanite Blue","₦ 124,300"
"Tecno Spark 8P,6.6"",4/128GB,5000MAh-Turquoise Cyan","₦ 96,700"
"Samsung Galaxy A73 5G, 6GB/128GB Memory - Gray","₦ 358,700"
"Tecno Spark 9T, 4GB/128GB Memory - Quantum Black","₦ 103,500"
"Tecno Spark 9, 4GB/64GB Memory - Sky Mirror","₦ 90,200"
"Samsung Galaxy A23, 4GB/128GB Memory, Android 12 - Blue","₦ 167,000"
"Samsung Galaxy A23, 4GB/64GB Memory, Android 12 - Black","₦ 156,300"
"Samsung Galaxy A33 5G, 6GB/128GB Memory - White","₦ 243,400"
"Samsung Galaxy A13, 4GB/128GB Memory - Peach","₦ 160,000"
"Samsung Galaxy A13, 4GB/128GB Memory - Black","₦ 123,700"
"Tecno Spark 9, 3GB/64GB Memory - Sky Mirror","₦ 83,700"
"Samsung Galaxy A13, 6.6"", 4GB/64GB, 5000MAh, Android 12 -Black","₦ 129,900"
"Samsung Galaxy A23, 4GB/128GB Memory, Android 12 - Peach","₦ 168,900"
"itel S18 6.6"", 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G - Black","₦ 56,990"
"Samsung Galaxy A04, 3GB/32GB Memory - Black","₦ 84,500"
"Infinix Note 12 PRO 5G (X671B) 6.7"" FHD+, 128GB ROM +8GB RAM, 108MP","₦ 210,510"
"Infinix Smart 6 Plus, 2GB/32GB Memory - Heart Of Ocean","₦ 64,700"
"itel It2160 Wireless Fm, Torchlight, Dual SIM - Dark Blue","₦ 8,300"
"itel A33 Plus 5.0"" Screen, 32GB ROM + 1GB RAM, 3020mAh","₦ 37,500"
"itel A58 Pro 6.6"" HD+ Screen, 2GB RAM + 32GB ROM, 4000mAh Battery, Android 11, Dual Camera, Fingerprint & Face Unlock - Cyan","₦ 48,990"
"itel S18 6.6"", 64GB ROM + 2GB RAM (UpTo 4GB), 5000mAh, 4G - Green","₦ 56,990"
"itel A18 5.0"" Screen, 32GB ROM + 1GB RAM, 2400mAh, Android 11, 3G","₦ 31,650"
"Nokia 110 Africa Edition Dual SIM Wireless FM, Torch, Camera Phone","₦ 13,450"
"Samsung Galaxy A03, 4GB/64GB Memory - Black","₦ 97,000"
"Samsung Galaxy A04s, 4GB/64GB Memory - Green","₦ 100,000"
"XIAOMI Poco C40, 4GB/64GB, 6000 MAh - Poco Yellow","₦ 86,528"
"UMIDIGI F3 (8GB,128GB ROM) 6.7"" HD+ 5150mAh Helio P70 (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 107,900"
"UMIDIGI A11S 4GB RAM 32GB ROM 5150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53"" Global Version Dual 4G Lte-Mist Blue","₦ 96,900"
"UMIDIGI Power 5 (3GB,64GB ROM) 6150mAh Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 6.53""FullView-SapphireBlue","₦ 92,900"
"UMIDIGI Power 5 (4GB,128GB ROM) 6150mAh Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 6.53"" FullView-CarbonGrey","₦ 93,900"
"Infinix Smart 6 (X657) 6.6"", 2GB RAM + 32GB ROM, 5000mAh, 3G, 8MP","₦ 62,990"
"UMIDIGI A13 Pro (4GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Glacier Blue","₦ 99,900"
"itel A58 6.6"" HD+ Screen - Starry Black","₦ 43,090"
Blackview Oscal C20Pro 32GB+2GB 4G Android 11 Smartphone 6 Inch Screen 8MP+2MP Camera-Blue,"₦ 56,973"
"UMIDIGI Power 5S 4GB RAM 64GB ROM 6150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53"" Global Version Dual 4G-Carbon Grey","₦ 90,900"
Infinix Smart 6 Plus  (X6511G) - 4G LTE - 32GB ROM - 2GB RAM - 6.6'' HD+ Waterdrop - 5000mAh -Camera: Dual 8MP Main/ 5 MP Front - Ocean,"₦ 78,000"
"Infinix HOT 12 Play- (X6816)- 6.82""-128/4GB RAM-13MP/8MP-4G LTE-6000MAH-BLUE","₦ 106,000"
Blackview OSCAL C20Pro Smartphone  Face Unlock  2+32GB 3380mAh  -Black,"₦ 56,973"
"XIAOMI 12 Pro, 12GB/256GB Memory - Grey","₦ 582,000"
"XIAOMI Redmi 10A, 2GB/32GB Memory - Silver","₦ 66,255"
"XIAOMI Poco C40, 4GB/64GB Memory, 6000 MAh Battery - Coral Green","₦ 86,528"
"XIAOMI Poco M5, 4GB/64GB Memory - Black","₦ 104,129"
XIAOMI Redmi  20000mah 18W Fast Charger Powerbank,"₦ 16,400"
"Samsung Galaxy Z Fold 3 - 7.6"" (12GB RAM, 512GB ROM) Android 11 (12/12/12)MP + 10MP Selfie - Snapdragon 5G - 4400mAh - Black","₦ 1,700,000"
"Samsung Galaxy A03s, 6.5-Inch (4GB RAM, 64GB ROM) Android 11, (13MP + 2MP + 2MP) + 5MP 4G, Fingerprint, Dual SIM - Black","₦ 103,500"
"Samsung Galaxy A03s, 6.5-Inch (3GB RAM, 32GB ROM) Android 11, (13MP + 2MP + 2MP) + 5MP 4G, Fingerprint, Dual SIM - Black","₦ 97,900"
"Samsung Galaxy A03 Core, 2GB/32GB Memory - Onyx Black","₦ 63,500"
Samsung Galaxy A53 5G 6.5'' 6GB 128GB ROM Android 12 - Awesome White,"₦ 380,000"
"Samsung Galaxy A73 - 6.7"" 6GB/128GB ROM,(108/8/5/5)MP - AWESOME MINT","₦ 363,800"
"Samsung Galaxy A73 - 6.7"" 6GB/128GB ROM,(108/8/5/5)MP- AWESOME WHITE","₦ 363,800"
"UMIDIGI G1 (2GB,32GB ROM) 6.52"" HD+ 5150mAh Android Smartphone Unlocked (13MP+2MP)+13MP-Sunglow Gold","₦ 59,900"
"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 104,900"
"UMIDIGI A11S 4GB RAM 64GB ROM 5150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53"" Global Version Dual 4G Lte-Frost Grey","₦ 96,900"
"UMIDIGI A13 Pro (6GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Galaxy Blue","₦ 104,900"
"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Frost Grey","₦ 94,900"
"UMIDIGI A11 (3GB,64GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Mist Blue","₦ 94,900"
"UMIDIGI A13S (4GB,64GB ROM) 6.7"" HD+ 5150mAh Global Version (16MP+8MP+5MP)+8MP-Galaxy Blue","₦ 86,900"
"UMIDIGI A11 (4GB,128GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Mist Blue","₦ 118,900"
"UMIDIGI Power 5S 4GB RAM 32GB ROM 6150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53"" Global Version Dual 4G-Jade Green","₦ 91,900"
"UMIDIGI A13 Pro (4GB,128GB ROM) 5150mAh NFC (48MP+8MP+5MP)+16MP-Sunglow Gold","₦ 99,900"
"UMIDIGI BISON X10G (4GB,64GB) IP68/IP69K 6.53""(16MP+8MP+5MP)+8MP NFC 6150mAh Android 11 Global Version Phones -Black","₦ 113,900"
UMIDIGI Air Buds U Wireless Earbuds Bluetooth 5.1 ENC Noise Reduction 380mAh Charging Box Portable Sports Bluetooth Earphone-White,"₦ 16,683"
"UMIDIGI A11S 4GB RAM 32GB ROM 5150mAh (16MP+8MP+5MP)+8MP Android 11 AI Face Unlock 6.53"" Global Version Dual 4G Lte-Frost Grey","₦ 96,900"
"UMIDIGI BISON X10 (4GB RAM,64GB ROM) 6150mAh IP68/IP69K 6.53""(20MP+8MP+5MP)+8MP NFC Android 11 Global Version Dual 4G-Grey","₦ 113,900"
"Tecno POP 6 Go (BE6) ""6.0"", 32GB ROM + 2GB RAM, 4000mAh, 5MP +5MP, Grey","₦ 52,000"
Tecno Camon 19 Pro 8GB 256GB-Mondrian(Tiwa Savage Signature),"₦ 204,999"
"Tecno POP 5 Pro (BD4H)6.52"" HD+, 32GB RAM + 2GB ROM, 6000mAh Battery, 8MP + 5MP Camera, 4G, Android 11,Fingerprint- Blue","₦ 61,900"
"Tecno POP 5 Go (BD1) 5.71"" HD+ Screen, 1GB RAM + 16GB ROM, 4000mAh, Wireless FM, 5MP +5MP Camera, Fingerprint & Face ID - Blue","₦ 49,750"
"Tecno Spark 8P 128+4GB, 6.6"" FHD+,50MP Triple Camera,5000mAh  Gold","₦ 103,900"
"Tecno Spark 8P 64+4GB, 6.6"", 50MP Triple Camera,5000mAh, Blue","₦ 85,900"
"Tecno POP 5 32GB+2GB,6.1"" HD+,4000mAh,5MP + 5MP Camera-Blue","₦ 59,500"
"Tecno Spark 8P 64+4GB,6.6"", 50MP Triple Camera,5000mAh Gold","₦ 88,000"
"Infinix Smart 6 4G (X6511B) 6.6"" HD+, 2GB RAM + 32GB ROM, 5000mAh, Android 11, 8MP Camera, 4G LTE, Fingerprint + Face ID - Black","₦ 66,990"
"Infinix Note 12i (X6819) - 6.82"" FHD+ (128GB ROM-4GB RAM)-50 MP (wide) + 2 MP (depth) + QVGA  8MPSelfie - 4G LTE - 5000mAh -Black","₦ 126,000"
"Infinix Note 12i (X6819) 6.82"" 90Hz HD+, 4GB RAM (Up To 7GB) + 128GB ROM, 50MP Rear, 5000mAh, Helio G85, Android 12, 4G - Black","₦ 117,000"
"Infinix Hot 12 Play (X6816) 6.82"" HD+, 4GB RAM(UP TO 7GB) + 64GB ROM, 6000mAh, Android 11, 13MP Camera, 4G, Fingerprint - Green","₦ 88,990"
"Infinix Note 12 G96 (X670) 6.7"" FHD+ AMOLED, 128GB ROM + 8GB RAM","₦ 166,400"
"Infinix Smart 6 4G (X6511B) 6.6"" HD+, 2GB RAM + 32GB ROM, 5000mAh, Android 11, 8MP Camera, 4G LTE, Fingerprint + Face ID - Green","₦ 66,990"
"Infinix Smart 6 (X657) 6.6"" HD+, 2GB RAM + 32GB ROM, 5000mAh, 8MP","₦ 61,990"
Blackview FS-Android Smartphone Oscal C20 Dual-SIM 3G 1+32GB 6.088 Inch Screen -Black,"₦ 50,545"
Blackview A55Pro Smartphone 4+64GB 6.528' Fingerprint Unlock-Black,"₦ 74,536"
Blackview A55Pro Smartphone 4/64GB  6.528' Fingerprint Unlock-White,"₦ 74,536"
