Item,Price
Classy Suede Slippers For  Ladies - Black,"₦ 4,000 - ₦ 5,000"
Low Heel Ladies High Heels Sweet Love Pointed Toe Pumps-Black,"₦ 15,779"
Smart Ladies Low-Heel Shoe - White,"₦ 20,000"
Stylish Low-Heel Sandals For Women - Black,"₦ 19,000"
Exotic Suede Slippers For  Ladies - Black,"₦ 4,000 - ₦ 5,000"
Black Wedges Elegant Woman Shoe Suede Heels Autumn Ladies Shoes Sandals,"₦ 12,200 - ₦ 13,400"
Klassy Slippers For  Ladies - Brown,"₦ 4,000"
Classy Slippers For  Ladies - Brown,"₦ 3,800 - ₦ 5,000"
Cute Bowtie Slippers For  Ladies - Pink,"₦ 4,000"
Classy Slippers For  Ladies - Black,"₦ 4,000 - ₦ 5,000"
New Style Sandals With Rhinestones Chunky Heel Gold Women's Shoes,"₦ 21,900"
Open Toe Flat Heel Low Heel Women Sandals-Gold,"₦ 15,889"
Butterfly Slippers For  Ladies - Pink,"₦ 4,000 - ₦ 5,000"
Low Heel Slippers,"₦ 12,000 - ₦ 13,500"
Talon Femme Bridal Sexy Silver Party High Heel Shoes Lady Sweet Black Sandals,"₦ 12,300"
Bowtie Slippers For  Ladies - Pink,"₦ 4,000"
Stylish Low-Heel Sandals For Women - Nude,"₦ 19,000"
Women Low Two Piece Thick Heel Dress Shoes Ladies Ankle Strap High Heel Sandals,"₦ 14,560"
E Girl Black Emo Lolita Shoes Japanese Mary Jane Women Vintage Sandals,"₦ 13,000"
Woman Pumps Mid Heels Casual Ladies Pu Leather Shoes Pointed Toe Sandals,"₦ 15,800"
Smart Ladies Low-Heel Shoe - Nude,"₦ 13,000 - ₦ 20,000"
Summer Women Hollow Pumps Mid Heel Mesh Rhinestone Ladies Single Sandals,"₦ 14,400"
Open Toe Flat Heel Low Heel Women Sandals-Silver,"₦ 19,393"
Fashion Women Lady Dance Shoes Girl Mid Heel Dress Sandals-Gold,"₦ 14,580"
Ladies Low Heel Sweet Pointed Pump Dress Party Shoes Daily Sandals-white,"₦ 19,603"
"Elegant Sparkling Ladies High Heel Silver Sandals, Slippers","₦ 18,585"
Ladies Pointed Thick Heel High Heels Shallow Mouth Daily Dress Party Shoes-Wine Red,"₦ 19,650"
New Women High Heels Spring Summer Square Toe Buckle Female Pumps Mid Sandals,"₦ 21,500"
Ladies Female Kitten Heels Mules Shoe Half Slippers Women Pointed Toe Sandals,"₦ 14,700 - ₦ 16,000"
Wedding Shoes For Women Italian High Heels Autumn Slipper For Wedding Sandals,"₦ 23,100"
Women Pumps Patent Leather Dress Shoes Low Heels Office Lady Shoes Sandals,"₦ 13,700"
Winter Shoes Women Martin Boots Black Solid Platform 7cm High Heels Sandals,"₦ 14,100 - ₦ 18,500"
Women Lady Dance Shoes Girl Mid Heel Dress Sandals-Gold,"₦ 15,216 - ₦ 17,158"
Summer Women Dress Shoes Peep Toe Office Work Shoes Medium Heels Sandals,"₦ 16,736"
Ladies Low Heel Sweet Pointed Pump Dress Party Shoes Daily Sandals-black,"₦ 19,603"
