Item,Price
Atlas Of Human Anatomy 7th Edition,"₦ 14,700"
Clinical Microbiology Made Ridiculously Simple Edition 6,"₦ 6,550"
Human Anatomical Anatomy Skeleton Model Education Skeleton Models,"₦ 3,901"
Lippincott Illustrated Reviews: Pharmacology,"₦ 16,890"
Guyton And Hall Textbook Of Medical Physiology - 13E,"₦ 18,500"
Hoffbrand's Essential Haematology (Essentials) 7th Edition,"₦ 9,500"
Dacie And Lewis Practical Haematology: Expert Consult: Online And Print,"₦ 19,250"
Set Of 10 Realistic Arctic Animal Model Toys For Kids Gift Shelf Decor,"₦ 4,774"
"Robbins & Cotran Pathologic Basis Of Disease, 9e (Robbins Pathology)","₦ 28,550"
Foundations Of Nursing And First Aid,"₦ 2,900"
Textbook Of Family Medicine 8th (Eighth) Edition,"₦ 72,000"
"Cunningham's Manual Of Practical Anatomy VOL 1,2 & 3","₦ 29,980"
New Large Size Human Eye Eyeball Model Anatomy Study Display,"₦ 13,171"
Java Programming: Introductory Concepts And Techniques,"₦ 15,879"
Medical Laboratory Science: Theory And Practice,"₦ 18,000"
Human Embryology (Inderbir Singh's),"₦ 17,500"
"Robbins Basic Pathology, 10e (Robbins Pathology) 10th Edition","₦ 45,000"
Principles Of Forensic Medicine: Including Toxicology (Hardcover & Big Book),"₦ 18,789"
MCQs In Pharmacy Practice,"₦ 19,990"
Essentials Of Psychiatry By M.S. BHATIA,"₦ 31,999"
"Harrison's Principles Of Internal Medicine, 20th Edition (Vol.1 & Vol.2)","₦ 58,980"
Hutchison's Clinical Methods 24th Edition,"₦ 21,000"
Practical Hints To Clinical Electrocardiography,"₦ 16,800"
Atlas Of Human Anatomy (Netter Basic Science) 7th Edition,"₦ 20,000"
CURRENT Medical Diagnosis And Treatment 2020,"₦ 30,500"
A Practical Approach To Infectious Diseases,"₦ 17,980"
Redeeming Love By Francine Rivers,"₦ 4,500"
Baja's Principles & Practice Of Surgery Including Pathology In The Tropics (Vol. 1&2),"₦ 21,550"
Surgery Manual For Residents,"₦ 16,980"
Medical Ethics,"₦ 17,800"
Oxford Dictionary Of Nursing,"₦ 5,000"
Swanson's Family Medicine Review,"₦ 68,400"
Lippincott Illustrated Reviews: Pharmacology 6th Edition,"₦ 9,000"
Technical Drawing,"₦ 16,800"
Introduction To Pharmaceutical Calculations,"₦ 19,980"
Advanced Level Physics 7th Edition By Nelkon & Parker,"₦ 3,550"
"Neufert Architects' Data, Fourth Edition 4th Edition","₦ 25,000"
