Item,Price
Battery Charger Independent For AA AAA Rechargeable Batteries Game,"₦ 3,670"
Smart Battery Charger For C D AA AAA MQ 3 Slots Rechargeable Batteries,₦ 778
Electric Scooter LCD Screen with Accelerator Use for 10Inch,"₦ 31,831"
Universal 18650 Battery Charger 3.6V/3.7V Li-Ion Battery Lithium,"₦ 5,759"
"Hoverboard Hover-1 Chrome Hoverboard, Gunmetal, LED Lights, Bluetooth Speaker, 6.5 In Tires, 220 Lbs Max Weight, 7 MPH","₦ 189,000"
"Hoverboard Hover-1 Ultra UL Certified Electric Hover Board With  Wheels, LED Lights And Long  Hour Battery Life-","₦ 189,999"
Scooter Charger For HoverBoard 42V 2A Power Aupply Scooters Adapter,"₦ 10,813"
6.5 In H Balan E Bike  L I  Pattern Sti Ker Self Balan E S Ooter Hoverboard  Over Sti Ker Skin Sti Ker-multicolor-AL059,"₦ 5,050"
ELECTRIC SCOOTER - DRIFT,"₦ 300,000"
Smart 8-slot 1.2V Ni-MH AA/AAA Battery Rechargeable USB Charger Easy,"₦ 9,782"
"3 In 1 Battery Charger For AA,AAA,9V Ni-MH Ni-CD Rechargeable","₦ 2,469"
Self Balancing Scooter Smart Hover Board Charger Wire US Plug American Rules,"₦ 5,690"
Outdoor 42V 2A 1pc Drive Traction Balance Intelligent Auto Wheel Balancing Scooter Hover Board Power Battery Charger UK Plug Style,"₦ 13,800"
Razor MX350 24V Dirt Rocket Electric Ride On Motocross Bike,"₦ 265,000"
Smart Battery Charger ForAA AAA MQ 4 Slots Rechargeable Batteries,"₦ 2,188"
Portable 4 Slots Battery Charger For AA/AAA Rechargeable NIMH White,"₦ 6,203"
Hoverboard Charger 42Volts 2Aamps Charger Adapter With UK Plug Style,"₦ 11,999"
"GOTRAX SRX Mini Hoverboard - Self Balancing Scooter 6.5"" W/ Best Hoverboard For Kids -","₦ 98,000"
Children Scooter - Ages 2 To 5,"₦ 25,999"
42V 2A Electric Scooter Charger For Hoverboard Smart Balance Wheel With UK Plug Style,"₦ 12,990"
2 IN 1 Children Scooter With Music,"₦ 65,999"
Durable Electric Scooter Rear Mudguard M365 Blocker Fender Black,"₦ 8,124"
Huffy Star Wars Darth Vader Kids Folding Inline Scooter 5yrs+,"₦ 36,500"
42V 2A Electric Scooter Charger For Hoverboard Charger Smart Balance Wheel With UK Plug Style,"₦ 11,999"
5V 1A Lithium Battery Charge Board For Monolithic Integrated Circuit,₦ 425
2Pcs Waterproof Anti Scratch Hover Board Protective-31#,"₦ 10,312"
Children Scooter  - Rock Blue,"₦ 22,500"
Children Scooters Age 3-12years,"₦ 24,000"
6.5inch Balance Car Film Protective Skin Decal Self,"₦ 7,056"
"Hoverboard Hover-1 Edge Electric Scooter W/ LED Headlight, Built-in Bluetooth Speaker, 15 MPH Max Speed, 264 Lbs Max Weight, 6 Miles Max Distance - Black","₦ 257,000"
Self Balancing Scooter Smart Hover Board Charger Wire EU Plug Black,"₦ 5,690"
5V1A Charger Module Board For Lithium 18650 Battery Micro USB,₦ 613
"GOTRAX Fluxx FX3 Hoverboard Self Balancing Scooter With 6.5 Inch Wheels And LED Headlights,","₦ 180,000"
"Nex Kids Scooter 3 Wheel, 4 Adjustable Height, PU Flashing Wheels Scooter For 2-10 Years Old For Unisex By NEX","₦ 32,000"
