Item,Price
Phone Tripod Moblie Phone Clip Bracket Monopod Stand,"₦ 2,199"
Bluetooth Selfie Stick Tripod + Fill Light +Shutter Remote,"₦ 4,310"
Portable Tripod Selfie Stick Stand LED Light Bluetooth Remote Control Live/Selfie,"₦ 3,264"
Automatic Led Ringlight With Stand And Phone/camera  Holder,"₦ 8,900"
Lightweight Portable Tripod Stand With Remote Control,"₦ 7,490"
Tripod Stand Holder Bluetooth Remote Control Stretchable Adjustable Camera Phone Stand Mount Holder,"₦ 4,999"
（Buy The Whole Lot At Once）Metal Tripod Set.,"₦ 7,470"
"10"" LED Selfie Ring Light Dimmable Fill Light With Phone Stand","₦ 4,336"
Phone Vlog Video Kit With Adjustable Tripod/ Stabilizer,"₦ 8,970"
Phone Vlog Fill Light Video Blog Kit With Tripod/ Stabilizer,"₦ 5,200"
Mini Handheld Stabilizer Tripod For Phone Video Vlog Go Pro Stand,"₦ 4,300"
Tripod Stand Phone Holder Camera Stand With Remote Shutter,"₦ 3,599"
"10"" LED Selfie Ring Light Circle Fill Light Dimmable Round Lamp Makeup Photography RingLight","₦ 4,655"
Wireless Bluetooth Selfie Stick Extendable Handheld Monopod Foldable Portable Multifunctional Tripod,"₦ 4,790"
Bluetooth Remote Controller Hand-held Selfie Stick Tripod.,"₦ 3,300"
"10"" Live LED Ring Fill Light +Tripod/ Stand SET#makeup/ Blog","₦ 8,570"
Monopod Tripod U Clip Mount Phone Holder  For Smartphones,"₦ 1,400 - ₦ 6,000"
"10"" LED Ring Light Selfie Light Stand Lighting Beauty Light","₦ 8,109"
Multifunctional Wireless BT Selfie Stick For Phone,"₦ 5,550"
Multifunctional Wireless BT Selfie Stick For Phone Handheld,"₦ 4,990"
Phone Vlog Video Fill Light Kit With Adjustable Tripod Mic,"₦ 14,700"
Tripod Stand For Phone And Camera,"₦ 14,500"
Desktop Mobile Phone Holder Is Suitable For All Mobile Phones,"₦ 3,490"
3110 Aluminum Alloy Phone And Camera Tripod Stand,"₦ 9,000"
Multifunctional Bluetooth Remote Control Selfie Stick,"₦ 4,398"
Mobile Phone Bluetooth Remote Control Selfie Stick,"₦ 2,599"
Selfie Cane Convertible To Tripod - With Bluetooth Remote Control,"₦ 3,959"
Wireless Selfie Stick For Phone Handheld With Tripod Leg,"₦ 3,300"
Remote Hand-held Selfie Stick Tripod. Perfect For Pictures,"₦ 3,300"
Portable Metal Mobile Phone Holder Live Bracket Stand,"₦ 2,500"
"Cell Phone Holder Stand+Selfie Ring Light For Live Stream/Makeup, LED Camera Lighting+Flexible Arms","₦ 4,690"
Bluetooth Wireless Selfie Stick Tripod With Fill Light,"₦ 6,809"
Mobile Phone Clip Holder Bracket For Smartphones - Black,"₦ 1,999"
Mobile Phone Holder Live Broadcast And ZOOM Bracket Stand,"₦ 2,790"
Phone Tripod Moblie Phone Clip Bracket Monopod Stand For Smartphone Camera,"₦ 1,497"
RingLight With Stand - Selfie Ringlight -Instagram-Youtube,"₦ 8,999"
"Multifunctional Mini Tripod Stand For Mobile Phones, Cameras, Camcoders, Ring Lights, Etc","₦ 4,400"
3366 Tripod For Camera And Phone With Phone Holder- Black.,"₦ 11,000"
