Item,Price
Ladies High Waist Jean- Light Blue,"₦ 6,900"
Ladies Women Gorgeous Jeans - Grey-Blue,"₦ 2,500"
Rugged Ladies High Waist Skinny Jean- Blue,"₦ 7,200 - ₦ 7,300"
Navy Blue Ladies High Waist Fitted Trouser,"₦ 6,900 - ₦ 7,400"
Stock Ladies High Waist Skinny Palazzo Jean- Blue,"₦ 8,998 - ₦ 9,999"
3 In 1 Ladies Sexy High Waist Stretch Fashion Slim Pants,"₦ 17,900 - ₦ 19,999"
Smart High Waist Skinny Jean For Ladies- Blue,"₦ 6,850 - ₦ 7,500"
Ladies Denim Pallazo - Black,"₦ 9,000"
3 In 1 High Quality Ladies Sexy High Waist Stretch Fashion Slim Pants,"₦ 17,500 - ₦ 19,300"
Ladies High Skinny Jean- Blue,"₦ 7,500 - ₦ 8,900"
Ladies High Waist Skinny Jean- Blue,"₦ 8,999 - ₦ 9,999"
Ladies High Waist Skinny Leggins Tight - Black,"₦ 7,500"
3in1 Classic Ladies High Waist Fitted Trouser,"₦ 17,550 - ₦ 19,990"
Ladies Rugged /ripped High Waist Skinny Jean- Blue,"₦ 9,999"
Ladies Perfect Classic Jean- Black,"₦ 6,500 - ₦ 7,999"
Ladies High Waist Jean- Navy Blue,"₦ 6,850 - ₦ 6,900"
2in1 Ladies High Waist Skinny Jean- Blue&Black,"₦ 13,000 - ₦ 13,500"
Unique  Blue Jeans 1,"₦ 9,999"
2 In 1 High Quality Ladies Sexy High Waist Stretch Fashion Slim Pants,"₦ 12,800 - ₦ 13,800"
S Quality Ladies High Waist Skinny Palazzo Jean- Blue,"₦ 8,998 - ₦ 9,999"
High Waist Skinny Jean For Ladies- Blue,"₦ 6,800 - ₦ 7,400"
Ladies High Waist Skinny Jean-Blue,"₦ 6,900 - ₦ 7,200"
Ladies High Waist Skinny Jean- Black,"₦ 8,000"
R Olive Green Trendy Slit Knee Denim Pants,"₦ 5,500"
Ladies High Waist Fitted  Pencil Trouser- Navy Blue With White Crop Top,"₦ 11,999"
Stock High Waist Skinny Jean- Blue,"₦ 8,999"
Mfed Color Block High Waist Skinny Jeans,"₦ 7,999"
Ripped Ladies High Waist Skinny Jean- Blue,"₦ 7,300 - ₦ 8,000"
High Waist Palazzo Jean Black,"₦ 8,999"
Ladies High Waist Ripped Skinny Jean- Black,"₦ 9,000"
Mfed Striped Splicing Slim Fit High Waist Jeans,"₦ 7,500"
Smart High Waist Skinny Jean For Ladies,"₦ 6,799 - ₦ 7,600"
