Item,Price
Cornel Men’s Pirk Cover Pam Sandals - Brown,"₦ 10,000 - ₦ 14,000"
Yemlays Men's Beach Shoes Outdoor EVA Hole Sandals-White,"₦ 10,222 - ₦ 11,244"
Trendy (Unisex)Summer Slide Slippers - Black,"₦ 6,999"
Cornel Men's Pattern Leather Sandals – Black,"₦ 5,000"
Solid Slides - Black,"₦ 8,400"
Classic & Simple Male Black Crossed Pam Slips - (BLACK),"₦ 5,800"
Men’s Best Slides  - Black,"₦ 9,500"
JW Trendy Summer Slide Slippers - Black,"₦ 6,999"
Men's Slippers Double Buckle Adjustable EVA Flat Sandals,"₦ 10,980"
SMen Hoes Summer Male Sandals Casual Gladiator Breathable Leather Sandals - Black,"₦ 9,000"
She U Dey Whine Me Niii Slides,"₦ 8,999"
Men Light Clog Sandals Casual Outdoor Slippers Shoes Large Size 38-45,"₦ 12,999"
Trendy Slide Summer Slippers - Black,"₦ 6,999 - ₦ 10,000"
Top Gladiator Leather Sandals - Black,"₦ 9,500"
Soft Slide Slippers-white,"₦ 7,500"
Slide Comfort Slippers -blue,"₦ 4,500"
Nike Victori One Slide Men's,"₦ 27,500"
Ladies  Latest Classy Flat Slippers - Black And Gold Ladies Slides,"₦ 6,000"
Premium Quality Memphis Solid Slides - Black,"₦ 7,999"
ADIDAS Originals Slippers Adilette,"₦ 28,259"
Multienergy Slip On,"₦ 9,999"
Men /Guys Pam Slippers Stylish And Cute Leather Slides-White Palm,"₦ 6,000"
Sabi Man Buckled Slides,"₦ 8,999"
Ladies  Latest Classy Flat Slippers - Gold Ladies Slides,"₦ 6,000"
Cornel Men's Casual Gladiator Leather Sandal - Black,"₦ 5,499 - ₦ 6,999"
ADIDAS Core Slides Adilette Shower,"₦ 21,239"
WALK Slide Footwear,"₦ 5,000"
Lucabuciolli Comfortable Men’s Slide - Black,"₦ 10,000"
Nike Victori One Shower Slides Men's,"₦ 23,000"
Comfort Slide Footwear-black,"₦ 8,000"
LADIES BROWN LEATHER CROSS SLIPPERS,"₦ 5,999"
Durable Men's Soft-soled Brown Slippers,"₦ 6,000"
JW-Summer Trendy Slide Slippers - White/ Flip,"₦ 7,999"
Unisex Fashionable Dark Brown Toe Leather Palm,"₦ 6,500"
Men Red Pam Slippers,"₦ 4,500"
