Item,Price
Business Soft-soled Plaid Leather Shoes-P8822 Black,"₦ 9,800"
Business Men Cooperate Plain Leather Shoes- Black,"₦ 5,999"
Hollow Breathable Business Leather Shoes-866 Black Hollow,"₦ 8,800"
Men Leather Loafers & Slip-Ons,"₦ 6,233"
Simple Fashion Groomsmen Wedding Shoes-P7771 Black,"₦ 9,000"
Emilio Half Shoes Mules - Black,"₦ 10,890"
Mens Basket Leather Half Shoe - Black,"₦ 12,000"
Varrati Mens Executive Shoes Italian Leather Shoes Coffee Brown,"₦ 11,000"
Santiago New Men Italian Fashion Office  Shoes - Black,"₦ 12,500 - ₦ 13,500"
Santiago Mens Dress Shoes Italian Leather Shoes Black,"₦ 12,500 - ₦ 12,999"
Business Soft-soled Plaid Leather Shoes-P8822 Brown,"₦ 9,800"
Santiago Men New Work Event Matted Slim Fitted Half Shoe HalfShoe 885 - Black,"₦ 14,000"
Varrati [NEW] Mens Leisure Dress Italian Leather Wedding Shoes Burgundy Red,"₦ 10,300"
Santiago Mens Office Wedding Business Leisure Italian Shoes Black《CITY》,"₦ 12,500"
Men Studded Mule Shoe Men Half Shoe - Black,"₦ 13,000"
Varrati Men New 2022 Work Suede Shoe - Black,"₦ 12,500"
Varrati Men Classy Design Masculine Suede Leather Shoe - Black,"₦ 12,500"
Varrati Men's Patent Leather Tuxedo Luxury Wedding Office  Shoes - Black,"₦ 8,999"
Men LEATHER SANDALS - Senators Corporate Office Shoe - Black,"₦ 13,500 - ₦ 14,500"
Black Classic Men's Fashion Shoes,"₦ 15,900 - ₦ 17,900"
MEN SENATOR SANDALS - Leather - Office Shoe & Occasions  - Black,"₦ 12,999 - ₦ 13,999"
Santiago [NEW] Mens Dress Office Casual Leisure Shoes Italian Leather Shoes Black,"₦ 12,500"
Mens Leather Shoes Business Formal Footwear-Black,"₦ 22,500 - ₦ 24,500"
Asadon Halfshoes Mules,"₦ 11,890"
Varrati New Men Luxury Italian Fashion Office Wedding Shoes - Black,"₦ 12,500"
Unique  Mens Basket  Leather Half Shoe - Black,"₦ 13,999 - ₦ 14,500"
Men's Basket Leather Half Shoe - Black,"₦ 15,000"
Men Corporate Shoes - Office Shoe - Leather - Black,"₦ 11,999 - ₦ 12,999"
Mens Blue SUEDE UP Wedding Shoes Blue/black,"₦ 8,450"
Black Leather Bow Half Shoe,"₦ 15,800 - ₦ 17,900"
Mens Simple Half Shoe - Black,"₦ 15,000"
Men Office Loafers - Corporate Occasion Office Shoe - Black,"₦ 12,500 - ₦ 13,500"
FOLLETEL 2021 Men Office Oxford Dress Patterned Shoe F8 - Blue,"₦ 11,500"
A4 Fashion Business Soft-soled Plaid Leather Shoes-P8822 Black,"₦ 25,000"
FOLLETEL Italian SUEDE CHAIN Shoe- Black,"₦ 15,800"
Depally New Design Men Shoe Black/GOLD,"₦ 10,300"
Men Leather Senator Sandals - Corporate Office Shoe - Occasions - Black,"₦ 13,500 - ₦ 14,500"
