Item,Price
Same Size Ratio Smartphone Model Of IPhone 6 (Gold),"₦ 30,190"
Apple IPhone XR Of Same Size Ratio Smartphone Model(Black),"₦ 45,090"
Apple IPhone XS Of Same Size Ratio Smartphone Model(Silver),"₦ 41,790"
Same Size Smartphone Model Of IPhone 8 - Red(No Real Iphone),"₦ 33,690"
Smartphone LCD Screen Repair Assembly For Samsung Galaxy S4 White,"₦ 26,290"
LED UV Ultra Violet Black Light Torch Forensic Inspection Purple Detector Light,"₦ 21,390"
Samsung Galaxy A70 Of Same Size Ratio Smartphone Model(White),"₦ 53,190"
Charger Docking Station Cradle Charging Sync Dock Station For Apple IPhone 6 Plus 6 5 5S 5C Black,"₦ 32,990"
"10"" LCD Writing Table Tablet Drawing Board Paperless Notepad-Black","₦ 132,190"
QI Wireless Charger Pad /Receiver For IPhone 6 / Samsung Galaxy S3 4 5,"₦ 10,190"
Charging Sync Dock Station For Apple IPhone 6 Plus 6 5 5S 5C White,"₦ 31,990"
Charger Docking Station Cradle Charging Sync Dock Station For Apple IPhone 6 Plus 6 5 5S 5C- Silver,"₦ 29,190"
Ear Hooks Loop Clip For IPhone Samsung Motorola Bluetooth 11mm A Black,"₦ 6,290"
Pet 720P HD Wireless Dog Two-way Audio Indoor Home Security Camera Night Vision,"₦ 49,290"
Ear Hooks Loop Clip For IPhone Samsung   Bluetooth 11mm B Clear,"₦ 6,290"
Ear Hooks Loop Clip For IPhone Samsung Motorola Bluetooth 11mm C Grey,"₦ 6,290"
Ear Hooks Loop Clip For IPhone Samsung Motorola Bluetooth 11mm D Clear,"₦ 6,290"
24 In1 Professional Repair Tool Kit For IPhone IPad IPod And Samsung,"₦ 15,290"
Hamster Toy Small Pet Stand Stick Chew Toy C,₦ 867
Hamster Toy Small Pet Stand Stick Chew Toy D,₦ 867
Hamster Toy Small Pet Stand Stick Chew Toy A,₦ 867
Hamster Toy Small Pet Stand Stick Chew Toy B,₦ 867
Durable Dog Chew Toy Tooth Brushing Toothbrush Stick For Orange,"₦ 11,780"
5 X 2-in1 Retro Design Touch Screen Stylus For IPhone Samsung Tablets,"₦ 12,090"
Stainless Steel Disassemble Tool Phone Repair Tool For Samsung IPhone,"₦ 8,390"
Phones Sim Card Holder Slot Tray Replacement For Samsung A3 2017 Pink,"₦ 8,890"
