Item,Price
Watch Charging Cable Magnetic Safe PVC 2 Pin 2.84mm-Black,"₦ 1,042"
Magnetic Sport Smart Dock Watch Fast Charger Adapter-Black,"₦ 1,332"
"Watch Charger For Samsung Galaxy Watch 3 / 4,  Active 1 / 2","₦ 9,450"
Charger For Amazfit GTS 2/T-Rex /GTR 2 /Bip U /POP/Zepp E,"₦ 5,950"
USB Charging Cable Replacement Adapter For Ticwatch-Black,"₦ 1,530"
3 In 1 Qi Wireless Charger Charging Dock Station,"₦ 23,000"
Charger Stand 1m Safe Fast Charge Smartwatch USB Charging-,"₦ 2,223"
"Wireless Charger Dock For Samsung Gear S2, S4, S3 Watch","₦ 9,550"
Universal 2Pin 4/5.5mm Power Charging Cable Smart Watch-,₦ 738
USB Charger Dock For Amazfit T-Rex / GTS / GTR Smartwatch,"₦ 7,750"
Garmin Charging/Data Cable (0.5 M),"₦ 32,800"
Wireless Charging Dock Charger For Samsung Galaxy-Black,"₦ 6,512"
"USB Charger For Samsung Galaxy Watch 3 / 4/ 5,  Active 1 / 2","₦ 10,950"
For Fitbit Versa 3 / Fitbit Sense Magnetic Charger,"₦ 2,710"
Charger Dock Safe Magnetic Portable Smartwatch Fast-,"₦ 1,530"
"USB Magnetic Charger For Huawei GT/ GT2, Honor Watch Magic","₦ 5,899"
Charger For Versa 2  - (Not For Versa /Versa Lite),"₦ 4,950"
48W Quick Charge 3.0 USB Charger Watch Fast Speed Charger,"₦ 5,000"
Replacement Smart Bracelet Wristband USB Charger Cable For-,₦ 611
USB Charger For Charge 5/ Luxe,"₦ 5,950"
Replacement USB Charging Cable For Garmin Fenix 6 6S 6X-,"₦ 1,938"
116 PLUS Men's Ladies Anti-Lost Bluetooth Watch,"₦ 3,634"
Charging Cable Line Charger Adapter For Xiaomi Mi Band-Black,"₦ 1,426"
4Pin Universal Magnetic Watch Charger Charging Cable For-,"₦ 1,206"
D20 Bluetooth-compatible Rechargeable Smart Watch Clock-Pink,"₦ 3,634"
Electronic Watch Waterproof LED Backlight Ideal Gift-White,₦ 743
Electronic Watch Waterproof LED Backlight Ideal Gift-Red,₦ 813
USB Charger For Versa/ Versa Lite - (Not For Versa 2),"₦ 5,940"
USB Charger Cable Dock For Huawei Watch 1st Gen Smartwatch,"₦ 9,990"
USB Charger Dock For Amazfit GTS / GTR / T Rex,"₦ 6,950"
1m 1A ABS Desktop Charger For Garmin Fenix 5 / 5S / 5X /Forerunner 935 / Quatix 5 / Quatix 5 Sapphire / Vivoactive 3 Smart Watch(Black),"₦ 3,500"
50cm USB Charger Cable Magnetic Fast Charging TPE-Black,₦ 951
LED Silicone Wrist Watches Bands Bracelet Strap,"₦ 1,982"
