Item,Price
Smart Wrist Watch For Android And Apple Smartphone 2,"₦ 13,500"
Full Touch Screen Smart Watch - For Android & IOS,"₦ 5,990"
Smart Watch Bluetooth Smartwatch,"₦ 13,200"
Smart Wrist Watch For Android And Apple Smartphone,"₦ 15,000"
Wrist Smart Watch Bands Bracelet Strap,"₦ 3,100"
Smart Watch Waterproof Movement Heart Rate Watch,"₦ 3,930"
Series 7 Wrist Watch For Android And Apple Smartphone 2,"₦ 17,000"
Smart Watch Camera Waterproof SIM Card Wrist Watch,"₦ 6,322"
Smart Watches Waterproof Heart Rate Watch,"₦ 4,550"
Smart Watch + Bluetooth Headset Sports Affordable Set,"₦ 5,704"
Circular Curved - Health Movement Check Smartwatch,"₦ 3,660"
Smartwatch Bluetooth Waterproof Watch With Free Necklace,"₦ 4,190"
Bluetooth Connection To Sports Health Detection Smartwatch,"₦ 3,810"
Smartwatch Business Bluetooth Waterproof Sport Watch,"₦ 5,450"
Heart Rate Monitoring Smart Watch,"₦ 7,730"
Black Sports Style Bluetooth Heart Rate Detection Smartwatch,"₦ 3,810"
Smart Watch Wireless Bluetooth Headset Set,"₦ 4,315"
