Item,Price
Lixada 3PCS Non-slip Sports Exercise Resistance Loop Yoga Bands Set,"₦ 6,490"
Oraimo SportBuds True Wireless Sport Earbuds,"₦ 18,000"
Resistance Bands Workout Exercise Training Tubes 11x/Set,"₦ 5,999"
5 In 1 Resistance Exercise Band//Yoga Pilates Fitness Sports,"₦ 4,300"
Double Compression Women Waist Trainer/slimming Belt Grey,"₦ 4,999"
Multifunctional Springs Chest Muscles Developer,"₦ 8,999"
Wins Jown Fat Blaster Weight Loss Diet Shake Strawberry Flavor,"₦ 4,999"
3 In 1 Home Fitness Equipment Spring Chest Expander/Hand Gripper Pull-Up Bars Arm Muscle Exerciser,"₦ 9,999"
Premium Quality AB Roller Wheel With Knee Support Mat/Ab Carver,"₦ 9,999"
75CM Big Size Premium Exercise GYM Yoga Ball Fitness Pregnancy Birthing + Free Pump,"₦ 8,999"
Adjustable Sit Up Bar With Self Suction For Exercise,"₦ 6,999"
Yoga Column Balance Stick Foam Shaft Body Massager Roller,"₦ 6,999"
1 Pair Men Women Gym Half Finger Sports Fitness Wrist Glove,"₦ 3,813"
8pcs Skipping Weight Jump Rope Set With 2 Weight Blocks,"₦ 5,990"
9.1Ft Adjustable Jump Rope Fitness Skipping Rope Soft Foam,"₦ 2,570"
Adjustable Jump Skipping Rope Cable For Adults/Kids,"₦ 2,499"
Tummy Trimmer Flat Belly Gym Equipment,"₦ 2,350"
ADIDAS Tiro Club Ball Men,"₦ 13,229"
Tummy Trimmer Flat Belly And Increased Waist Gym Equipment,"₦ 2,669"
Scunci Tie Back Sporty Visor Head Wrap - Navy Blue/Lemon,"₦ 3,000"
"Life Saving Unisex Blue Light Blocking Glasses For Computer Use, Anti Eyestrain UV Filter Lens","₦ 3,399"
Revoflex EXTREME FULL TOTAL BODY WORKOUT KIT,"₦ 9,500"
ADIDAS Core Pants Fi 3Bar Men,"₦ 53,319"
Sports Nassa Football Boot Blue,"₦ 12,500 - ₦ 13,000"
Tummy Trimmer Extra Strength Double Spring Workout Tool,"₦ 5,999"
Tummy Trimmer Unisex Tommy Trimmer/Tommy Flatning Exercise Kit,"₦ 3,299"
ADIDAS Core Tracksuit Mts Tapered,"₦ 59,139"
"Anti Blue Rays, Radiation Optical Frame Computer Glasses","₦ 1,800"
Acupressure  Foot Massager Slippers,"₦ 7,500"
"GATWIGA Casual Belt Pouch, Waist Packs Multifunctional Gadget Bag, Outdoor, Hiking, Cycling","₦ 1,999"
Defacto Woman REGULAR FIT  Woven Swimming Short- Black,"₦ 3,040"
Defacto Boy Denim Regular Fit Bermuda - Black,"₦ 3,800"
ADIDAS Core / Neo Sport Shoes Vs Advantage Clean Cmf,"₦ 56,989"
Defacto Boy BERMUDA Woven Bottom Bermuda-Green,"₦ 5,320"
ADIDAS Core / Neo Sport Shoes Vs Advantage,"₦ 29,999"
Defacto Woman REGULAR FIT  Woven Swimming Short- Pink,"₦ 3,040"
Defacto Woman REGULAR FIT Swimwear Woven Swimming Short-Black,"₦ 4,560"
Defacto Boy REGULAR FIT Swimwear Mayo - Red,"₦ 3,200"
Fitbit Charge 4 Advanced Fitness Tracker With GPS - Rosewood,"₦ 75,999"
Defacto Woman REGULAR FIT Swimwear Woven Swimming Short-Turquoise,"₦ 3,040"
Defacto Woman REGULAR FIT Swimwear Woven Swimming Short-Green,"₦ 3,040"
Fitbit Versa 2 Health & Fitness Smartwatch - Black,"₦ 95,999"
Danami Water Proof Quality Drawstring Backpack/Bag,"₦ 3,600"
Defacto Man Oversıze Fıt Knitted Sweatshirt-Blue,"₦ 7,200"
11x/Set Resistance Bands Workout Exercise Training Tubes,"₦ 3,800"
Breathable Short Sleeve T-shirt And Shorts Set-Black/black,"₦ 5,690"
SPORT Men Football Boot Ankle Blue,"₦ 10,000"
Cross-trainers Men's Casual Sports Shoes  Running Shoes,"₦ 5,500"
