Item,Price
Two- Finger Grip Baby Learning Writing Tool 3pcs,"₦ 2,899"
86pcs Kids Colored Pencil Kit Painting Marker Pen Crayon,"₦ 10,500"
Vista Vistaline HB Smooth Writer Pencil,₦ 300
Short Nigerian Hardcover Notebook,"₦ 4,499"
180pcs Kids Colored Pencil Wooden Kit Painting Marker Pen Crayon Wooden Box,"₦ 23,000"
168pcs Kids Colored Pencil Kit Painting Marker Pen Crayon,"₦ 19,500"
Steadler Brilliant Fineliner HB Pencil 12 Pieces,"₦ 5,000"
Two- Finger Pencil Grip Baby Learning Writing Tool 3pcs,"₦ 2,500"
Rotring Mathematical And Drawing Set,"₦ 6,500"
A4 Paper 1 Ream,"₦ 10,000"
Scripto Maths Set,"₦ 1,300"
Monami White Board Marker X 12pcs,"₦ 2,500"
2 Pieces Back To School Gift Set,"₦ 2,899"
GMAT Prep Plus 2021: 8 Practice Tests + Proven Strategies + VIDEO + Mobile (Kaplan),"₦ 9,000"
Jumia WILKO LETS CREATE 8 FOAM SHEET,"₦ 2,750"
5 Embossed Cardboards,"₦ 2,750"
Cartoon Pencil Case 3D Three-dimensional Stationery Box For Primary School Students,"₦ 13,000"
MYLES TEXTBOOK FOR MIDWIVES SEVENTEEN EDITION,"₦ 9,500"
1 Refillable Marker (12pcs) And 2 Refill X-35T White Board Marker (48 Pcs),"₦ 7,900"
GMAT Prep Plus 2021: 8 Practice Tests + Proven Strategies + Video+ Mobile (Kaplan),"₦ 20,500"
Black Ink Calligraphy Pen 3.0,"₦ 2,800"
Desk Lamp -Pink,"₦ 5,000"
Diary Notebook A5 Paper Vintage Stationery Diary Book Student Su Lies-yellow,"₦ 3,580"
Concise Oxford Dictionary Luxury Edition Hard Cover Back,"₦ 7,500"
5 Craft Tape - Artists Of All Ages And Kind,"₦ 2,100"
Fevicryl Fabric Glue,"₦ 2,800"
Jumia SMIGGLE PUZZLE PENCILS AND ERASERS SET,"₦ 8,250"
12 Pcs Kid's Children's Cartoon Character Stationary Sets For Birthday Party Pack,"₦ 12,999"
Smiggle Mix It Calculator,"₦ 9,000"
Quality Gel Pen. Red/Blue/Black Ball Point. School Supplies - 20pcs Lot,"₦ 2,800 - ₦ 3,000"
Diary Notebook A5 Paper Vintage Stationery Diary Book Student Su Lies-orange,"₦ 3,550"
Crayola Color Wonder Mess Free Pastel Markers,"₦ 4,100"
Kaplan GMAT Prep Plus 2021: 8 Practice Tests + Proven Strategies + VIDEO + Mobile,"₦ 8,400"
Rotring Triangular Scale Rulers - Multicolour,"₦ 8,380"
FAE Peel & Seal Brown Envelopes - 250pieces - 15 X 10 Inches - Fulscap Size,"₦ 9,700"
