Item,Price
"Zig Zag Blunt Roller, Grinder, Glass Rizzla Paper","₦ 11,499"
Kingpin Hemp Wraps (5 Pack Variety),"₦ 12,000"
Windproof Rechargeable USB Rechargeable Matches - Gold,"₦ 5,530"
5ml RDA Replacement 30-80w Atomizer Tank For Vape! Mods,"₦ 13,500"
HoneyPuff Blunt Wraps + Raw Tray + Crusher + Roller Combo,"₦ 21,999"
Jomotech Lite 40w E-mod Vaporizer,"₦ 19,500"
Valentine Day (Non Alcoholic Wine Chocolate + Free Gift Bag),"₦ 7,900"
"Mint Flavor Switch Beads For Tobaccos, ,Cigars And Blunt","₦ 9,500"
Jomo Lite 40w Replacement Battery  (2200mah),"₦ 12,000"
Jomo Lite40w Box Mod Vaporizer,"₦ 19,500"
CIALISS TADALAFIIL 20mg,"₦ 18,000"
OG Kush Combo Blunt Roller Paper Crusher Tray,"₦ 13,900"
OG Raw Kit Roller Grinder Tray And More,"₦ 12,500"
Toddler Toys Color Sorting Game Cups Starter Kit Montessori,"₦ 8,640"
Premium Lighter - Electric Lighter - Usb Lighter,"₦ 5,499"
