Item,Price
Women's High Waist Buttock Lift Trousers,"₦ 26,350"
Black Female Leather Cargo Pant,"₦ 8,500"
Ladies Zipper Pants Fashion High-waist Hip-lifting Sports Trousers,"₦ 32,300 - ₦ 64,600"
Women's Training Pants High Waist Pocket Fitness Running Sweatpants,"₦ 26,100"
Ladies Zipper Pants FashionHigh-waist Hip-lifting Sports Trousers,"₦ 28,356 - ₦ 55,512"
Women's Fashion Spring And Summer Pants Yoga Pants,"₦ 22,000"
Women's Tight-fitting Athletic Trousers,"₦ 20,249 - ₦ 28,076"
New Short Knickers -  Shorts - Shorts For Boys,"₦ 9,999"
Women's High Waist Hip Lift Tight Quick Dry Sweatpants,"₦ 28,000"
Stretch Sports Ladies Leggings,"₦ 18,894"
Women's Striped Hipster Gym Pants,"₦ 20,249 - ₦ 21,185"
Ladies Zipper Pants Shop12 High-waist Hip-lifting Sports Trousers,"₦ 28,978 - ₦ 56,636"
Women's Fashion High Waist Hip Lift Leggings,"₦ 19,570 - ₦ 20,561"
Fashionable Women's High-waisted Hip-lifting Sweatpants,"₦ 28,690"
New Women's Fitness Trousers,"₦ 19,001"
Women's Leopard Print High Waist Hip Lift Leggings,"₦ 19,001 - ₦ 23,681"
New Sweatpants Women's Casual Harem Trousers,"₦ 17,880 - ₦ 22,745"
Women's High Waist Hip Lift Running Training Pants Quick Dry High Stretch Sweatpants,"₦ 19,625 - ₦ 24,305"
Women's Tight Hip Lifter Sweatpants,"₦ 25,570"
Women's Fashion High Waist Denim Sports Trousers,"₦ 35,710"
Women's Long Pants Stretchy Quick Dry Fashion Workout Pants,"₦ 25,570"
Women's Fashion High Waist Skinny Sweatpants,"₦ 25,960"
Women's Fashion Skinny High Waist Hip Lift Sweatpants,"₦ 30,250"
Women's High Waist Stretch Sports Running Pants,"₦ 22,645"
Women's Leggings High-waisted Track Trousers,"₦ 33,370"
Women's Fashion High Waist Hip Lift Stretch Sports Leggings,"₦ 22,743"
Women's Fashion High Waist Hip Lift Sweatpants,"₦ 30,640"
