Item,Price
Men's Multi-pocket Cargo Sweatpants,"₦ 3,980"
Loose Trendy Overalls Pants Trousers,"₦ 4,900 - ₦ 4,990"
5 In 1 Luxury Quality Chinos Trouser - Multi Colour,"₦ 29,500"
Men Up/down Trouser And Polo -black/white,"₦ 9,500"
Mens Quality 4-IN-1 Bespoke Chinos WITH Belt,"₦ 27,500 - ₦ 40,000"
Stylish Turtleneck Up And Down Trouser And Polo,"₦ 12,821"
3In1 Men Corporate Quality Office Trousers,"₦ 18,999"
Men Up/down Trouser And Polo -black/green,"₦ 8,999"
Defacto Man Knitted Trousers - Anthracite,"₦ 5,520"
Turkish Quality Suit Trouser- Navy Blue,"₦ 7,500"
Polo With Collar And Short Trozer,"₦ 9,999"
Men Up/down Trouser And Polo -blue/white,"₦ 9,500"
Classic Rich Cotton Men Suit Trouser,"₦ 6,800"
Defacto Man Regular Fit Chino Trousers -Navy,"₦ 5,600"
Defacto Man Knitted Trousers - Black,"₦ 6,396"
Men Up/down Trouser And Polo -black/strib,"₦ 9,500"
4 In 1 Quality Chinos Trousers - Multi Colour,"₦ 36,000"
Defacto Man Slim Fit Chino Trousers -Anthracite,"₦ 7,043"
Men Up/down Trouser And Polo -white/black,"₦ 9,500"
Defacto Man Knitted Jogger Sweatpants - Anthracite,"₦ 6,853"
Men Up/down Trouser And Polo -white,"₦ 9,500"
Defacto Man Knitted Trousers - Grey,"₦ 6,847"
Defacto Man Slim Fit Woven Woven Trousers -Black,"₦ 10,400"
Defacto Man Jogger Fit Woven Trousers -Beige,"₦ 7,389"
Defacto Man Jogger Fit Woven Trousers -Anthracite,"₦ 9,120"
Defacto Man Regular Fit Chino Trousers -Green,"₦ 8,800"
Defacto Man Regular Fit Knitted Knitted Trousers -Beige,"₦ 5,600"
Men's Leisure Sports ShortsDK01,"₦ 2,588"
Casual Jean Trouser For Men Straight Pant - Wine Red,"₦ 5,166"
Defacto Man Regular Fit Chino Trousers -Khaki,"₦ 8,800"
Mens Quality 4-IN-1 Bespoke Chinos WITH 2-Belt,"₦ 28,999 - ₦ 49,000"
Men Up/down Trouser And Polo -white-green,"₦ 9,500"
Defacto Man Super Skinny Fit Denim Denim Trousers -Blue,"₦ 9,263"
Up And Down With Short Trozer,"₦ 9,999"
Defacto Man Regular Fit Knitted Knitted Trousers -Black,"₦ 6,853"
Men's Casual Multi-pockets Cargo Sweatpants,"₦ 4,900"
Mens Quality 4-IN-1 Bespoke Chinos WITH 1 Belt,"₦ 26,000 - ₦ 40,000"
