Item,Price
Limeide USB Wired Office /Gaming Mouse,"₦ 4,180"
Sony PS2 Controller Pad For Playstation 2,"₦ 3,890"
Jbl Quantum 50 Wired In-Ear Gaming Headphones,"₦ 30,000"
Sony PS3 DUAL SHOCK 3 WIRELESS GAME PAD - Black 2pcs,"₦ 9,999"
Konami Pro Evolution Soccer Pes 2013,"₦ 3,000"
Sony Interactive Entertainment PSN Gift Card £10 For UK Accounts,"₦ 23,042"
"Boya Mic, Wireless Lapel Microphone Lavalier","₦ 6,500"
BAJEAL G5 Wired RGB Gaming Mouse RGB 7 Keys Ergonomic Mice 4-gear,"₦ 4,999"
Official Nintendo Nintendo Switch Mortal Kombat 11,"₦ 25,000"
PS5 Travel Carry Case Bag - Black,"₦ 15,000"
Sony PS4 Dual Shock Wireless Controller Game Pad - Green Camo,"₦ 25,000"
Warner Bros. Interactive MORTAL KOMBAT 11 ULTIMATE MK11 PS5,"₦ 19,900"
Sony PS4 Wireless Game Pad With Lightbar-Latest Edition,"₦ 11,999"
Playstation Watch Dogs Legion PS4,"₦ 11,499"
Activition Call Of Duty: Advanced Warfare - PS4,"₦ 12,999"
Sony Ps4 Console 500 GB WITH 2 CONTROLLER,"₦ 168,500"
EA Sports Fifa 23 Playstation 4,"₦ 35,400"
Sony PS4 Slim 500GB Console - Black,"₦ 188,500"
Sony PS4 Dual Shock Wireless Controller Game Pad - Green,"₦ 10,500"
EA Sports FIFA 23 PS5 - Playstation 5.,"₦ 33,400"
Playstation God Of War - Playstation,"₦ 12,900"
Playstation GTA V GRAND THEFT AUTO V PREMIUM EDITION,"₦ 12,000"
2K Sports PS4 NBA 2K23 PLAYSTATION 4,"₦ 38,000"
Rockstar Games Red Dead Redemption 2 (PS4),"₦ 20,000"
Monopoly Classical English - Standard Classic Monopoly 321,"₦ 6,000"
Scrabble Big Board Game Set - Game Set For Fun,"₦ 4,200"
"Ludo, Ayo & Whot 3 In 1 Board Game","₦ 4,500"
Scrabble Big Board Scrabble Game With Scrabble Dictionary,"₦ 6,300"
Chess Game Set,"₦ 3,200"
Zealot B570 Bluetooth Digital Multi MP3/FM Radio Headset +Free Aux,"₦ 9,335"
Kimiso Mega Stereo Subwoofer Bluetooth FM Speaker SUPPORTS MIC,"₦ 14,890"
Rechargable SoundBar Theatre Nr-4017 Bluetooth FM Speaker,"₦ 14,995"
EA Sports PLAYSTATION 4 FiFA 23,"₦ 35,000"
"4pcs Mobile Gaming Thumb Sleeve Sets, Wasp Feelers(2 Pair)","₦ 1,995"
Sony PS4 Wireless Controller Pad Play Station 4 Dual Shock -Black,"₦ 10,900"
"Sony Super Slim PS3 Game Console, 500GB With 20 Game Including PES 2022, FIFA 2022,GTA V, Mortal Kombat And 2 Wireless Pad Controller.[Black Colour]","₦ 82,000"
Sony PS4 Pad (Official Controller With Warranty) New Dualshock 4- Black - Latest Edition,"₦ 11,000"
PS4 Controller Pad Playstation 4 Remote Wireless Controller,"₦ 10,300"
Anti-slip Silicone Cover Skin Case For PS4 Pad Controller,"₦ 3,999"
"Sony PS3 Super Slim - 500GB+ 25 Latest Games Such As FIFA 2021, PES 2022, GTA V Etc","₦ 79,900"
Sony PS4 Pad - DualShock 4 Wireless Controller Pad - - Black,"₦ 11,999"
Sony Ps4 Controllers PS4 Pad Wireless Ps4 Games Playstation 4 Dualshock 4 Console,"₦ 13,599"
EA Sports FIFA 23 PS5 Official Licensed - Playstation 5.,"₦ 40,500"
Sony PS4 Controller Pad (Official Edition With Touchpad Lightbar,"₦ 10,000"
Anti-slip Silicone Cover Skin Case PS4 Pad Controller,"₦ 3,999"
Sony PS4 Dual Shock 4 Wireless Game Pad - Red,"₦ 11,500"
Santa Monica God Of War: Ragnarok - PlayStation 4,"₦ 49,000"
EA Sports Ps4 Fifa 23- Playstation 4 Fifa 23,"₦ 32,999"
Sony PS4 Controller  Dualshock 4 Wireless Game Pad - GREEN ALPINE,"₦ 11,700"
Sony Ps4 Controllers PS4 Pad Wireless Ps4 Games Pad Playstation 4 Dualshock 4 Console,"₦ 13,599"
Playstation Uncharted 4: A Thief's End PS4,"₦ 12,999"
"Fashion Phone V8 Bluetooth Wireless Mobile Phone Gaming Controller Game Pad, For Android / IOS  / PC / PS3 Gamepad","₦ 13,900"
Sony PS3 Super Slim - 500GB + Extra Controller,"₦ 74,100"
Sony PSP 3006 Console - SLIM,"₦ 37,000"
Ea Need For Speed Payback - PlayStation 4,"₦ 13,500"
Sony PS4 Controller Dualshock 4 Wireless Game Pad -  Red Camo,"₦ 11,500"
EA Sports Fifa 23 Ps4 Official Licensed- Playstation 4,"₦ 29,500"
SONY PLAYSTATON 1TB PlayStation 4 Pro Plus Extra Controller Plus Fifa23.,"₦ 250,000"
