Item,Price
Tummy Wrap Slimming Belt For Flat Tummy,"₦ 6,299"
Ladies Classic Adjustable Leather Waist Belt- Black & Gold,"₦ 2,449"
Ladies Classic Wide Leather Waist Belt- Black,"₦ 2,599"
Flat Tummy’s Body Shaper Shapewear Belly Control Belt,"₦ 10,000"
Ladies Classic Leather Waist Belt- Brown,"₦ 2,449"
Ladies Dressy Black Elastic Belt,"₦ 6,000"
Classic Elastic Unique Design Waist Belt Black,"₦ 5,500"
Ladies Classic Leather Waist Belt- Black,"₦ 2,649"
Ladies Classic Elastic Leather Waist Belt- Black,"₦ 2,799"
Ladies Classic Gold Waist Belt,"₦ 2,699"
Mfed Ladies Scallop Edge Hip Belt,"₦ 1,999"
Lydiaz Classy Fashion Waist And Tummy Leather Peplum Belt - Black,"₦ 4,500"
Classic Elastic Chain Design Waist Belt Black,"₦ 4,000"
Lydiaz Classy Fashion Waist And Tummy Leather Peplum Belt - Brown,"₦ 4,500"
Ladies Classic Tripple Waist Belt- Gold,"₦ 2,649"
Mens Leather Belt Automatic Buckle Belts Fashion Brown,"₦ 9,500"
Sweat Belt Unisex Waist Trimmer/trainer-Black,"₦ 3,599"
Women Waist Fashion Belt With Metal Buckle - Black,"₦ 3,500"
Double Back Neoprene Sweat Hot Shaper Abdomen Waist Trainer,"₦ 6,500"
Elastic Ladies Classic  Leather Waist Belt- Black,"₦ 2,699"
Ladies Classic  Leather Waist Belt- Black,"₦ 2,499"
Gold Belts For Women Waistbands Metal Waist Gold Chain Belt,"₦ 6,500"
Women Waist Fashion Belt With Metal Buckle - Brown,"₦ 4,999"
Classic Wide Leather Waist Belt Black,"₦ 3,500"
Waist Belt Gold  Leather Fashion Wrapping Belt,"₦ 2,750"
2 In 1 Waist Leather Stylish  Genuine Leather Wrapping Belt,"₦ 4,500"
Lydiaz Classy Fashion Waist And Tummy Leather Peplum Belt - Red,"₦ 4,500"
Women Waist Fashion Belt With Metal Buckle - Red,"₦ 3,999"
Wrapping Waist Leather Female Belt  - Black Wrapping Belt,"₦ 2,800"
Rhinestone Abortion Tummy Elastic Belt,"₦ 7,999"
Double Back Latex Abdomen Belt Women Waist Trainer.,"₦ 7,500"
Sweat Belt Unisex Waist Trimmer/trainer,"₦ 4,000"
