Item,Price
Joy Black Round Neck Short Sleeve Crop Top,"₦ 3,500"
Defacto Woman Relax Fit Pyjamas Neck Short Sleeve Woven Shirt-Ecru,"₦ 6,400"
Ladies Women Gorgeous Top - Peach,"₦ 3,850 - ₦ 4,500"
ECROU Women Black High Long Sleeve Sheer Mesh Shirt,"₦ 4,010"
Defacto Woman Regular Fit Shirt Neck Short Sleeve Woven Shirt-White,"₦ 4,320"
Defacto Bodycon Square Neck Sleeveless Knitted Dress - Blue,"₦ 5,320"
Defacto Woman Oversize Fit Shirt Neck Long Sleeve Woven Shirt-White,"₦ 7,330"
Trendyolmilla Blouse - Black - Fitted,"₦ 6,747"
Mfed Ladies Lace & Frill Peplum Top,"₦ 3,500"
Black And White Striped Casual Women Stretchy Long Sleeve Top 2,"₦ 3,300"
Defacto Woman Regular Fit Frill Neck Short Sleeve Woven Blouse-Black,"₦ 4,560"
Turtle Neck Long Sleeve Top Black,"₦ 2,500"
White Ladies Crop Top With Flounce Sleeve,"₦ 4,400"
Defacto Woman Boxy Fit Shirt Neck Short Sleeve Woven Shirt-Green,"₦ 5,433"
Defacto Woman RELAX FIT SHIRT NECK Short Sleeve Shirt- White,"₦ 4,000"
Black Mono  Crop Top,"₦ 3,000 - ₦ 3,400"
Defacto Woman Regular Fit Shirt Neck Long Sleeve Woven Shirt-Blue,"₦ 4,800"
Rebbed Round Neck Short Sleeve Crop Top,"₦ 4,000"
Defacto Woman Regular Fit Short Sleeve Woven Shirt -White,"₦ 5,602"
SUNBI Long Sleeve Bodycon Top With Belt - Black,"₦ 3,299"
Defacto Woman Front Tie Short Sleeve Woven Blouse -Purple,"₦ 4,800"
Defacto Woman REGULAR FIT Woven Top Short Sleeve Shirt - Green,"₦ 5,746"
Defacto Woman Long Sleeve Shirt - Green,"₦ 7,600"
Defacto Woman Fitted V Neck Woven Long Sleeve Blouse - Black,"₦ 6,080"
Trendyolmilla Blouse - Red - Regular,"₦ 3,237"
Mfed Ladies Sateen Hem Jersey Top,"₦ 2,999"
Mfed Blue Eyelash Lace Overlay Sexy Chiffon Blouse,"₦ 3,500"
Mfed Ladies Eye Print Chiffon Blouse,"₦ 3,500"
Women Top With Bell Sleeves- White,"₦ 4,000 - ₦ 4,400"
Trendyolmilla Blouse - Orange - Regular,"₦ 6,477"
Ladies Sexy Off Shoulder Peplum Top,"₦ 6,500 - ₦ 7,500"
Mfed Ladies Velvet Detail Long Sleeve,"₦ 2,999"
ECROU Women White Shirred Blouse With Gathering Detail,"₦ 3,040"
Mfed Orange Twisted Plunge Long Sleeve Top,"₦ 3,500"
ECROU Women Black Shirred Blouse With Gathering Detail,"₦ 3,040"
Trendyolmilla Blouse - Pink - Fitted,"₦ 6,477"
Defacto Woman Loose Fit Shirt Neck Long Sleeve Woven Shirt-Brown,"₦ 6,080"
Defacto Woman Oversize Fit Shirt Neck Long Sleeve Woven Shirt-Turquoise,"₦ 6,840"
Defacto Woman Regular Fit Shirt Neck Woven Long Sleeve Shirt - Khaki,"₦ 8,360"
