Item,Price
DAGi BORDEAUX Women Pareos,"₦ 8,160"
Mfed Sporty Piping Trim Black Swim Short,"₦ 3,500"
DAGi Women Swimming Trunks,"₦ 7,680"
Double Fabric. - Ladies' Quick Dry Gym Shorts,"₦ 7,409"
DAGi Black Bikini Bottom - Plain - Beachwear For Women,"₦ 4,800"
Mfed Rosy Ruched Side Swimsuit Bottom,"₦ 3,999"
Women Sexy Casual Strap Backless Gradient Color A-Line Short Dress,"₦ 28,250"
Barbie Pants With Waist And Hips Lifted For Women,"₦ 7,409"
Sexy Women's V-neck Long Sleeve Package Hip Bodycon Dress,"₦ 25,003"
Women Square Collar Sleeveless Contrast Color Patchwork Bodycon Pencil Short Dress-Pink,"₦ 25,686"
Women Casual Sleeveless Floral V Neck Flared Sexy Dress-Wine Red,"₦ 23,932"
DAGi FUCHSIA Women Swimming Trunks,"₦ 7,680"
Women Halter Flare Sleeve Cold Shoulder A-line Dress Mini Casual Beach ( Black ),"₦ 11,178"
Women Oversized Party Striped Short Sleeve Bandage Stretch Dress,"₦ 12,841"
Waist Cincher Training Corset Underbust Body Shaper Belt,"₦ 22,641"
Women Underbust Corset Waist Trainer Cincher Adjustable Straps Body Shaper Vest,"₦ 27,035"
Women 3/4 Sleeve Off-shoulder Bohemia Style Floral Maxi Dress Split Party Beach-Blue,"₦ 39,030"
Summer Women Highneck Halter Crochet Tops,"₦ 16,560"
