Item,Price
All Body Sizes Waist Trainer ,"₦ 3,500 - ₦ 3,910"
Waist Trainer Belt,"₦ 3,550"
High Waist Tummy Shaper - Black,"₦ 2,950"
"Waist Trainer, Cincher & Body Shaper -Black","₦ 3,500"
Waist Trainer Black,"₦ 3,200"
Waist Trainer Smart Body Belt - Black,"₦ 2,799 - ₦ 3,299"
Fitness Multi-breasted Waist Trainer and Cincher,"₦ 2,500"
High Waist Trainer Belly Compression Tight -Black,"₦ 5,500"
Ladies Girdle Pants And Butt Lifter,"₦ 4,900 - ₦ 5,000"
Three Hook Waist Trainer - Black,"₦ 2,669"
Fitness Multi-breasted Thin Abdominal Waist Trainer,"₦ 3,200"
Ladies Tight Girdle   - Black Colour,"₦ 4,500 - ₦ 5,299"
"Waist Trainer, Shaper And Body Cincher - Black","₦ 2,500"
Girdle Tight - Tummy Shapewear - Black,"₦ 4,500 - ₦ 5,000"
EasyOn Waist Trainer - Black,"₦ 1,999"
Lanina Ladies Tight-Black,"₦ 4,200"
Lanina Ladies Tight-Grey,"₦ 3,000"
HighWaist Tummy Tuck Girdle Underwear Tight - Black,"₦ 5,500"
Waist Cincher Flat Tummy Belt - Black,"₦ 2,995"
Waist Trainer Flat Tummy Belt - Blaq,"₦ 2,950 - ₦ 3,100"
Hot Shaper Quality Hot Belt Waist Trainer Flat Tummy Shapewear,"₦ 5,500"
Women Upper Arm Slimming Shaper - Black,"₦ 2,000"
Quality Body Shaper Belt - Black,"₦ 3,799"
Sweet Sweat Adjustable Unisex Waist Trainer And Belly Fat Burner,"₦ 4,500 - ₦ 5,000"
High Waist Slimming Pant - Black,"₦ 4,000"
Xtreme Power Belt Waist Trainer Belt;waist Trimmer Belt;workout Waist Trainer,"₦ 4,500 - ₦ 6,800"
Backless Black Mesh Sheer Bodysuit Transparent Female Halter Body Romper Spring Women Deep V Metal Chain Bodysuit WT(#black),"₦ 17,550"
Waist Trainer Flat Tummy Belt - Black,"₦ 3,500"
Hot Belt Tummy Trimmer Flat Belly And Increased Waist Gym Equipment,"₦ 4,190"
Latex Design Shapewear & Waist Trainer,"₦ 4,100"
Sweet Sweat Adjustable Unisex Waist Trainer And Belly Fat Burner- Yellow Print,"₦ 5,500 - ₦ 7,500"
Ladies Tight Girdle - Body Shaper Wear  - Black Colour,"₦ 5,200 - ₦ 5,300"
