Item,Price
Defacto 3 Pieces Woman BRAZILLIAN Underwear Package Slip - Black,"₦ 3,956"
Defacto 2 Pieces Woman Brazilian Underwear Slip - Black/White,"₦ 1,402"
Defacto 7 Pieces Woman Brief Underwear Pack -Multicolour,"₦ 6,472"
Defacto 3 Pieces Woman HIPSTER Underwear Package Slip - Multicolor,"₦ 3,800"
Defacto Woman BRAZILLIAN Underwear Slip-Black&White,"₦ 2,280"
Defacto 7 Pieces Woman Brazillian Underwear Pack -Multicolor,"₦ 5,760"
Defacto 3 Pieces Woman BRIEF Underwear Package Slip - Karma,"₦ 3,200"
Defacto 3-Pack Woman Hipster Underwear Pack -Red,"₦ 3,800"
Defacto 5 Pieces Woman Hipster Underwear Pack -Multicolour,"₦ 4,788"
Defacto 3-in-1 Woman Slip -Karma,"₦ 3,553"
Defacto Woman Slip - Red,"₦ 2,280"
Defacto Woman STRING Underwear Slip - Black,"₦ 2,160"
Defacto Woman HIPSTER Underwear Slip - Navy Blue,"₦ 2,160"
Defacto 3 Pieces Woman Brief Underwear Package Slip - Multi,"₦ 3,800"
Defacto 7 Pieces Woman String Underwear Pack -Black,"₦ 4,800"
Defacto 7 Pieces Woman Hipster Underwear Pack - Karma,"₦ 6,080"
Defacto 5-Pack Woman String Underwear - Multicolour,"₦ 4,800"
Defacto 2 Pieces Woman Brazillian Fit Underwear Slip - White,"₦ 2,400"
Defacto Woman BRAZILLIAN Underwear Slip - Red,"₦ 2,280"
Defacto Woman BRAZILLIAN Underwear Slip - Beige,"₦ 2,280"
Defacto Woman BRAZILLIAN Underwear Slip - Blue,"₦ 2,280"
Defacto Woman BRIEF Underwear Slip - Turquoise,"₦ 2,280"
Defacto Woman Hipster Underwear Slip - Black,"₦ 1,600"
Defacto 7 Pieces Woman Brazillian Underwear Pack -Black,"₦ 6,080"
Defacto Woman BRIEF Underwear Package Slip 5 in 1,"₦ 4,885"
Defacto Woman HIPSTER Underwear Slip - White,"₦ 2,280"
Defacto Woman String Underwear -Black,"₦ 2,160"
Defacto Woman Brief Underwear -Black,"₦ 2,160"
Defacto Woman Brief Underwear -Green,"₦ 3,040"
Defacto Woman Brief Underwear -Ecru,"₦ 3,040"
Defacto Woman Hipster Underwear -Pink,"₦ 2,400"
Defacto Woman Brazillian Underwear -Black,"₦ 3,040"
Defacto Woman HIPSTER Underwear Slip - Turquoise,"₦ 2,280"
Defacto Woman HIPSTER Underwear Slip - Red,"₦ 2,280"
Defacto Woman Hipster Underwear -Green,"₦ 2,400"
Defacto Woman BRIEF Underwear Package Slip- Multicolour,"₦ 3,200"
