Item,Price
Defacto Woman Loose Fit Regular Neck Long Sleeve Blazer - Black,"₦ 10,640"
Women's Long Sleeve Cardigan With Leather Belt For Fall,"₦ 7,550"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Black,"₦ 9,600"
Defacto Woman Regular Fit Regular Neck 3/4 Sleeve Blazer - Black,"₦ 9,880"
Defacto Woman Regular Fit Regular Neck Long Sleeve Jacket - Beige,"₦ 11,400"
Ladies Waterfall Trendy Jacket - Black,"₦ 5,000"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Turquoise,"₦ 13,680"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Beige,"₦ 12,160"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Brown,"₦ 10,273"
Defacto Woman Regular Fit Regular Neck 3/4 Sleeve Blazer - Brown,"₦ 9,880"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Black,"₦ 12,160"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Red,"₦ 10,729"
Defacto Woman Oversize Fit Regular Neck Long Sleeve Blazer - Beige,"₦ 13,680"
Ladies Trendy Jacket - Black,"₦ 5,000"
RAINCOAT WITH HOOD (WATERPROOF)-GREEN,"₦ 6,300"
Defacto Woman Casual Zip-Up Turtle Neck Tricot Vest - Ecru,"₦ 4,767"
Womens Winter Lapel Wool Coat Trench Jacket Long Parka Overcoat Outwear,"₦ 26,430"
Defacto Woman Regular Fit Regular Neck Long Sleeve Blazer - Orange,"₦ 12,920"
Waterfall Trendy  Kimono Jacket...Red,"₦ 4,600"
WATER PROOF RAIN COAT WITH HOOD - GREEN,"₦ 6,300"
Byc Ladies Singlet Round Neck (Camisole) - Single 1 White,"₦ 4,000"
Defacto Woman Regular Fit Blazer Collar Regular Blazer -Green,"₦ 11,400"
Transparent Rain Coat With Hood - UniSex,₦ 999
Ladies 3 In1 Spaghettis' Hand Tank Top Multi,"₦ 6,000"
Ladies Autumn And Winter Long-sleeved V-tie Double-breasted Woolen Jacket,"₦ 20,778"
Defacto Woman Oversize Fit Regular Long Sleeve Blazer -Orange,"₦ 10,640"
Womens Winter Lapel Button Long Trench Coat Jacket Ladies Coat,"₦ 40,000"
Byc Ladies Singlet V Neck (Camisole) - Single 1 White,"₦ 6,500"
Defacto Woman - Crew Neck Long Sleeve Regular Fit Knitted Bomber-Red,"₦ 12,347"
Waterfall Trendy Kimono Jacket - Black,"₦ 6,900"
Autumn Winter Women Fleece Pocket Jacket Plus Size ,"₦ 8,999"
Plus Size Solid Color No Button Blazer Women Long-White,"₦ 7,887 - ₦ 9,102"
Women Hooded Sweater Coat Winter Warm Wool Zipper Coat Cotton Coat Out,"₦ 13,200 - ₦ 14,960"
Plus Size Solid Color No Button Blazer Women Long-Black,"₦ 7,400 - ₦ 9,181"
Miss Cazibe by Modanisa Minc - Unlined - Crew Neck - Abaya - Miss Cazibe,"₦ 8,345"
Miss Cazibe by Modanisa Mink - Unlined - Crew Neck - Abaya - Miss Cazibe,"₦ 10,435"
PARFORATED KIMONO  LYCRA KIMONO JACKET-BLACK,"₦ 3,850"
Women's Down Jacket Fashion Warm Winter,"₦ 31,340"
