Item,Price
Women Wallet Purse Card Phone Holder - Black,"₦ 6,599"
FeiraDeVaidade Casual Ladies Long Wallet Butterfly Wallet Clutch-Pink,"₦ 1,474"
FeiraDeVaidade Casual Ladies Long Wallet Butterfly Wallet Clutch-Blue,"₦ 1,474"
Women Wallet  Ladies Purse  Card Phone Holder Zipper PU Pattern Leather Pink,"₦ 4,900"
FeiraDeVaidade Casual Ladies Long Wallet Butterfly Wallet Clutch-Grey,"₦ 1,474"
Short Wallet Ladies Wallet Tassel Fashion Buckle Coin Purse,"₦ 1,958"
Women Long Length Messanger Wallet/purse,"₦ 6,999"
Messenger Wallet Women's Mobile Phone Multifunctional Purse,"₦ 4,999"
Cartoon Mini Zipper Bag Earphone Headphone Box SD,"₦ 1,226"
Candy Pu Wallet Small Key Wallet Handbag Children'S,"₦ 1,170"
Ladies Purse Wallet - Bronze,"₦ 5,800"
Classy Men Leather Wallet -Coffee,"₦ 5,995"
LouisWill Women Wallets Fashion Coin Short Wallets,"₦ 3,490"
A Purse Japan And South Korea Buckles Contracted Many  Black,"₦ 9,254"
Red Baellerry Wallet,"₦ 5,000"
Hand Wallet Women's Long Wallet Multifunctional Wallet,"₦ 7,248"
Ladies Mock Croc 3 In 1 Toiletry Makeup Travel Bag Set - Beige,"₦ 4,599"
Women Large Capacity Wallet Multi-function Mobile Phone Bag,"₦ 8,599"
Women Wallets Long Style Multi-functional Wallet Purse Fresh PU Leather Female Clutch Card Holder-Black,"₦ 18,070"
Washable Silicone Bra Strap Cushions Holder Non-Slip Shoulder Strap Relief Pain Pads ( Neutral ),"₦ 1,999"
Wallet Women  Leather Long 3 Fold Cellphone Purse Female Clutch Ladies Wallets Cow Leather Big Capacity Coin Money Bag-Light Gold,"₦ 22,600"
FeiraDeVaidade Casual Ladies Long Wallet Butterfly Wallet Clutch-Fuchsia,"₦ 1,474"
Men's Pu Leather Hand Bag Casual Long Zipper Purse - Black,"₦ 16,220"
Blue Baellerry Wallet,"₦ 5,000"
SENDEFN Women Wallet Button Wallet Women Large Capacity Vintage Ladies Wallets For IPhone 7S Trend 5160-67-8006 Black,"₦ 23,950"
Women Purses Long Zipper  Leather Ladies Clutch Bags With Cellphone Holder Card Holder Wallet-Black,"₦ 29,880"
FeiraDeVaidade Mens Vintage Pu Wallet Card Holder Short Wallet-Blue,"₦ 1,910"
FeiraDeVaidade Mens Vintage Pu Wallet Card Holder Short Wallet-Dark Coffee,"₦ 1,910"
Retro Belt Waist Men's Bag Belt Leg Hip Packs 6-7.5inch Cell Phone Cigarette Box Case Outdoor,"₦ 23,790"
Card Holders Women Cellphone Pocket Gifts Handbag Clutch Long Vintage Messenger Shoulder Straps Bag-A912 Black,"₦ 18,800"
Leather Men Long Wallet Lady Purse Card Holder Clutch With Coin Pocket Zipper Money Bag For Phone Male Wallets-coffee A Box,"₦ 38,710"
Men Wallets Top Quality Male Clutch Big Capacity Cellphone Bag  Leather Wallet Men Purse Zipper Pocket  Man Purse Long Baellerry-Black,"₦ 20,710"
Tassel Cartoon Cat Women Wallet Printing PU Leather Women Walelt  Designed Coin Purse Female Card Holder Cute Girl Wallet-Purple,"₦ 18,550"
Hot Sale High Capacity Fashion Women Wallets Long PU Leather Wallet Female Double Zipper Clutch Coin Purse Ladies Wristlet(Brown),"₦ 18,400"
Mark Ryden  Arrival Men Wallet Men Shot Clutch Wallet Young Men Multi-function Card Holder Package Wallet-Black,"₦ 22,470"
Hand Wallet Women's Long Wallet Multifunctional Wallet-black,"₦ 7,248"
