Item,Price
FreshLook Red Contact Lens With Solution////,"₦ 3,500"
Adjustable PU Leather Handle Shoulder Bags Handbag Straps Coffee,"₦ 2,438"
3 In 1 Butterfly Set Pendant Necklace Earrings,"₦ 3,000"
Neoprene Waist Trainer Corset Sweat Belt Body Shaper Weight Rose Red M,"₦ 2,679"
40 Bulk   Silky Hair Scrunchies Elastic Hair Ties Rope Band Mixed,"₦ 3,367"
Women Hair Claw Grip Jaw Clips Girls Ladies Hair Clamp Matte Khaki,₦ 735
Butt Lifter Panties Buttocks Shaper Middle Rised Push Up Black M,"₦ 2,796"
Sport Waist Cincher Girdle Belt Body Shaper Slimming Tummy Trainer,"₦ 1,908 - ₦ 3,251"
15/5Pieces Hair Scrunchies Velvet Hair Bands Multicolor 1 5pcs,₦ 729
Sexy Butt Lifter Panties Buttocks Shaper  Padding Underwear Skin S,"₦ 2,763"
3x Bra Extender 3-Hooks Ladies Bra Extension Strap White+Beige+Black,"₦ 2,381"
5 Pairs Non-woven Pasties Womens Sexy Disposable Breast Nipple Covers,"₦ 1,466"
Women's Party Nightclub Sexy Lace Bandage Bra G-string Bikini White M,₦ 917
Women Tummy Control Invisible Bra Backless Body Shaper For Wedding,"₦ 12,102 - ₦ 12,840"
Croc Decorations Crystal Jibitz Croc Charm Jibbit Shoes Accessories Croc Charms Bling Crystal Fashion Clog Shoes Decoration - Set Of 26,"₦ 8,500"
Croc Decorations Crystal Jibitz Croc Charm Jibbit Shoes Accessories Croc Charms Bling Crystal Fashion Clog Shoes Decoration - Set Of 16,"₦ 5,500"
Silky Durag Long Tail Wave   Scarf Muslim Bandana Turban Beanie Black,"₦ 1,823"
50 Pieces Flat Metal Single Prong Duck Alligator Hair Clips DIY 6x60mm,"₦ 2,137"
Simple Classic Large Hair Claw Clip Jaw Butterfly Hair Grip Wine Red,₦ 662
20PC Women Satin Hair Scrunchies Elastic Bobble   Hair Ties Rope Band,"₦ 4,420"
Hair Chain Rhinestone Mesh Head Caps For Fancy Dress Party Art Golden,"₦ 10,809"
FreshLook Colorful Pure Hazel Contact Lens With Solution,"₦ 6,100"
Padded Butt Lifter Panties Hip Enhancer Middle Waist Bottom Black M,"₦ 6,998"
Hair Straightener And Hand Dryer,"₦ 8,500"
Big Hair Claw Clips Matte Strong Hold Stylish For Women For Coffee,₦ 784
2 IN 1 Knitted Headwarmer,"₦ 5,000"
"Comfortable Home Slippers Summer Shoes Slide Soft Sole Closed Toe, EVA","₦ 15,082 - ₦ 17,011"
2pcs  PU Leather Handle Shoulder Bags Handbag Straps Replacement Brown,"₦ 3,608"
Crystal Chain Sexy Lingerie Women 3 Piece Lace Bodysuit Bra And Panty,"₦ 3,493 - ₦ 3,561"
Alloy Half Claw Hair Clip Crystal Hair Jaw Paw Hair Clasps Beige Green,₦ 715
Large Hair Claw Clips Strong Hold Hair Jaw Claw Clamps NonSlip Brown,₦ 704
2x Bra For Teenagers Training Bra Soft And Breathable Wireless,"₦ 6,014"
Women Lingerie Set Mesh Underwear G-string Spandex For Valentine's L,"₦ 1,257"
6x Women's Scrunchy Stretch Stretch Ties Ring Accessories,₦ 587
20 Pieces Hair Scrunchies Elastic Ponytail Suede Fashion Hair 12cm,"₦ 5,156"
Full Body Shaper Seamless Tummy Control Shapewear Waist Black S M,"₦ 3,928"
Simple Plain Ribbon Bow Butterfly High Heel Shoe Clips Charms Apricot,"₦ 1,162"
Girls Full Lace Bralette Sexy Push Up Lace Bra Crop Top Underwear Red,"₦ 1,206"
Special Bra For   Silicone Mastectomy Crossdresser 38 Beige,"₦ 6,806"
Beanie Hat Warm Stretch Skullcap Headwear Rollup Edge Fisherman Light,"₦ 1,747"
