Item,Price
6 Pairs Ladies Hoop Diamond Pearl Earrings Set Punk Earrings II,"₦ 1,950"
Set Of 12 Pairs Lovely Mix Different Shape Stud Earrings,"₦ 1,400"
Ladies Elegant Flower Jewelry Set Stud Earrings 9 Pairs Fashion Diamond Pearls,"₦ 1,999"
"6 In 1 Set Of Hoops,Studs & Pearl Mix Shape  Earrings","₦ 1,899"
Unisex Iced Out Diamond Piercing Earring,"₦ 3,300"
"6 In 1 Set Of Hoops,Studs & Pearl Mix Shape  Classy Earrings For Babes Gift Idea","₦ 1,999"
Women's High Jewelry Set Stud Earrings 12 Pairs Fashion Diamond Pearls,"₦ 1,759"
Magnetic  Nose  Stud 12 Pieces,"₦ 2,750"
Crystal Diamond Stone Earring Silver,"₦ 3,000"
20 In 1 Studs Earrings,"₦ 1,800"
Diamond Stone Earring,"₦ 3,100"
12 In 1 Studs Earrings,"₦ 1,800"
Unisex Iced Out Piercing Earring,"₦ 3,500"
12Pcs/Set Magnetic Stud All Match Smooth Surface-Multicolor,₦ 987
7Pairs/Set Women Rhinestone Inlaid Sun Star Moon Stud-,"₦ 1,217"
"Magnetic  Nose, Ear, Lips Stud 12 Pieces","₦ 2,750"
Unisex Silver Iced Out Piercing Stud Earring,"₦ 3,000"
6 In 1 Set Of Bohemian Elegant Ear Ring Jewelry Set,"₦ 1,999"
Gold Crystal Diamond Stone  Clip On Earring,"₦ 4,000"
1 Set Stud Earrings Heart Rhinestone Acrylic Fashion-A,"₦ 1,503"
6 Pcs Magnetic Earrings  Black Gold Silver Titanium Steel Mens Women Trendy Round Clip Ear Stud For Men Magnetic Magic Unisex,"₦ 5,200"
6 Pairs Ladies Hoop Diamond Pearl Earrings Set Punk Earrings,"₦ 1,900"
Beautiful Earring Gold,"₦ 3,000"
Square Ice Diamond Stone Piercing Earring,"₦ 3,000"
1Pc Punk Men Women 6/8mm Black Six Claw Cubic Zirconia Stud-,₦ 598
24pcs Crystal Nose Ring And Stud Body Women Jewelry White Coloured Nose Stud,"₦ 2,500"
Men Women Rhinestone Inlaid Magnetic Ear Stud Earrings-Black,"₦ 1,038"
"Stud Earrings/tondo For Piercing Baby Ear,nose Earingx2","₦ 2,800"
4 Pairs Earrings Set Safe Popular Stainless Steel-Black,"₦ 2,032"
1 Pair Ear Studs Heart-shaped Easy To Match Alloy-Golden,₦ 570
SANUME Cartoon 3D Piercing Animal Cute Biting Stud Earrings-H06,₦ 581
Stud Earring Set - 9 Pairs,"₦ 2,000"
2Pairs Women  Geometric Square Drop Stud Earrings-Red,₦ 886
6 Pcs Magnetic Earrings  Black Silver Gold Titanium Steel Mens Women Trendy Round Clip Ear Stud For Men Magnetic Magic Unisex,"₦ 5,200"
Crystal Diamond Stone Earring Clip Design  Silver,"₦ 3,700"
12Pairs Multicolour Magnetic Round Clear Crystal Rhinestone Men Women Ear Stud Mens Earrings,"₦ 3,400"
