Item,Price
Feng Shui Black Obsidian Wealth Bracelet,"₦ 2,800"
B008 Elegant Female Crystal Bracelet-Transparent,"₦ 1,043"
N002 Fashion 2 In 1 Women Vintage Earrings And Necklace Set-Gold,"₦ 1,192"
N012 Ladies Luxurious Diamond Angel Wings Necklace-Gold,"₦ 1,720"
Best Friends Love Heart Couple Necklace. Jewelry 2,₦ 890
Women Bead Chain Sequins Strip Multi Layer Necklace - Silver,₦ 900
Butterfly Link Necklace With 5 Pendant 2new,₦ 999
R001 New Fashion 15 In 1 Knuckle Ring Set For Ladies-Gold,"₦ 1,378"
Double Layer Butterfly Necklaces Chokers - Gold,₦ 449
Elegant Female Crystal Bracelet-Transparent,₦ 930
N001 Fashion Women Vintage Geometry Sequins Strip Multi-Layer Necklace-Gold,₦ 558
Queen Letter Pendant Necklace Gold 2,₦ 890
Blue Eye Detail Bead Bracelet With Hand Of Hamsa,₦ 860
Women's Diamond Pendant Necklace,"₦ 1,650"
Knuckle Ring Set For Ladies,₦ 990
6 Pairs Ladies Hoop Diamond Pearl Earrings Set Punk Earrings II,"₦ 1,950"
B009 Elegant Blue Diamond Bracelet For Ladies-Silver,"₦ 1,257"
Ladies Elegant Bracelet With Diamonds-Rose Gold,₦ 740
Multi Layer Coin Tassels Bar Necklace For Women,₦ 999
R004 Fashion Charming Diamond Wedding Engagement Ring For Ladies-Diamond,"₦ 1,099"
30 Pairs Of Fashion Earring Set  Pearl Crystal Ear Studs,"₦ 3,260"
B007 Fashion Ladies Elegant Love Heart Bracelet With Diamonds-Gold,₦ 799
17 In 1 Knuckle Ring Set For Ladies,"₦ 1,800"
B006 Ladies Elegant Bracelet With Diamonds-Rose Gold,₦ 744
"Couple Necklace Heart Studded Pendant, 2 In 1,  Silver & Gold","₦ 2,900"
Double Layer Butterfly Pendant Clavicle Chain-Silver,₦ 371
B001 Elegant Crystal Bracelet Unisexe-Brown,₦ 657
Jewelry Lovely Earring Jewellery Set - Silver,"₦ 1,845"
Unique Pink Knuckle Ring Sets of 8,"₦ 2,999"
5 Circles Gold Plated Necklace Earrings Jewelry Sets,"₦ 3,499"
2Pcs 1314 520 Heart Key Lock Jigsaw Pendant Couple Love Necklace Valentines Gift-Dual Color,"₦ 1,201"
4Pcs/Set Women Bracelets Women Jewelry Fashion Accessorries 2new,"₦ 1,140"
3 Nose Rings Non Piercing Fake Magnetic Horseshoe-gold/silver/black,"₦ 1,620"
Women Unique Silver Pendant Diamond Necklace,"₦ 1,999"
"2pcs I Love You Forever&Always ""Couple Pendants Necklace For Lovers Valentines B","₦ 1,249"
2Pcs/Set Couple Luminous Pearl Love Bracelets,"₦ 1,250"
2Pcs Couple Bracelets 2 Matching Yin Yang Hand-Golden,₦ 966
Crystal Pendant Clavicle Necklace,"₦ 1,399"
