Item,Price
Women's Sandals High-Heeled Wedges Shoes,"₦ 6,990"
Classic Low Block Heel Buckle Ladies Sandals Women Shoes-Black,"₦ 5,999"
Wedge Lace Women Sandals Flower Printed,"₦ 6,300"
Women's Sandals Velvet Flock Fish Mouth Fashion High Heel Platform,"₦ 7,900"
Summer Soft Women's Slippers,"₦ 4,000"
Women Smart Sandals -Black,"₦ 14,000"
Baotou Sandals Women's Wedge Slip Soft Bottom Beach Jelly Shoes Black,"₦ 9,000"
Ladies Retro Low-top Sandals Casual Round Toe Loafers,"₦ 29,670"
Women's Sandals Shoes PVC Rubber Material Jelly Shallow Mouth Medium Low Heel,"₦ 8,600"
Exotic Quality Ladies Women Platform Flat Sandals-black,"₦ 5,500"
Women Sandals Wedge Heel Anti-slip Pointed Waterproof Shoes,"₦ 8,200 - ₦ 8,300"
Exotic Quality Ladies Women Flat Sandals-black,"₦ 13,800"
Flangesio EUR 35-42 Slimming Shoes Women Swing Platform Wedge Shoes Ladies Shoes,"₦ 26,500"
Women Smart Sandals -Grey,"₦ 14,000"
Sandals Women's High-heeled Wedge Heel Platform Thick Soled Shoes White,"₦ 6,500"
Chinese Laundry Women's Forte Brown Wedge Open -Toe Shoe,"₦ 5,500"
Women's Shoes Mid-Heeled Zip Sandals Block Heel,"₦ 9,999"
Women High Wedge Sandals Summer Soft Lightweight Platform Open Toe Buckled Party Beach Daily Shoes,"₦ 26,764"
Classic Ladies Sandals-Black,"₦ 14,500"
Fuce Sandals Trekkers Shoe Velcro Unisex Men Women - Black,"₦ 7,200 - ₦ 7,500"
Summer Trend Leather Simple Casual Women's Sandals-White,"₦ 24,800 - ₦ 26,500"
Exotic Quality Ladies Women Flat Sandals-yellow,"₦ 14,500"
Ladies Wegde Slippers - Pink,"₦ 13,350"
Women Ultra Light Platform Wedges Ladies Heeled Sandals-White,"₦ 26,400"
Ladies Embroidered Comfort Flip Flop Sandals Open Toe Summer Wedge Sandals - Red,"₦ 6,600"
Exotic Quality Ladies Women Platform Flat Sandals-orange,"₦ 5,500"
Ladies Embroidered Flip Flop Sandals Open Toe Summer Wedge Sandals - Navy Blue,"₦ 7,999"
Exotic Quality Ladies Women Platform Flat Sandals-black/red,"₦ 14,500"
"New Women's Small Leather Shoes, Muffin Shoes, Thick Soled Women's Shoes, 5.5cm Thick Soled And Increased Women's Shoes","₦ 19,902"
Roov Evelyn Satin Wege With Wood Sole Detail - Black,"₦ 12,500"
Simply Be Teen Girls Stylish Adele Platform Sandal,"₦ 8,500"
