Item,Price
Women Tassel Wing Style Drop Earrings Fashion Cubic Jewelry,"₦ 2,570"
DZ-520 Small Drilling Lug Clip Geometric Zircon Earrings,"₦ 4,100"
Wedding Colorful Charm Earrings,"₦ 4,070"
Fashion Hoop Earrings Pearl Peach Heart Earrings 6 Pairs Of Plate Earrings Set,"₦ 5,315"
DZ-519 Small Drilling Lug Clip Geometric Zircon Earrings,"₦ 3,690"
2 Pairs K25 Diamond Cross Ear Buckle,"₦ 3,760"
Retro Butterfly Ear Stud,"₦ 11,360"
4 Pairs Halloween Acrylic Earrings E000172 Witch,"₦ 6,290"
Five-pointed Star Hollow Drop Oil Women Earrings,"₦ 7,350"
S925 Sterling Silver Moon Ear Stud,"₦ 9,490"
Square Geometric Drop Earrings,"₦ 13,230"
Happy Fish Women Earrings,"₦ 11,090"
3 Pairs Halloween Jewelry Acrylic Personal Skull Earrings,"₦ 5,380"
Simple Black White Ear Studs Women Earrings,"₦ 8,950"
Simple Zircon Ear Buckle Women Earrings,"₦ 13,230"
Shiny Ear Clip Women Earrings,"₦ 5,480"
Silver Earrings,"₦ 7,350"
"Oil Drop 925 Silver Earrings, Style: SCE1246 Pumpkin","₦ 9,250"
S925 Sterling Silver Ear Hook Long Scallop Tassel Earring,"₦ 8,940"
S925 Sterling Silver Snake Ear Stud,"₦ 10,560"
DZ-513 Small Drilling Lug Clip Geometric Zircon Earrings,"₦ 4,220"
Circle Platinum Plated Earrings,"₦ 8,060"
Spirit Butterfly Women Earrings,"₦ 6,020"
4 Pairs Halloween Acrylic Earrings E000171 Black Ghost,"₦ 6,290"
S925 Sterling Silver Earrings,"₦ 8,760"
Simple Style Zircon Women Earrings,"₦ 6,550"
Colorful Zircon Letters M Asymmetry Women Earrings,"₦ 11,360"
Colored Zircon Star Women Earrings,"₦ 4,050"
White Dandelion Love Platinum Plated Women Earrings,"₦ 10,880"
4 Pairs Acrylic Christmas Personality Jewelry,"₦ 5,430"
Colorful Zircon Letters S Asymmetry Women Earrings,"₦ 10,820"
