Item,Price
R001 New Fashion 15 In 1 Knuckle Ring Set For Ladies-Gold,"₦ 1,378"
Knuckle Ring Set For Ladies,"₦ 1,450"
R004 Fashion Charming Diamond Wedding Engagement Ring For Ladies-Diamond,"₦ 1,099"
17 In 1 Knuckle Ring Set For Ladies,"₦ 1,530"
Unique Pink Knuckle Ring Sets of 8,"₦ 2,999"
4 Non-Piercing Nose Ring Jewelry Nose Hoop Ring No Piercing Clip On,"₦ 2,500"
"Set Of 14 Economy Combo Knuckle Rings, Ear Rings & Anklet For Women","₦ 3,500"
Set Of 8 Pink/Gold Flower Knuckle Ring For Ladies,"₦ 3,000"
15 In 1 Knuckle Ring Fashion Jewelry,"₦ 1,590"
10 In 1 Knuckle Ring Set For Ladies,"₦ 1,770"
14 In 1 Knuckle Ring Set For Ladies,"₦ 2,999"
2pcs/Set Romantic Couple Ring Jewelry Adjustable Proposal Wedding Rings,"₦ 2,599"
Ring Women Alloy Finger Rings Punk  Rhinestone Vintage Style,"₦ 2,134"
17 In 1 Knuckle Ring Set For Ladies- V2,"₦ 1,290"
Unique Gold Knuckle Ring Set Of 10 For Babes,"₦ 2,999"
Gold-plated Love Crystal Ring Set,"₦ 2,800"
Women's Stainless Steel Wedding Ring - Gold Plated,"₦ 1,199"
Ladies Diamond Proposal Engagement Wedding Ring Woman Jewelry Silver,"₦ 2,999"
5 Pieces Women Retro Knuckle Ring Set Alloy Star Moon Flower Silver,"₦ 1,757"
Ladies Knuckle Rings Set - 15 Pcs-Silver/black,"₦ 1,000"
40PCS Nose Stud Stainless Steel Piercing Nose Ring Jewelry,"₦ 2,999"
"Knuckle Ring Sets Of 10,green And Pink","₦ 1,299"
Zircon Diamond Engagement Male Wedding Women Rings Accessories Gold,"₦ 2,599"
European And American Popular Engagement Diamond Rings-US 6,₦ 720
15Pcs/Set Women Bohemian Rhinestone Stackable Finger-Silver,"₦ 1,405"
14 In 1 Women's Fashion Knuckle Ring Set,"₦ 2,659"
Handcrafted Premium Luxury Adjustable Zircon Engagement Rings,"₦ 2,199"
14 In 1 Set Vintage Knuckle/Finger Ring,"₦ 2,999"
Silver Flower Open Ring Female Diamond Wedding Ring,"₦ 1,200"
Zircon Women Bridal Diamond Wedding Ring,"₦ 1,180"
13 Pcs/set Knuckle Ring Set,"₦ 1,530"
13Pcs Boho Hollow Stacking Ring Set Knuckle-Antique Silver,"₦ 1,146"
5Pcs Vintage Moon Knuckle Finger Ring Set Bohemian-Golden,₦ 511
Women 925 Sterling Silver Crystal Love Heart Shaped Ring-,₦ 524
Fortified Pixiu Lucky Charms Finger Ring,"₦ 4,700"
