Item,Price
Defacto Woman Mom Fit Denim Trousers - Blue,"₦ 8,055"
2 In 1 Thick Biker Short For Women -BIKER SHORT,"₦ 5,900"
Defacto Woman REGULAR FIT Knitted Bermuda-Bordeaux,"₦ 3,800"
Defacto Woman Straight Denim Trousers - Blue,"₦ 6,840"
Defacto Woman Purple Fitted Short,"₦ 3,446"
Defacto Woman Crop Wide Leg Woven Capri -Brown,"₦ 7,600"
Defacto Woman Regular Fit Knitted Short - Grey,"₦ 3,200"
Defacto Woman BERMUDA SHORT Woven Bottom Short-Black,"₦ 4,800"
Defacto Woman CAPRI Woven Bottom Capri-Multicolour,"₦ 7,474"
Defacto Woman RELAX FIT Woven Bottom Short-Black,"₦ 3,909"
Defacto Woman Flare Fit Denim Trousers - Blue,"₦ 8,000"
3 In 1 Thick Biker Short  For Women,"₦ 5,400"
Defacto Woman PAPERBAG Denim Short-Blue,"₦ 6,259"
Defacto Woman Regular Fit Knitted Short -Blue,"₦ 3,200"
Defacto Woman WANNA Denim Short-Blue,"₦ 4,560"
Defacto Woman Mom Fit Denim Trousers - Grey,"₦ 7,264"
LADIES SPORT/CASUAL BUMSHORT,"₦ 3,500 - ₦ 4,999"
Defacto Woman Denim Short - Blue,"₦ 4,000"
Defacto Woman Regular Fit Knitted Short - Dark Green,"₦ 2,747"
Defacto Woman MOM FIT Denim Short-Blue,"₦ 6,093"
Black Bumshort,"₦ 5,000"
Defacto Woman Capri Denim Capri -Blue,"₦ 8,360"
Defacto Woman MOM FIT Denim Short-Black,"₦ 4,614"
Cliplink BUMSHORTS(Black/Red),"₦ 5,000"
Defacto Woman SHORT Knitted Short-Grey,"₦ 3,800"
Cliplink 3in1 BUMSHORT,"₦ 12,000"
Defacto Woman RELAX FIT Woven Bottom Short-Beige,"₦ 3,800"
3 In 1 Thick Biker Short For Women -BIKER SHORT,"₦ 6,800 - ₦ 6,999"
Defacto Woman Denim Short -Blue,"₦ 6,080"
Defacto Woman RELAX FIT Woven Bottom Short-Black & White,"₦ 4,160"
Defacto Woman Woven Short - Black,"₦ 4,091"
Defacto Woman REGULAR FIT Knitted Bermuda-Pink,"₦ 3,040"
Defacto Woman Paperbag Woven Short -White,"₦ 5,320"
3 In 1 Quality Thick Biker Short For Women,"₦ 6,400 - ₦ 6,800"
Thick Black Biker Short For Women,"₦ 3,899"
Cliplink Grey CROPTOP/ BUMPSHORT WITH WHITE STRIPE,"₦ 8,000 - ₦ 9,000"
Quality Biker Short Tight For Women,"₦ 2,500"
Defacto Woman BERMUDA SHORT Woven Bottom Short - Multicolour,"₦ 5,475"
