Item,Price
"Unisex Blue Light Blocking, Anti Eyestrain Screen Glasses","₦ 1,950"
"Unisex Big Frame Blue Light Blocking, Anti Eyestrain Glasses","₦ 1,750"
Anti Blue Cat Eye Light Eyeglasses,"₦ 4,500"
Unisex Anti Blue Light Protective Computer Screen Glasses,"₦ 1,850"
Retro Unisex Small Frame Oval UV  Protective Fashion Sunglasses-Black,"₦ 1,999"
Vintage Transparent Computer Glasses,"₦ 4,500"
Ladies Cat Eye Leopard  Sunglasses .,"₦ 2,290"
Retro Unisex Small Frame Oval UV  Protective Fashion Sunglasses-White,"₦ 1,999"
Cut Trimmed Lens Metal Curved Temples SunGlasses Female,"₦ 3,600"
Women’s Fashion Big Face Retro Sunglasses,"₦ 1,990"
Classic Female Fashion Sunglasses.,"₦ 4,000"
Classic Ladies Anti Blue Cat Eye Glasses,"₦ 3,999"
Vintage Round Oversized  Sunglasses,"₦ 3,999"
Anti Blue Light Eyeglasses,"₦ 4,500"
Sexy Ladies Cat Eye Vintage Sun Glasses-Black,"₦ 1,920"
Anti Blue Rays Computer Glasses,"₦ 3,199"
Anti Blue Light Cat Eye Eyeglasses,"₦ 4,999"
Square Small Frame Fluorescent Street Sunglasses,"₦ 2,050"
Crystal Cut-Edge  Ladies UV Protection Sunglasses ,"₦ 3,500"
Classic Ladies Anti Blue Light Female Cat Eye Glasses,"₦ 3,950"
Men Black Classic Pilot Sunglasses,"₦ 1,990"
"Female Oversized Sunglasses - Black,","₦ 3,500"
Retro Unisex Small Frame Oval UV Protective Fashion Sun Glasses-Leopard/Brown,"₦ 1,990"
Ladies Rhinestone UV Protection Sunglasses,"₦ 4,999"
Black Luxury Round Street Sunglasses - Designer Sunglasses,"₦ 2,999"
"Anti Blue Rays,Anti Blue Light Blocking Glasses","₦ 1,995"
Crystal Cut-Edge  Ladies UV Protection Sunglasses,"₦ 3,500"
Anti Blue Cat Eye Light Eyeglasses With Case,"₦ 5,000"
"Unisex Big Frame Blue Light Blocking, Anti Eyestrain, Anti Blue Ray Glasses,","₦ 1,850"
Acrylic Frame Sunglasses,"₦ 3,500"
Luxury Oversized Square Gradient Women Sunglasses,"₦ 4,000"
Retro Box Frame Anti-blue Light Glasses,"₦ 2,849"
Ladies Anti Blue Light Female Cat Eye Reading Glasses,"₦ 3,999"
