Item,Price
Women's Pajamas Chiffon Sleepwear Night Dress,"₦ 1,990"
"Ladies Bandage / Menstrual Panties, Pack Of 6 - Black","₦ 4,000"
Hollow Out Women's Lady Lace Panty,"₦ 2,800"
Ladies Sexy Butterfly Gstring Thong Pants - 4 Piece,"₦ 4,300"
Strong Waist Trainer BodyShaper With Double Power-Zip & Hook,"₦ 2,850"
Thick Ladies Panty Hose,"₦ 2,800"
"Ladies Multi Function - Tommy Control, Butt & Thighs Shaper ","₦ 3,600"
Ladies Breast Tube - White,"₦ 3,500"
"Lanina Ladies Multi Function - Tummy Control, Butt & Thighs Shaper","₦ 3,600"
POPSOCK/PANTY HOSE-BLACK COLOR(THICK),"₦ 4,000"
3 In 1 Ladies Bumper Tight,"₦ 4,400"
"Strong Waist Trainer, Vest Corset, Body Shaper With Double Power -Zip & Hook","₦ 3,500"
Japanese Period Panties With Lingerie,"₦ 6,800"
Sexy Lace Ladies   Panties Set Of 6pcs,"₦ 4,500"
Royal Glow Women Sexy Lingerie Lace Elastic Waist Seamless Underwear Panties,"₦ 1,200"
Disposable Pants - 12pcs,"₦ 2,999 - ₦ 3,999"
2Prs High Waist Fleece Lined Leggings -Wine & Brown,"₦ 3,500"
Niker  Panties 6pieces,"₦ 4,800"
Lingerie Sexy Lace Bra With Sexy Underwear,"₦ 5,500"
Ladies Nude Brown Pop Socks,"₦ 2,700"
Hot Sexy Ladies Exquisite Lingerie Night Wear - Blue,"₦ 4,290 - ₦ 4,890"
Lingerie Night Wear Sexy Gown- GREY SPAG,"₦ 4,000"
Lace Panties - Sets Of 12,"₦ 5,500"
Ladies Sexy Butterfly Gstring Thong Pants - 6 Piece,"₦ 4,200 - ₦ 4,500"
Lingerie Night Wear Sexy Gown,"₦ 7,450"
Transparent Sexy Night Wear Pink,"₦ 3,500"
Ladies Bandage / Menstrual Panties 6 Pieces,"₦ 5,500"
Body Shaper Tummy Flattening Tight With Four Steel Bones,"₦ 4,500"
Lingerie Night Wear Sexy Gown- RED,"₦ 4,000"
Sexy Lace Pants - Set Of 6,"₦ 3,999"
Lingerie Night Wear Sexy Gown- PURPLE,"₦ 4,000"
WOMEN PANTS - WHITE - SET OF 6,"₦ 4,000"
Tummy Control Butt Lifter With Short Tight,"₦ 6,000 - ₦ 7,000"
Hot Sexy Ladies Exquisite Lingerie Night Wear - Purple,"₦ 4,420"
Women Disposable Pants - 60pcs,"₦ 6,500 - ₦ 6,800"
Hot Sexy Ladies Exquisite Lingerie Night Wear - Black,"₦ 4,520 - ₦ 8,970"
Sexy Ladies  Night Wear -Black,"₦ 4,500"
Pink Night Wear Gown + Inner + Rope,"₦ 6,000"
Pregnant Women Tummy Cover High Waist Tight,"₦ 2,100 - ₦ 2,800"
